background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0001,A001,anchor,0.8,low,0.1,16,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0002,A002,anchor,0.8,low,0.3,32,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0003,A003,anchor,0.8,low,0.5,64,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0004,A004,anchor,1.25,low,0.7,16,14,14,0.1,20,0.0321734234819012,0.02481804815210563,0.03952879881169677,reversed,0.5899154045440217,0.5857003391312363,0.5941304699568071,-6.555458186999543,-6.624649201852316,-6.4862671721467695,supported,0.2509760273972602,0.24749328615820482,0.2544587686363156,0.0,1.0,reversed
H1B0005,A005,anchor,1.25,low,0.9,32,14,14,0.1,20,0.17762568289401634,0.17194952470873495,0.18330184107929773,reversed,0.6868654653394568,0.6802602546938904,0.6934706759850232,-7.631475720446571,-7.653746326619677,-7.609205114273465,supported,0.28428082191780824,0.28203622440133114,0.28652541943428533,0.0,1.0,reversed
H1B0010,A010,anchor,3.1,high,0.9,16,14,14,0.1,20,0.032071081580697186,0.030405541207755068,0.0337366219536393,reversed,0.664455326730087,0.6593803190550552,0.6695303344051188,-8.859046136333621,-8.87798792990763,-8.840104342759613,supported,0.2892465753424657,0.2864741672051311,0.29201898347980026,0.0,1.0,reversed
H1B0015,A015,anchor,4.0,high,0.9,64,14,14,0.1,20,0.012756373362463897,0.012126253237109924,0.01338649348781787,reversed,0.5584219455925814,0.5559415194624389,0.560902371722724,-7.654612530406827,-7.667318382016193,-7.641906678797461,supported,0.2658518835616438,0.26428193352407203,0.26742183359921556,0.0,1.0,reversed
H1B0016,A016,anchor,0.8,low,0.5,32,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0021,A021,anchor,0.8,low,0.1,64,28,28,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0022,A022,anchor,4.0,high,0.9,16,7,7,0.5,20,0.039212716521698485,0.03780451194871287,0.0406209210946841,reversed,0.12067567712652601,0.11685281088533783,0.12449854336771418,-3.4272040343028913,-3.445187015383568,-3.4092210532222147,supported,0.18922945205479455,0.18566955269879626,0.19278935141079284,0.0,1.0,reversed
H1B0024,A024,anchor,3.1,high,0.9,32,21,21,0.3,20,0.10518937370708403,0.10408133525973817,0.1062974121544299,reversed,0.2975800020926386,0.2944196961741027,0.30074030801117446,-7.222782491905252,-7.232896418409945,-7.212668565400559,supported,0.38572773972602736,0.3832299119931066,0.38822556745894815,0.0,1.0,reversed
H1B0039,S007,sobol_symmetric,0.8,low,0.5,32,7,7,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0040,S008,sobol_symmetric,3.1,high,0.7,32,21,21,0.5,20,-0.00021635885627137725,-0.00194945415317521,0.0015167364406324555,inconclusive,0.2252303500475557,0.2234046391325378,0.2270560609625736,-16.008035290659276,-16.020402581689734,-15.99566799962882,supported,0.19638698630136986,0.19370539795157848,0.19906857465116123,0.0,1.0,inconclusive
H1B0041,S009,sobol_symmetric,2.0,boundary,0.3,32,28,28,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0042,S010,sobol_symmetric,0.8,low,0.9,32,14,14,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0043,S011,sobol_symmetric,1.25,low,0.3,64,21,21,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0047,S015,sobol_symmetric,0.8,low,0.1,16,14,14,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0048,S016,sobol_symmetric,3.1,high,0.9,64,28,28,0.1,20,0.17036952800286098,0.1698528877097342,0.17088616829598777,reversed,0.7402630560658677,0.738428903860769,0.7420972082709665,-22.33124593367247,-22.345432419563846,-22.317059447781094,supported,0.6915303938356165,0.6899382735864885,0.6931225140847446,0.0,1.0,reversed
H1B0049,S017,sobol_symmetric,3.1,high,0.1,32,7,7,0.3,20,-0.325777944756524,-0.33024409818266476,-0.32131179133038323,supported,0.04679595251006837,0.04549223324358915,0.048099671776547594,-0.19216870260866398,-0.1983074626076016,-0.18602994260972636,inconclusive,0.03205051369863015,0.030206010425518286,0.03389501697174201,1.0,1.0,inconclusive
H1B0050,S018,sobol_symmetric,0.8,low,0.9,32,21,21,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0054,S022,sobol_symmetric,1.25,low,0.7,16,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0055,S023,sobol_symmetric,0.8,low,0.3,64,21,21,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0058,S026,sobol_symmetric,0.8,low,0.5,16,28,28,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0060,S028,sobol_symmetric,3.1,high,0.9,32,21,21,0.1,20,0.041752828635469606,0.0405525807993413,0.04295307647159791,reversed,0.2763706867022324,0.2716689308388738,0.28107244256559105,-16.73265568955026,-16.752598904546605,-16.712712474553914,supported,0.19668236301369865,0.19450098275706917,0.19886374327032813,0.0,1.0,reversed
H1B0066,S034,sobol_symmetric,1.25,low,0.9,16,21,21,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0070,S038,sobol_symmetric,1.25,low,0.5,64,14,14,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0071,S039,sobol_symmetric,0.8,low,0.1,16,21,21,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0072,S040,sobol_symmetric,2.0,boundary,0.9,32,7,7,0.5,20,-0.006927057502474104,-0.008659506188979772,-0.005194608815968438,supported,0.0394740518263886,0.030115942686273083,0.04883216096650411,-0.24119730993169047,-0.31678181197545197,-0.16561280788792898,inconclusive,-0.0015839041095890294,-0.004512025975234462,0.0013442177560564037,0.3,0.2,inconclusive
H1B0074,S042,sobol_symmetric,0.8,low,0.7,64,28,28,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0077,S045,sobol_symmetric,4.0,high,0.1,32,21,21,0.0,20,-0.07286975385429975,-0.07449389471222273,-0.07124561299637677,supported,0.00743830108210271,0.006753729240536583,0.008122872923668837,-0.2199740760001337,-0.2232532381609951,-0.21669491383927228,inconclusive,-0.0016994863013698625,-0.004471463868300946,0.0010724912655612213,1.0,0.0,inconclusive
