background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0001,A001,anchor,0.8,low,0.1,16,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0002,A002,anchor,0.8,low,0.3,32,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0003,A003,anchor,0.8,low,0.5,64,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0004,A004,anchor,1.25,low,0.7,16,14,14,0.1,20,0.0321734234819012,0.02481804815210563,0.03952879881169677,reversed,0.5899154045440217,0.5857003391312363,0.5941304699568071,-6.555458186999543,-6.624649201852316,-6.4862671721467695,supported,0.2509760273972602,0.24749328615820482,0.2544587686363156,0.0,1.0,reversed
H1B0005,A005,anchor,1.25,low,0.9,32,14,14,0.1,20,0.17762568289401634,0.17194952470873495,0.18330184107929773,reversed,0.6868654653394568,0.6802602546938904,0.6934706759850232,-7.631475720446571,-7.653746326619677,-7.609205114273465,supported,0.28428082191780824,0.28203622440133114,0.28652541943428533,0.0,1.0,reversed
H1B0006,A006,anchor,1.25,low,0.1,64,14,14,0.1,20,-0.6178572907304781,-0.624401051458934,-0.6113135300020223,supported,0.07033147127837158,0.06670083101877047,0.07396211153797269,-0.843293370708009,-0.8913191760960548,-0.7952675653199632,supported,0.0,0.0,0.0,1.0,1.0,inactive
H1B0007,A007,anchor,2.0,boundary,0.3,16,14,14,0.1,20,-0.43494156105025217,-0.4398744160074291,-0.43000870609307523,supported,0.280623842327416,0.2738478966596506,0.2873997879951814,-3.0620497730700276,-3.1208294401398797,-3.0032701060001754,supported,0.13077054794520548,0.12428031460400864,0.13726078128640234,1.0,1.0,supported
H1B0008,A008,anchor,2.0,boundary,0.5,32,14,14,0.1,20,-0.259759990262499,-0.2633192759247631,-0.2562007046002349,supported,0.5007718119337079,0.49799239811706214,0.5035512257503536,-5.114241429943425,-5.141101426789548,-5.087381433097302,supported,0.24042808219178086,0.2381790015235398,0.24267716286002192,1.0,1.0,supported
H1B0009,A009,anchor,2.0,boundary,0.7,64,14,14,0.1,20,-0.0751341998593165,-0.07686719149318699,-0.07340120822544602,supported,0.6233060149236376,0.6210983926943254,0.6255136371529497,-6.510841782063096,-6.519366907031488,-6.502316657094704,supported,0.2655629280821918,0.26440171577843935,0.2667241403859442,1.0,1.0,supported
H1B0010,A010,anchor,3.1,high,0.9,16,14,14,0.1,20,0.032071081580697186,0.030405541207755068,0.0337366219536393,reversed,0.664455326730087,0.6593803190550552,0.6695303344051188,-8.859046136333621,-8.87798792990763,-8.840104342759613,supported,0.2892465753424657,0.2864741672051311,0.29201898347980026,0.0,1.0,reversed
H1B0011,A011,anchor,3.1,high,0.1,32,14,14,0.1,20,-0.41246881165590904,-0.41709266986212196,-0.4078449534496961,supported,0.055430373546046754,0.05425631648879406,0.05660443060329945,-1.444706693341805,-1.4991665371349014,-1.3902468495487084,supported,0.025402397260273973,0.02331763215482161,0.027487162365726334,1.0,1.0,supported
H1B0012,A012,anchor,3.1,high,0.3,64,14,14,0.1,20,-0.3279610154464404,-0.3296243510789143,-0.3262976798139665,supported,0.1789429061741467,0.17783719603803436,0.18004861631025906,-3.5082165824389344,-3.5217377242088914,-3.4946954406689774,supported,0.07909888698630138,0.0772161385468554,0.08098163542574736,1.0,1.0,supported
H1B0013,A013,anchor,4.0,high,0.5,16,14,14,0.1,20,-0.1799778479378033,-0.18233638702450702,-0.17761930885109958,supported,0.24564015506678002,0.24319193534268335,0.2480883747908767,-3.8482730432577568,-3.87456917608424,-3.8219769104312737,supported,0.12907534246575345,0.12573179353881722,0.13241889139268967,1.0,1.0,supported
H1B0014,A014,anchor,4.0,high,0.7,32,14,14,0.1,20,-0.0943961543229073,-0.09551828881099962,-0.09327401983481497,supported,0.38850967793109936,0.38629148661862767,0.39072786924357106,-5.594765213137446,-5.615064649007541,-5.574465777267351,supported,0.19459332191780826,0.19176365686095295,0.19742298697466357,1.0,1.0,supported
H1B0015,A015,anchor,4.0,high,0.9,64,14,14,0.1,20,0.012756373362463897,0.012126253237109924,0.01338649348781787,reversed,0.5584219455925814,0.5559415194624389,0.560902371722724,-7.654612530406827,-7.667318382016193,-7.641906678797461,supported,0.2658518835616438,0.26428193352407203,0.26742183359921556,0.0,1.0,reversed
H1B0016,A016,anchor,0.8,low,0.5,32,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0017,A017,anchor,1.25,low,0.3,64,21,21,0.3,20,-0.13755484859350395,-0.14310524747594888,-0.132004449711059,supported,0.057945307732686135,0.05358808016667496,0.06230253529869731,-0.2163210442004014,-0.23195869438534944,-0.20068339401545338,inconclusive,0.0,0.0,0.0,1.0,0.95,inactive
H1B0018,A018,anchor,2.0,boundary,0.7,16,28,28,0.5,20,-0.13805308819477774,-0.14161829996239533,-0.13448787642716015,supported,0.3233011592673013,0.316352881251398,0.3302494372832046,-5.3354889569600665,-5.7388464219394475,-4.932131491980686,supported,0.0007277397260274044,-0.0036480177131318864,0.005103497165186695,1.0,1.0,supported
H1B0019,A019,anchor,3.1,high,0.5,32,14,14,0.0,20,-0.08586632186555929,-0.0872940056657387,-0.08443863806537988,supported,0.08484731754094409,0.08323817716102168,0.0864564579208665,-1.7989654212661663,-1.8250784924694516,-1.772852350062881,supported,-0.001061643835616452,-0.004209481309423143,0.002086193638190239,1.0,1.0,supported
H1B0020,A020,anchor,4.0,high,0.5,32,14,14,0.3,20,-0.018390772688617035,-0.019523125233463133,-0.017258420143770936,supported,0.019196641447256274,0.017750279616470892,0.020643003278041656,-0.8190645514592589,-0.8437462058743849,-0.794382897044133,supported,0.0013270547945205436,-0.0019361201748175135,0.004590229763858601,0.95,1.0,supported
H1B0021,A021,anchor,0.8,low,0.1,64,28,28,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0022,A022,anchor,4.0,high,0.9,16,7,7,0.5,20,0.039212716521698485,0.03780451194871287,0.0406209210946841,reversed,0.12067567712652601,0.11685281088533783,0.12449854336771418,-3.4272040343028913,-3.445187015383568,-3.4092210532222147,supported,0.18922945205479455,0.18566955269879626,0.19278935141079284,0.0,1.0,reversed
H1B0023,A023,anchor,3.1,high,0.1,32,21,21,0.3,20,-0.33674657462078034,-0.3406962649269969,-0.3327968843145638,supported,0.038323382398024304,0.03681356920395267,0.03983319559209594,-0.6449054710762623,-0.6657623342131112,-0.6240486079394134,supported,0.00455479452054795,0.0013958840800572681,0.007713704961038632,1.0,1.0,supported
H1B0024,A024,anchor,3.1,high,0.9,32,21,21,0.3,20,0.10518937370708403,0.10408133525973817,0.1062974121544299,reversed,0.2975800020926386,0.2944196961741027,0.30074030801117446,-7.222782491905252,-7.232896418409945,-7.212668565400559,supported,0.38572773972602736,0.3832299119931066,0.38822556745894815,0.0,1.0,reversed
H1B0025,A025,anchor,4.0,high,0.5,32,28,28,0.1,20,-0.01004396019213083,-0.011078463893051912,-0.009009456491209747,supported,0.19904559498489005,0.19747959291957137,0.20061159705020873,-3.299109892439671,-3.420922401216292,-3.17729738366305,supported,0.37957619863013703,0.37667233342610695,0.3824800638341671,0.0,1.0,supported
H1B0026,A026,anchor,2.0,boundary,0.5,32,14,14,0.1,20,-0.38521688309688085,-0.38997397432968617,-0.3804597918640755,supported,0.49511908012304284,0.49305222333262605,0.49718593691345964,-7.382194345163844,-7.406155406197002,-7.358233284130686,supported,0.10782534246575341,0.10573255485656412,0.10991813007494271,1.0,1.0,supported
H1B0027,A027,anchor,1.25,low,0.5,16,21,21,0.0,20,-0.1983028199071566,-0.2079787326274508,-0.18862690718686237,supported,0.19957911739061024,0.19336879433632062,0.20578944044489986,-4.810468636818237,-4.851602994776681,-4.769334278859794,supported,0.0,0.0,0.0,0.4,1.0,inactive
