background_id,source_scenario_ids,scenario_type,target_loss_share,balk_probability,noshow_probability,estimated_balk_loss_share,estimated_noshow_loss_share,estimated_match_gap,balk_target_error,noshow_target_error,balk_attainable,noshow_attainable,calibration_valid,n_calibration_seeds,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2
H2B0001,A001,anchor,0.05,0.05,0.04448775764210202,0.04790833724901833,0.05041275989295362,0.002504422643935293,0.0020916627509816738,0.0004127598929536194,True,True,True,3,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0001,A001,anchor,0.1,0.10490104184289888,0.1,0.09190738594199432,0.1014345842403993,0.009527198298404982,0.008092614058005682,0.0014345842403993003,True,True,True,3,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0001,A001,anchor,0.2,0.215556197694455,0.20788810894347698,0.1954939903940327,0.20039290920102212,0.004898918806989422,0.004506009605967309,0.00039290920102211246,True,True,True,3,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0002,A002,anchor,0.05,0.04672790539354991,0.05,0.04812748344439265,0.04973297072479832,0.0016054872804056666,0.0018725165556073495,0.00026702927520168285,True,True,True,3,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0002,A002,anchor,0.1,0.1,0.1,0.10158360582341179,0.09886858618331613,0.002715019640095656,0.001583605823411785,0.001131413816683871,True,True,True,3,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0002,A002,anchor,0.2,0.2,0.2,0.1987180846483936,0.20206468861053653,0.0033466039621429244,0.0012819153516064052,0.002064688610536519,True,True,True,3,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0003,A003,anchor,0.05,0.05,0.05,0.05072347758208248,0.05039967901706077,0.0003237985650217101,0.0007234775820824796,0.00039967901706076947,True,True,True,3,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0003,A003,anchor,0.1,0.1,0.1,0.09885859324979814,0.10087071687045328,0.002012123620655143,0.0011414067502018704,0.0008707168704532725,True,True,True,3,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0003,A003,anchor,0.2,0.2,0.19743671318182685,0.19956283073551814,0.20017293096088462,0.0006101002253664778,0.0004371692644818681,0.00017293096088460969,True,True,True,3,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0004,A004,anchor,0.05,0.05,0.06299134302869332,0.04878759289662218,0.05013779344416989,0.0013502005475477113,0.0012124071033778258,0.00013779344416988554,True,True,True,3,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0004,A004,anchor,0.1,0.1,0.1223176312453394,0.09919872429813499,0.1001513406078573,0.0009526163097223067,0.0008012757018650146,0.0001513406078572921,True,True,True,3,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0004,A004,anchor,0.2,0.2,0.25196537211477327,0.2010650271440448,0.2018356085694131,0.0007705814253682886,0.0010650271440448,0.0018356085694130886,True,True,True,3,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0005,A005,anchor,0.05,0.05,0.06236408766708755,0.051299838363923676,0.04915442577389876,0.002145412590024917,0.0012998383639236735,0.0008455742261012436,True,True,True,3,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0005,A005,anchor,0.1,0.1,0.1247281753341751,0.10076176336500765,0.10005247541179824,0.0007092879532094171,0.0007617633650076477,5.2475411798230676e-05,True,True,True,3,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0005,A005,anchor,0.2,0.2,0.2494563506683502,0.20221772921505263,0.1982479533193597,0.0039697758956929174,0.0022177292150526162,0.0017520466806403012,True,True,True,3,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0006,A006;X060,anchor,0.05,0.05,0.06618651964934127,0.05233558860364682,0.05026287804563511,0.0020727105580117117,0.0023355886036468196,0.0002628780456351079,True,True,True,3,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0006,A006;X060,anchor,0.1,0.09582017708261682,0.1330453250622813,0.09860857872053179,0.10109013931830076,0.002481560597768967,0.0013914212794682163,0.0010901393183007507,True,True,True,3,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0006,A006;X060,anchor,0.2,0.2,0.2607737874445908,0.20212623732389626,0.20237577253025762,0.0002495352063613676,0.002126237323896246,0.002375772530257614,True,True,True,3,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0007,A007,anchor,0.05,0.04639687915364495,0.09510756909523842,0.04755007882653015,0.049454026117071524,0.0019039472905413718,0.0024499211734698503,0.0005459738829284785,True,True,True,3,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0007,A007,anchor,0.1,0.09855710944515417,0.20031374200841426,0.09988541410324403,0.1010453863964297,0.0011599722931856654,0.00011458589675597541,0.00104538639642969,True,True,True,3,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0007,A007,anchor,0.2,0.19422476688611942,0.3894568766654362,0.19942851558668714,0.19898868838654848,0.0004398272001386594,0.0005714844133128671,0.0010113116134515265,True,True,True,3,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0008,A008;X099,anchor,0.05,0.05,0.09425754541296744,0.048896889310421215,0.050023018543279646,0.0011261292328584305,0.0011031106895787873,2.3018543279643144e-05,True,True,True,3,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0008,A008;X099,anchor,0.1,0.1,0.18851509082593487,0.10194877535546314,0.0997039424240543,0.002244832931408841,0.001948775355463131,0.00029605757594571014,True,True,True,3,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0008,A008;X099,anchor,0.2,0.2,0.37703018165186974,0.1975484447080531,0.20011478004662045,0.0025663353385673437,0.0024515552919469052,0.0001147800466204385,True,True,True,3,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0009,A009,anchor,0.05,0.05,0.09586506611268832,0.049581341792238644,0.050225551517730505,0.0006442097254918608,0.00041865820776135904,0.00022555151773050175,True,True,True,3,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0009,A009,anchor,0.1,0.1,0.19173013222537663,0.1002217223888171,0.10082313069351619,0.0006014083046990831,0.00022172238881709716,0.0008231306935161803,True,True,True,3,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0009,A009,anchor,0.2,0.2,0.38346026445075326,0.20088173372749563,0.20051473211409943,0.00036700161339620063,0.000881733727495615,0.0005147321140994143,True,True,True,3,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0010,A010,anchor,0.05,0.06490799754769377,0.15315834970002212,0.05034019262779286,0.052009012930134026,0.0016688203023411674,0.0003401926277928555,0.002009012930134023,True,True,True,3,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0010,A010,anchor,0.1,0.12326839077458344,0.29430316469153206,0.1016826423944678,0.0995425542759495,0.0021400881185182907,0.0016826423944677898,0.0004574457240505009,True,True,True,3,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0010,A010,anchor,0.2,0.21742754593395683,0.604642544584425,0.19593322140002523,0.20022092914887887,0.0042877077488536475,0.004066778599974785,0.00022092914887886228,True,True,True,3,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0011,A011,anchor,0.05,0.05,0.11875626487204231,0.05168560847782946,0.04776438338787162,0.00392122508995784,0.0016856084778294547,0.0022356166121283855,True,True,True,3,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0011,A011,anchor,0.1,0.10209564716330012,0.23751252974408463,0.10066501741425883,0.09877458774855524,0.0018904296657035885,0.0006650174142588255,0.001225412251444763,True,True,True,3,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0011,A011,anchor,0.2,0.20524377718490344,0.47502505948816925,0.20472213586341947,0.20127292910378913,0.003449206759630341,0.004722135863419463,0.0012729291037891222,True,True,True,3,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0012,A012,anchor,0.05,0.05,0.12830613780608363,0.04790791180322735,0.04927810297506594,0.0013701911718385917,0.0020920881967726526,0.0007218970249340609,True,True,True,3,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0012,A012,anchor,0.1,0.10334091768642688,0.25661227561216726,0.10068049072305152,0.09800288033220318,0.0026776103908483367,0.0006804907230515134,0.0019971196677968234,True,True,True,3,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0012,A012,anchor,0.2,0.2,0.5132245512243345,0.19827825582764638,0.1977760273947998,0.0005022284328465854,0.0017217441723536286,0.002223972605200214,True,True,True,3,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0013,A013,anchor,0.05,0.07103638373175394,0.17751516915083435,0.04813642053631201,0.04999358032824597,0.00185715979193396,0.0018635794636879949,6.419671754034906e-06,True,True,True,3,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0013,A013,anchor,0.1,0.1391165795263286,0.3550303383016687,0.09946610380596758,0.09998603675650387,0.0005199329505362893,0.0005338961940324211,1.3963243496131761e-05,True,True,True,3,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0013,A013,anchor,0.2,0.25586039683496636,0.7100606766033374,0.20103566811436754,0.1994532895439206,0.001582378570446935,0.0010356681143675328,0.0005467104560794023,True,True,True,3,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0014,A014,anchor,0.05,0.0785736203233715,0.18884624186590632,0.05074006821815646,0.050448371411021625,0.0002916968071348322,0.0007400682181564547,0.0004483714110216225,True,True,True,3,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0014,A014,anchor,0.1,0.14881641836505483,0.37769248373181263,0.10133472926015778,0.09943354636581175,0.001901182894346029,0.001334729260157777,0.000566453634188252,True,True,True,3,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0014,A014,anchor,0.2,0.26144967115801043,0.7553849674636253,0.19467695151451747,0.19963851058231463,0.004961559067797161,0.00532304848548254,0.0003614894176853789,True,True,True,3,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0015,A015;X030,anchor,0.05,0.0845847520269946,0.19667685210855657,0.051214026467545214,0.05002643818062159,0.001187588286923627,0.0012140264675452109,2.6438180621583818e-05,True,True,True,3,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
