background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,classification
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0002,A002,anchor,0.8,0.3,32,14,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0003,A003,anchor,0.8,0.5,64,14,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0004,A004,anchor,1.25,0.7,16,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0005,A005,anchor,1.25,0.9,32,14,14,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0006,A006;X060,anchor,1.25,0.1,64,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0007,A007,anchor,2.0,0.3,16,14,14,0.1,0.1,2,0,1,0,2,loss_matching_failed,supported
H2B0008,A008;X099,anchor,2.0,0.5,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0009,A009,anchor,2.0,0.7,64,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0010,A010,anchor,3.1,0.9,16,14,14,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0011,A011,anchor,3.1,0.1,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0012,A012,anchor,3.1,0.3,64,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0013,A013,anchor,4.0,0.5,16,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0014,A014,anchor,4.0,0.7,32,14,14,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0015,A015;X030,anchor,4.0,0.9,64,14,14,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0016,A016,anchor,0.8,0.5,32,7,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0017,A017,anchor,1.25,0.3,64,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0018,A018,anchor,2.0,0.7,16,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0019,A019,anchor,3.1,0.5,32,14,14,0.0,0.0,2,0,1,0,2,loss_matching_failed,supported
H2B0020,A020,anchor,4.0,0.5,32,14,14,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0021,A021,anchor,0.8,0.1,64,28,28,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0022,A022,anchor,4.0,0.9,16,7,7,0.5,0.5,0,0,3,0,3,balk_served,inconclusive
H2B0023,A023,anchor,3.1,0.1,32,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0024,A024,anchor,3.1,0.9,32,21,21,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0025,A025,anchor,4.0,0.5,32,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0026,A026,anchor,2.0,0.5,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0028,A028,anchor,1.25,0.5,64,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0029,A029,anchor,3.1,0.3,32,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0030,A030,anchor,3.1,0.7,32,14,14,0.0,0.0,2,0,0,1,2,target_unattainable,supported
H2B0031,A031,anchor,3.1,0.5,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0032,A032,anchor,3.1,0.5,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0033,S001,sobol_symmetric,3.1,0.3,16,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0034,S002,sobol_symmetric,1.25,0.7,64,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0035,S003,sobol_symmetric,2.0,0.1,16,28,28,0.0,0.0,1,0,2,0,1,loss_matching_failed,inconclusive
H2B0036,S004,sobol_symmetric,4.0,0.9,64,14,14,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0037,S005,sobol_symmetric,3.1,0.1,64,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0038,S006,sobol_symmetric,1.25,0.9,16,28,28,0.0,0.0,1,0,2,0,3,balk_served,inconclusive
H2B0039,S007;X083,sobol_symmetric,0.8,0.5,32,7,7,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0040,S008,sobol_symmetric,3.1,0.7,32,21,21,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0041,S009,sobol_symmetric,2.0,0.3,32,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0042,S010,sobol_symmetric,0.8,0.9,32,14,14,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0043,S011,sobol_symmetric,1.25,0.3,64,21,21,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0044,S012,sobol_symmetric,4.0,0.7,16,7,7,0.0,0.0,2,0,0,1,2,target_unattainable,supported
H2B0045,S013,sobol_symmetric,4.0,0.5,16,7,7,0.0,0.0,2,0,1,0,2,loss_matching_failed,supported
H2B0046,S014,sobol_symmetric,2.0,0.5,64,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0047,S015,sobol_symmetric,0.8,0.1,16,14,14,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0048,S016,sobol_symmetric,3.1,0.9,64,28,28,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0049,S017,sobol_symmetric,3.1,0.1,32,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0050,S018,sobol_symmetric,0.8,0.9,32,21,21,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0051,S019,sobol_symmetric,2.0,0.5,16,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0052,S020,sobol_symmetric,4.0,0.5,64,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0053,S021,sobol_symmetric,4.0,0.3,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0054,S022,sobol_symmetric,1.25,0.7,16,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0055,S023,sobol_symmetric,0.8,0.3,64,21,21,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0056,S024,sobol_symmetric,2.0,0.7,16,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0057,S025,sobol_symmetric,2.0,0.3,64,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0058,S026,sobol_symmetric,0.8,0.5,16,28,28,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0059,S027,sobol_symmetric,1.25,0.1,64,7,7,0.5,0.5,2,0,1,0,3,utilization,supported
H2B0060,S028;X023,sobol_symmetric,3.1,0.9,32,21,21,0.1,0.1,0,0,3,0,3,balk_served,inconclusive
H2B0061,S029,sobol_symmetric,4.0,0.1,16,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0062,S030,sobol_symmetric,1.25,0.9,64,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0063,S031,sobol_symmetric,1.25,0.3,32,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0064,S032,sobol_symmetric,3.1,0.7,32,14,14,0.0,0.0,2,0,0,1,2,target_unattainable,supported
H2B0065,S033,sobol_symmetric,3.1,0.1,64,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0066,S034,sobol_symmetric,1.25,0.9,16,21,21,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0067,S035,sobol_symmetric,1.25,0.3,32,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0068,S036,sobol_symmetric,4.0,0.7,32,28,28,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0069,S037,sobol_symmetric,3.1,0.5,16,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0070,S038,sobol_symmetric,1.25,0.5,64,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0071,S039,sobol_symmetric,0.8,0.1,16,21,21,0.1,0.1,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0072,S040,sobol_symmetric,2.0,0.9,32,7,7,0.5,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0073,S041,sobol_symmetric,2.0,0.3,16,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0074,S042,sobol_symmetric,0.8,0.7,64,28,28,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0075,S043,sobol_symmetric,1.25,0.3,16,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0076,S044,sobol_symmetric,4.0,0.7,64,21,21,0.0,0.0,1,0,1,1,2,balk_served;target_unattainable,inconclusive
H2B0077,S045,sobol_symmetric,4.0,0.1,32,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0078,S046,sobol_symmetric,2.0,0.9,32,7,7,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0079,S047,sobol_symmetric,0.8,0.5,64,28,28,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0080,S048,sobol_symmetric,3.1,0.5,16,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0081,S049,sobol_symmetric,3.1,0.5,64,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0082,S050,sobol_symmetric,0.8,0.5,32,7,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0083,S051,sobol_symmetric,2.0,0.1,64,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0084,S052,sobol_symmetric,4.0,0.9,16,14,14,0.5,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0085,S053,sobol_symmetric,4.0,0.1,32,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0086,S054,sobol_symmetric,1.25,0.7,32,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0087,S055,sobol_symmetric,0.8,0.3,16,7,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0088,S056,sobol_symmetric,2.0,0.7,64,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0089,S057,sobol_symmetric,3.1,0.1,16,28,28,0.0,0.0,1,0,2,0,1,loss_matching_failed,inconclusive
H2B0090,S058,sobol_symmetric,0.8,0.9,64,14,14,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0091,S059,sobol_symmetric,1.25,0.3,32,21,21,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0092,S060,sobol_symmetric,4.0,0.5,32,7,7,0.1,0.1,2,0,1,0,2,loss_matching_failed,supported
H2B0093,S061,sobol_symmetric,4.0,0.3,64,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0094,S062,sobol_symmetric,2.0,0.7,16,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0095,S063;X065,sobol_symmetric,1.25,0.1,32,14,14,0.3,0.3,1,0,2,0,3,utilization,inconclusive
H2B0096,S064;X101,sobol_symmetric,3.1,0.9,16,28,28,0.0,0.0,1,0,1,1,2,balk_served;target_unattainable,inconclusive
H2B0097,S065,sobol_symmetric,3.1,0.1,64,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0098,S066,sobol_symmetric,1.25,0.9,16,28,28,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0099,S067,sobol_symmetric,2.0,0.5,64,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0100,S068,sobol_symmetric,4.0,0.7,16,21,21,0.0,0.0,0,0,2,1,1,balk_served;loss_matching_failed;target_unattainable,inconclusive
H2B0101,S069,sobol_symmetric,4.0,0.3,32,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0102,S070,sobol_symmetric,1.25,0.7,32,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0103,S071,sobol_symmetric,0.8,0.1,16,28,28,0.5,0.5,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0104,S072,sobol_symmetric,3.1,0.9,64,14,14,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0105,S073,sobol_symmetric,2.0,0.5,16,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0106,S074,sobol_symmetric,0.8,0.5,64,21,21,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0107,S075,sobol_symmetric,1.25,0.1,32,14,14,0.0,0.0,2,0,1,0,3,utilization,supported
H2B0108,S076,sobol_symmetric,4.0,0.9,32,28,28,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0109,S077,sobol_symmetric,4.0,0.3,64,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0110,S078,sobol_symmetric,2.0,0.7,16,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0111,S079,sobol_symmetric,0.8,0.3,64,21,21,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0112,S080,sobol_symmetric,3.1,0.7,32,7,7,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0113,S081,sobol_symmetric,3.1,0.3,64,28,28,0.0,0.0,3,0,0,0,3,,supported
H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,1,0,2,0,3,utilization,inconclusive
H2B0115,S083,sobol_symmetric,2.0,0.1,32,21,21,0.5,0.5,2,0,1,0,2,loss_matching_failed,supported
H2B0116,S084,sobol_symmetric,4.0,0.7,32,7,7,0.1,0.1,2,0,1,0,2,loss_matching_failed,supported
H2B0117,S085,sobol_symmetric,4.0,0.1,16,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0118,S086,sobol_symmetric,1.25,0.9,64,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0119,S087,sobol_symmetric,0.8,0.5,32,14,14,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0120,S088,sobol_symmetric,2.0,0.5,64,28,28,0.0,0.0,3,0,0,0,3,,supported
H2B0121,S089,sobol_symmetric,2.0,0.1,16,21,21,0.3,0.3,1,0,2,0,1,loss_matching_failed,inconclusive
H2B0122,S090,sobol_symmetric,0.8,0.9,32,7,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0123,S091,sobol_symmetric,1.25,0.3,16,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0124,S092,sobol_symmetric,3.1,0.7,64,14,14,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0125,S093,sobol_symmetric,4.0,0.3,32,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0126,S094;X046,sobol_symmetric,2.0,0.5,32,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0127,S095,sobol_symmetric,1.25,0.1,64,7,7,0.0,0.0,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0128,S096;X067,sobol_symmetric,3.1,0.9,16,21,21,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0129,S097,sobol_symmetric,3.1,0.5,32,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0130,S098;X032,sobol_symmetric,0.8,0.7,32,14,14,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0131,S099,sobol_symmetric,1.25,0.1,16,21,21,0.3,0.3,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0132,S100,sobol_symmetric,4.0,0.9,64,7,7,0.0,0.0,1,0,1,1,2,balk_served;target_unattainable,inconclusive
H2B0133,S101,sobol_symmetric,3.1,0.1,64,7,7,0.0,0.0,3,0,0,0,3,,supported
H2B0134,S102,sobol_symmetric,1.25,0.9,16,21,21,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0135,S103,sobol_symmetric,0.8,0.3,64,14,14,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0136,S104,sobol_symmetric,2.0,0.7,16,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0137,S105,sobol_symmetric,2.0,0.1,64,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0138,S106,sobol_symmetric,0.8,0.9,16,7,7,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0139,S107,sobol_symmetric,1.25,0.5,32,28,28,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0140,S108,sobol_symmetric,4.0,0.5,16,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0141,S109,sobol_symmetric,4.0,0.3,16,14,14,0.3,0.3,3,0,0,0,3,,supported
