background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h3_thresholds,noshow_high_low_focal,noshow_high_high_focal,n_exposed_thresholds,failure_component,classification,lowest_exposed_threshold,highest_exposed_threshold,n_gradient_paired_seeds,lowest_threshold_delta_utilization,highest_threshold_delta_utilization,low_minus_high_utilization_loss,low_minus_high_utilization_loss_ci_low,low_minus_high_utilization_loss_ci_high,spearman_threshold_vs_loss_magnitude,utilization_direction_component,threshold_gradient_component
H3B0030,A030,anchor,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.5,0.5,0,6,0.5,0.5,0.5,0.7,4;6;9;12,0.5,0.7,4,threshold_gradient,inconclusive,4.0,12.0,20.0,-0.14002996575342466,-0.1399957191780822,3.424657534246145e-05,-1.1181619427571288e-06,6.961131262768003e-05,-0.7745966692414834,supported,inconclusive
H3B0077,S045,sobol_symmetric,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.1,0.1,0,6,0.5,0.5,0.5,0.7,4;6;9;12,0.5,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.01970462328767122,-0.01970462328767122,0.0,0.0,0.0,,supported,inconclusive
H3B0089,S057,sobol_symmetric,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.0,0.0,9,9,0.3,0.3,0.5,0.5,0,6,0.0,0.0,0.0,0.5,4;6;9;12,0.0,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.0704537671232877,-0.0704537671232877,0.0,0.0,0.0,,supported,inconclusive
H3B0100,S068,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,21,21,0.0,0.0,12,12,0.5,0.5,0.7,0.7,0,9,0.5,0.5,0.5,0.5,4;6;9;12,0.5,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.13847602739726028,-0.13847602739726028,0.0,0.0,0.0,,supported,inconclusive
H3B0101,S069,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,21,21,0.0,0.0,9,9,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.7,4;6;9;12,0.0,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.21027825342465753,-0.21027825342465753,0.0,0.0,0.0,,supported,inconclusive
H3B0145,S113,sobol_symmetric,3.1,0.3,16,49.6,14.88,34.72,14,14,0.0,0.0,9,9,0.0,0.0,0.3,0.3,0,9,0.0,0.0,0.0,0.0,4;6;9;12,0.0,0.7,4,threshold_gradient,inconclusive,4.0,12.0,20.0,-0.20921232876712326,-0.209195205479452,1.712328767122795e-05,-7.5431155539783415e-06,4.1789690896434236e-05,-0.7745966692414834,supported,inconclusive
H3B0161,S129,sobol_symmetric,3.1,0.3,32,99.2,29.76,69.44,21,21,0.0,0.0,4,4,0.0,0.0,0.1,0.1,0,12,0.0,0.0,0.0,0.3,4;6;9;12,0.0,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.21097174657534246,-0.21097174657534246,0.0,0.0,0.0,,supported,inconclusive
H3B0180,S148,sobol_symmetric,4.0,0.9,32,128.0,115.2,12.799999999999995,28,28,0.0,0.0,12,12,0.1,0.1,0.1,0.1,0,6,0.0,0.0,0.0,0.0,4;6;9;12,0.0,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.6302354452054795,-0.6302354452054795,0.0,0.0,0.0,,supported,inconclusive
H3B0181,S149,sobol_symmetric,4.0,0.1,64,256.0,25.6,230.4,28,28,0.0,0.0,9,9,0.3,0.3,0.5,0.5,0,12,0.3,0.3,0.3,0.7,4;6;9;12,0.3,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.039606164383561654,-0.039606164383561654,0.0,0.0,0.0,,supported,inconclusive
H3B0213,S181,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.0,4,4,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.5,4;6;9;12,0.0,0.7,4,spearman_pattern;threshold_gradient,inconclusive,4.0,12.0,20.0,-0.20987157534246575,-0.20987157534246575,0.0,0.0,0.0,,supported,inconclusive
