background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0001,A001,anchor,low,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,0.04952736889794416,0.04952736889794416,0.04952736889794416,0.04952736889794416,0.04952736889794416,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0002,A002,anchor,low,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,0.013676929900407434,0.013676929900407434,0.013676929900407434,0.013676929900407434,0.013676929900407434,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0003,A003,anchor,low,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,0.0027649388680958953,0.0027649388680958953,0.0027649388680958953,0.0027649388680958953,0.0027649388680958953,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0004,A004;S022,anchor,low,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,3.176954582963546,3.176954582963546,3.176954582963546,3.176954582963546,3.176954582963546,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0005,A005,anchor,low,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,3.1637551387962284,3.1637551387962284,3.1637551387962284,3.1637551387962284,3.1637551387962284,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0006,A006,anchor,low,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,3.1280340807954325,3.1280340807954325,3.1280340807954325,3.1280340807954325,3.1280340807954325,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0007,A007,anchor,boundary,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.9715369082792398,0.09909990804210755,8.238021965810393,7.851056154776184,7.463445465808434,7.332743543461982,7.2664850575311535,0.09472504458380283,0.10347477150041227,20,-0.9715369082792383,-1.0256862647004685,-0.9173875518580081,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0008,A008,anchor,boundary,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.9063966599662248,0.09732083354079654,8.2189599693879,7.80453787320945,7.459845880586772,7.351113456965481,7.312563309421675,0.09420110176148791,0.10044056532010517,20,-0.9063966599662269,-0.9481952609791923,-0.8645980589532615,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0009,A009,anchor,boundary,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.9028517387319148,0.09678188864431066,8.236580948835334,7.764180775856021,7.464830897466349,7.378261048857477,7.333729210103419,0.09485563312660932,0.098708144162012,20,-0.9028517387319145,-0.9291614200721915,-0.8765420573916375,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0010,A010,anchor,high,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.3,0.3,True,20,hump,0.3,0.7,-0.6,1.5788476506138078,0.40127595143400063,9.444540759541695,9.628158029620524,9.989240609330162,9.21993451349679,8.410392958716354,0.3987528586339034,0.40379904423409785,20,,,,,,supported,0.5446998497884674,0.5309535541616983,0.5584461454152365,1.5788476506138074,1.5653583901260522,1.5923369111015626,20.0,,,,,,,
