background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0019,A019,anchor,high,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,True,20,decreasing,0.0,0.7,-0.8944271909999157,7.924007410666567,0.6773206793578399,13.0,13.0,13.0,12.99967265917179,5.075992589333433,0.6764000467297114,0.6782413119859684,20,-7.924007410666569,-7.935568795127287,-7.912446026205851,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0020,A020,anchor,high,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.0,0.0,0.0,0.0,6,6,0.7,0.7,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,1.5536150397140487,0.3323739699676811,6.902626032615092,6.650257677039322,6.158061646616732,5.609256149109052,5.349010992901043,0.3309206259105536,0.3338273140248086,20,-1.5536150397140496,-1.5681763219201317,-1.5390537575079675,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0022,A022,anchor,high,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,True,20,irregular,0.3,0.7,-0.6,0.2620912425196553,0.30880493639637463,3.8272803356752583,3.8887073266788037,3.956662780145014,3.8242011480787306,3.6945715376253587,0.3069828134420452,0.31062705935070406,20,-0.13270879804989957,-0.13927384930614992,-0.12614374679364923,20.0,active_but_irregular_curve,inconclusive,0.12938244446975536,0.1217919156395184,0.1369729732999923,0.2620912425196549,0.2537125852485896,0.27046989979072017,20.0,,,,,,,
H4B0025,A025,anchor,high,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,11.804689173514664,0.630044782047354,17.21570329204942,17.1478623626578,14.04212960125636,10.137323564033355,5.411014118534756,0.628977673040728,0.63111189105398,20,-11.804689173514664,-11.8343750158665,-11.775003331162827,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0030,A030,anchor,high,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.0,0.0,6,6,0.5,0.5,0.7,0.7,True,20,decreasing,0.0,0.7,-0.8944271909999157,2.929297465601465,0.6775634218714679,13.0,13.0,13.0,12.999784003707731,10.070702534398535,0.6770272076675051,0.6780996360754307,20,-2.929297465601464,-2.9422649442797106,-2.9163299869232175,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0036,S004,sobol_symmetric,high,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.39812603284425485,0.13209614977902556,6.8841201441246245,6.781505971894477,6.602900398802885,6.523497139080936,6.48599411128037,0.1305170154080788,0.13367528414997232,20,-0.3981260328442536,-0.4133884619490202,-0.38286360373948697,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0044,S012,sobol_symmetric,high,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,True,20,flat,0.0,0.7,-0.8944271909999157,0.062336714349848776,0.5807695440229171,6.0,6.0,6.0,5.999893773807635,5.937663285650151,0.5761716208678519,0.5853674671779824,20,-0.06233671434984891,-0.06944056925841119,-0.05523285944128662,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0045,S013,sobol_symmetric,high,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,True,20,flat,0.0,0.7,-0.8944271909999157,0.06803965379218635,0.5871067546125711,6.0,6.0,6.0,5.9999440947523635,5.931960346207814,0.58267915045222,0.5915343587729223,20,-0.06803965379218621,-0.07453619577036558,-0.06154311181400685,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0048,S016,sobol_symmetric,high,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,4.2255018629183745,0.30887801677057014,14.53879501581417,13.812033684290654,12.18686238542867,10.495039928724953,10.313293152895795,0.3075757774478511,0.3101802560932892,20,-4.225501862918373,-4.261621298224071,-4.189382427612674,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0049,S017,sobol_symmetric,high,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.5,0.5,True,20,irregular,0.3,0.7,-0.6,0.4689769857079713,0.3447593351820036,4.196927391432071,4.278365001908331,4.383167299432668,4.068678274293945,3.914190313724697,0.3436040626331252,0.34591460773088195,20,-0.28273707770737494,-0.28652630263459133,-0.27894785278015855,20.0,active_but_irregular_curve,inconclusive,0.18623990800059667,0.18056478664060743,0.1919150293605859,0.46897698570797175,0.46302387089189023,0.47493010052405327,20.0,,,,,,,
