background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,balk_threshold_class1_focal,seed,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered,class_1_offered_delay_counts_json,class_2_offered_delay_counts_json
H6B0001,A001,anchor,0.8,0.1,16,14,14,0,1000,0.785958904109589,0.785958904109589,0.998260113092649,0.042919389978213505,0.044584602000869944,0.9823399558498896,1.0,0.0017398869073510222,0.017660044150110375,0.0,0.0761986301369863,0.7097602739726028,0.0761986301369863,0.7097602739726028,0.02869757174392936,0.04632086851628468,-0.017660044150110354,0.017660044150110375,0.017623296772355322,453,4145,453,4145,445,4145,8,0,0,0,0,0,445,4145,0.0,0.0,0.0,0.011235955056179775,0.04632086851628468,0.017660044150110375,0.0,0.0,0.0,0.0,0.0,4598,4598,"{""0"": 440, ""1"": 13}","{""0"": 3953, ""1"": 192}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,0,1001,0.786986301369863,0.786986301369863,0.9984792526613079,0.03241949521322889,0.03389094069085379,0.9846491228070176,1.0,0.0015207473386921572,0.015350877192982455,0.0,0.07688356164383561,0.7101027397260274,0.07688356164383561,0.7101027397260274,0.02850877192982456,0.034482758620689655,-0.015350877192982448,0.015350877192982455,0.005973986690865095,456,4147,456,4147,449,4147,7,0,0,0,0,0,449,4147,0.0,0.0,0.0,0.013363028953229399,0.034482758620689655,0.015350877192982455,0.0,0.0,0.0,0.0,0.0,4603,4603,"{""0"": 443, ""1"": 13}","{""0"": 4004, ""1"": 143}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,1,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,1,1001,0.7931506849315069,0.7931506849315069,1.0,0.0429898466191402,0.0429898466191402,1.0,1.0,0.0,0.0,0.0,0.0809931506849315,0.7116438356164384,0.0809931506849315,0.7116438356164384,0.03382663847780127,0.044032723772858516,0.0,0.0,0.010206085295057246,473,4156,473,4156,473,4156,0,0,0,0,0,0,473,4156,0.0,0.0,0.0,0.03382663847780127,0.044032723772858516,0.0,0.0,0.0,0.0,0.0,0.0,4629,4629,"{""0"": 457, ""1"": 16}","{""0"": 3973, ""1"": 183}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,2,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,2,1001,0.7931506849315069,0.7931506849315069,1.0,0.0429898466191402,0.0429898466191402,1.0,1.0,0.0,0.0,0.0,0.0809931506849315,0.7116438356164384,0.0809931506849315,0.7116438356164384,0.03382663847780127,0.044032723772858516,0.0,0.0,0.010206085295057246,473,4156,473,4156,473,4156,0,0,0,0,0,0,473,4156,0.0,0.0,0.0,0.03382663847780127,0.044032723772858516,0.0,0.0,0.0,0.0,0.0,0.0,4629,4629,"{""0"": 457, ""1"": 16}","{""0"": 3973, ""1"": 183}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,3,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,3,1001,0.7931506849315069,0.7931506849315069,1.0,0.0429898466191402,0.0429898466191402,1.0,1.0,0.0,0.0,0.0,0.0809931506849315,0.7116438356164384,0.0809931506849315,0.7116438356164384,0.03382663847780127,0.044032723772858516,0.0,0.0,0.010206085295057246,473,4156,473,4156,473,4156,0,0,0,0,0,0,473,4156,0.0,0.0,0.0,0.03382663847780127,0.044032723772858516,0.0,0.0,0.0,0.0,0.0,0.0,4629,4629,"{""0"": 457, ""1"": 16}","{""0"": 3973, ""1"": 183}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,4,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,4,1001,0.7931506849315069,0.7931506849315069,1.0,0.0429898466191402,0.0429898466191402,1.0,1.0,0.0,0.0,0.0,0.0809931506849315,0.7116438356164384,0.0809931506849315,0.7116438356164384,0.03382663847780127,0.044032723772858516,0.0,0.0,0.010206085295057246,473,4156,473,4156,473,4156,0,0,0,0,0,0,473,4156,0.0,0.0,0.0,0.03382663847780127,0.044032723772858516,0.0,0.0,0.0,0.0,0.0,0.0,4629,4629,"{""0"": 457, ""1"": 16}","{""0"": 3973, ""1"": 183}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,5,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,5,1001,0.7931506849315069,0.7931506849315069,1.0,0.0429898466191402,0.0429898466191402,1.0,1.0,0.0,0.0,0.0,0.0809931506849315,0.7116438356164384,0.0809931506849315,0.7116438356164384,0.03382663847780127,0.044032723772858516,0.0,0.0,0.010206085295057246,473,4156,473,4156,473,4156,0,0,0,0,0,0,473,4156,0.0,0.0,0.0,0.03382663847780127,0.044032723772858516,0.0,0.0,0.0,0.0,0.0,0.0,4629,4629,"{""0"": 457, ""1"": 16}","{""0"": 3973, ""1"": 183}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,6,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,6,1001,0.7931506849315069,0.7931506849315069,1.0,0.0429898466191402,0.0429898466191402,1.0,1.0,0.0,0.0,0.0,0.0809931506849315,0.7116438356164384,0.0809931506849315,0.7116438356164384,0.03382663847780127,0.044032723772858516,0.0,0.0,0.010206085295057246,473,4156,473,4156,473,4156,0,0,0,0,0,0,473,4156,0.0,0.0,0.0,0.03382663847780127,0.044032723772858516,0.0,0.0,0.0,0.0,0.0,0.0,4629,4629,"{""0"": 457, ""1"": 16}","{""0"": 3973, ""1"": 183}"
H6B0001,A001,anchor,0.8,0.1,16,14,14,7,1000,0.8157534246575342,0.8157534246575342,1.0,0.06297229219143577,0.06297229219143577,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7363013698630136,0.07945205479452055,0.7363013698630136,0.05603448275862069,0.06372093023255813,0.0,0.0,0.007686447473937444,464,4300,464,4300,464,4300,0,0,0,0,0,0,464,4300,0.0,0.0,0.0,0.05603448275862069,0.06372093023255813,0.0,0.0,0.0,0.0,0.0,0.0,4764,4764,"{""0"": 438, ""1"": 26}","{""0"": 4026, ""1"": 274}"
