background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,11,0.44755244755244755,0.1915578612105331,5.0,6.0,6.0,0.3919641341385208,0.02645434821807119,True,True,spearman_below_support_threshold,inconclusive
H6B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.44755244755244755,0.04622154567870755,2.0,3.0,3.0,0.0458339426230022,0.004026408692934758,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.39860139860139865,0.03336292904124023,10.0,11.0,11.0,0.3556445833701315,0.023087174484265494,True,True,spearman_below_support_threshold,inconclusive
H6B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.013986013986013986,0.03520122278798897,0.0,1.0,1.0,0.03525361196466418,0.013674677392382461,True,True,spearman_below_support_threshold,inconclusive
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.8531468531468532,0.03239821332465956,1.0,2.0,2.0,0.03131711860819499,0.0079465308180969,True,False,bucket_mass_jump_relationship_reversed,reversed
H6B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.9510489510489512,0.034898752962438384,0.0,1.0,1.0,0.03241258122016809,0.006171852126996622,True,False,bucket_mass_jump_relationship_reversed,reversed
H6B0015,A015,anchor,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.9160839160839163,0.037482342794917106,0.0,1.0,1.0,0.03533505678637823,0.002508584597250092,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,0,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12,12,9,0.3677763958776318,0.4780049792200678,3.0,4.0,4.0,0.17196462730727646,0.011991878723051751,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0022,A022,anchor,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,0,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0;1;2;3;4;5,5,4,0.49999999999999994,0.3707348088207399,0.0,1.0,1.0,0.4232284263188492,0.00571493173956422,True,True,spearman_below_support_threshold,inconclusive
H6B0025,A025,anchor,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,0,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,20,0.451114922813036,0.17517260037443386,0.0,1.0,1.0,0.03184819231549542,0.01365565504107181,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0026,A026,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,12,0.0,0.0,0.7,0.7,12,12,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.34965034965034975,0.23791641925281715,5.0,6.0,6.0,0.36524289367913476,0.03350966642208186,True,True,spearman_below_support_threshold,inconclusive
H6B0032,A032,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,0,6,0.0,0.0,0.1,0.1,9,9,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.4125874125874127,0.04448383987094616,11.0,12.0,12.0,0.047761787480101785,0.002133795563177633,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,0,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,26,0.3442735042735042,0.4457138269290445,8.0,9.0,9.0,0.47094238200627914,0.20688829229497602,True,True,spearman_below_support_threshold,inconclusive
H6B0042,S010,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,0,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.01439372381247273,0.00409391042750189,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,0,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,23,0.10017094017094016,0.03391560005623585,16.0,17.0,17.0,0.034255115908544236,0.0007834232519387003,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
