background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.047793990967918004,0.023983540197131663,True,True,,supported
H6B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.013370924986146093,0.006570406849176052,True,True,,supported
H6B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,0,,,,,,,,,,all_reclassified_bucket_masses_below_1pct,inactive
H6B0004,A004,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,5,0.9681274900398404,0.0016452538878329998,2.0,3.0,3.0,0.431627724848183,0.0290189827737914,True,True,,supported
H6B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,5,0.9840637450199203,0.00025290032239204727,1.0,2.0,2.0,0.5354983436819999,0.012036019466115133,True,True,,supported
H6B0006,A006;X060,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,4,1.0,0.0,2.0,3.0,3.0,0.5895440263889605,0.17828993005397054,True,True,,supported
H6B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,10,0.5734265734265735,0.0551767266055843,8.0,9.0,9.0,0.38327456552454825,0.04237285684501692,True,True,,supported
H6B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,10,0.8251748251748254,0.059732597093962864,8.0,9.0,9.0,0.41357362673637343,0.03334247947885353,True,True,,supported
H6B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,11,0.44755244755244755,0.1915578612105331,5.0,6.0,6.0,0.3919641341385208,0.02645434821807119,True,True,spearman_below_support_threshold,inconclusive
H6B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.44755244755244755,0.04622154567870755,2.0,3.0,3.0,0.0458339426230022,0.004026408692934758,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.39860139860139865,0.03336292904124023,10.0,11.0,11.0,0.3556445833701315,0.023087174484265494,True,True,spearman_below_support_threshold,inconclusive
H6B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.013986013986013986,0.03520122278798897,0.0,1.0,1.0,0.03525361196466418,0.013674677392382461,True,True,spearman_below_support_threshold,inconclusive
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.8531468531468532,0.03239821332465956,1.0,2.0,2.0,0.03131711860819499,0.0079465308180969,True,False,bucket_mass_jump_relationship_reversed,reversed
H6B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.9510489510489512,0.034898752962438384,0.0,1.0,1.0,0.03241258122016809,0.006171852126996622,True,False,bucket_mass_jump_relationship_reversed,reversed
H6B0015,A015,anchor,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.9160839160839163,0.037482342794917106,0.0,1.0,1.0,0.03533505678637823,0.002508584597250092,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0016,A016,anchor,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,0,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0;1;2;3;4;5,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0017,A017,anchor,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,0,6,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0018,A018,anchor,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,0,12,0.3,0.3,0.3,0.3,12,12,0.3,0.3,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,0,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12,12,9,0.3677763958776318,0.4780049792200678,3.0,4.0,4.0,0.17196462730727646,0.011991878723051751,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0020,A020,anchor,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,0,6,0.7,0.7,0.7,0.7,6,6,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0021,A021,anchor,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,0,12,0.0,0.0,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,0,,,,,,,,,,all_reclassified_bucket_masses_below_1pct,inactive
H6B0022,A022,anchor,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,0,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0;1;2;3;4;5,5,4,0.49999999999999994,0.3707348088207399,0.0,1.0,1.0,0.4232284263188492,0.00571493173956422,True,True,spearman_below_support_threshold,inconclusive
H6B0023,A023,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,0,9,0.3,0.3,0.7,0.7,6,6,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,6,0.9578454332552693,0.0,0.0,1.0,1.0,0.14282216729063227,0.037492986037151545,True,True,,supported
H6B0024,A024,anchor,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,0,9,0.3,0.3,0.7,0.7,6,6,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,6,0.9953161592505856,0.0,0.0,1.0,1.0,0.48243706352862403,0.009724645462385422,True,True,,supported
