background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,failure_component,classification,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high
H7B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.038206654465430326,-0.03984449898359564,-0.03656880994726501
H7B0025,A025,anchor,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,2.0,2.0,20.0,-0.00014420071477090485,-0.000836842895132336,0.0005484414655905263
H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,1.0,20.0,-0.027527434175577386,-0.03375627045852073,-0.02129859789263404
H7B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_reversed,reversed,1.0,3.0,0.0,20.0,-0.030652901448920335,-0.03380532841880186,-0.027500474479038813
H7B0032,A032,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.1,0.1,9,9,0.3,0.3,0.7,0.7,0.05;0.10,2,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,0.0,1.0,20.0,0.002370075566207935,0.0004313531146565308,0.004308798017759339
H7B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,0.0,3.0,20.0,0.0034169270455641173,-0.00039168427341746727,0.007225538364545702
H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,1.0,20.0,-0.054421211234604416,-0.0603328676545964,-0.04850955481461243
H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,1.0,20.0,-0.006513774887768445,-0.008950452715881737,-0.004077097059655152
H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,1.0,4.0,0.0,20.0,-0.013720876931892894,-0.016605357152171582,-0.010836396711614208
H7B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.07879706369931767,-0.08120307266094064,-0.07639105473769471
H7B0073,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,1.0,20.0,-0.013807141597280404,-0.01764200169294631,-0.0099722815016145
H7B0080,S048,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.1,0.1,0.7,0.7,4,4,0.3,0.3,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,3.0,1.0,20.0,-0.0010096543067487352,-0.0024624783398363836,0.0004431697263389135
