background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,gap_magnitude_focal,n_paired_seeds,mean_class2_low_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,pre_minus_post_absolute_served_gap,pre_minus_post_absolute_served_gap_ci_low,pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,1.0,0.0,False,0.05130983650639946,0.0494694062876841,0.053150266725114824,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,1.0,0.0,False,0.10054980543427425,0.09847156691843634,0.10262804395011216,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,1.0,0.0,False,0.2011712036102835,0.19831087171793996,0.20403153550262706,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,1.0,0.0,False,0.299860464179314,0.2967328262443362,0.3029881021142918,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,1.0,0.0,False,0.5009613808846667,0.4977672741868694,0.504155487582464,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,1.0,0.0,False,0.0510604558480738,0.049960559164859496,0.05216035253128811,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,1.0,0.0,False,0.1002445022745733,0.09877315118806752,0.10171585336107906,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,1.0,0.0,False,0.19856314840407277,0.19670262406834316,0.20042367273980238,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,1.0,0.0,False,0.30090886477856604,0.2978244259579472,0.30399330359918486,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,1.0,0.0,False,0.49785340941816614,0.49453512294148116,0.5011716958948511,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,1.0,0.0,False,0.05067638493101716,0.049288329394875895,0.05206444046715842,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,1.0,0.0,False,0.10055689464948958,0.09893384442536773,0.10217994487361143,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,1.0,0.0,False,0.19939519549344673,0.19740880670724698,0.20138158427964648,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,1.0,0.0,False,0.29929167033564597,0.29696242159211894,0.301620919079173,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,1.0,0.0,False,0.5003242391381242,0.49835518545637597,0.5022932928198725,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0004,A004,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,1.0,0.0,False,0.03674339518539883,0.03202474403487187,0.041462046335925797,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0004,A004,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,1.0,0.0,False,0.07805154427614036,0.07327524220380406,0.08282784634847666,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0004,A004,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,1.0,0.0,False,0.16457982747659383,0.15871930807136578,0.17044034688182189,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0004,A004,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,1.0,0.0,False,0.25447945356034735,0.24771367446655998,0.2612452326541347,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0004,A004,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,1.0,0.0,False,0.45895626672064127,0.45160228982557715,0.4663102436157054,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,1.0,0.0,False,0.029560139138356915,0.024269667120728748,0.03485061115598508,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,1.0,0.0,False,0.07062230444910458,0.06499578229307114,0.07624882660513803,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,1.0,0.0,False,0.15611572984872096,0.14748097471269048,0.16475048498475145,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,1.0,0.0,False,0.23516866251623925,0.2297617360346416,0.2405755889978369,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,1.0,0.0,False,0.4082996462638245,0.4016036023889775,0.41499569013867144,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,1.0,0.0,False,0.03489239925692571,0.03082470179746605,0.03896009671638537,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,1.0,0.0,False,0.08133861422380013,0.07828765054025377,0.0843895779073465,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,1.0,0.0,False,0.18966409194508865,0.18710837362629779,0.19221981026387952,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,1.0,0.0,False,0.29258524074973835,0.29015141934399796,0.29501906215547874,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,1.0,0.0,False,0.49217604778892793,0.48963882730007674,0.4947132682777791,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,0.830544548987508,0.16945545101249201,True,0.013830732685982505,0.008415505451997943,0.019245959919967068,,supported
H7B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,0.8532851425971962,0.1467148574028036,True,0.036244429871609724,0.030636290918643668,0.041852568824575775,,supported
H7B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,0.8686544054414147,0.13134559455858535,True,0.08454209116037915,0.07767980146286703,0.09140438085789128,,supported
H7B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,0.8568264449388083,0.14317355506119162,True,0.15089707239843103,0.14540999588363046,0.1563841489132316,,supported
H7B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,0.8050538641369421,0.19494613586305798,True,0.333173444170302,0.32780344022523666,0.3385434481153673,,supported
H7B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,0.835351043911938,0.16464895608806193,True,0.013704777064962944,0.00950004837459791,0.01790950575532798,,supported
H7B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,0.845384132776829,0.15461586722317114,True,0.039915289890503705,0.0355493076588047,0.04428127212220271,,supported
H7B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,0.8741300893247033,0.12586991067529668,True,0.07900158167862811,0.07412341428066078,0.08387974907659544,,supported
H7B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.3,20,0.8770534777612855,0.12294652223871452,True,0.12845669786317734,0.12385693481799442,0.13305646090836026,,supported
H7B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.5,20,0.847879489233561,0.1521205107664389,True,0.2822910732615559,0.2755640280166236,0.2890181185064882,,supported
H7B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.05,20,0.8279813315545328,0.17201866844546723,True,0.013818684044809479,0.01118181955875887,0.016455548530860085,,supported
H7B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,20,0.8360077121539937,0.16399228784600609,True,0.035828122501296245,0.03207508255546593,0.03958116244712656,,supported
H7B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,20,0.8535292137821127,0.14647078621788712,True,0.07505733260518528,0.07259143713905229,0.07752322807131827,,supported
