background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
H8B0001,A001,anchor,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.5,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.5,20,1.0,0.0,0.0,False,0.08957436550136036,0.07158839352877289,0.10756033747394783,0.08957436550136036,0.0,0.0,0.0,0.0,-0.08957436550136036,-0.10756033747394783,-0.07158839352877289,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0002,A002,anchor,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.5,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.0,0.1,0.5,0.5,0.0,0.4,20,1.0,0.0,0.0,False,0.09585857085216307,0.0880548064144661,0.10366233528986003,0.09585857085216307,0.0,0.0,0.0,0.0,-0.09585857085216307,-0.10366233528986003,-0.0880548064144661,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0003,A003,anchor,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.5,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.0,0.2,0.5,0.5,0.0,0.3,20,1.0,0.0,0.0,False,0.09822838240440944,0.09510026726844852,0.10135649754037036,0.09822838240440944,0.0,0.0,0.0,0.0,-0.09822838240440944,-0.10135649754037036,-0.09510026726844852,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0004,A004;S022,anchor,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.5,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.0,0.3,0.5,0.5,0.0,0.2,20,1.0,0.0,0.0,False,0.1020998357368907,0.09810804743218421,0.1060916240415972,0.1020998357368907,0.0,0.0,0.0,0.0,-0.1020998357368907,-0.1060916240415972,-0.09810804743218421,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0005,A005,anchor,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.5,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,0.0,0.4,0.5,0.5,0.0,0.1,20,1.0,0.0,0.0,False,0.10015307854792894,0.09853141764091347,0.10177473945494442,0.10015307854792894,0.0,0.0,0.0,0.0,-0.10015307854792894,-0.10177473945494442,-0.09853141764091347,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0006,A006,anchor,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.0,0.4,0.5,0.0,0.5,20,1.0,0.0,0.0,False,0.07812448382478379,0.07306533797823393,0.08318362967133365,0.07812448382478379,0.0,0.0,0.0,0.0,-0.07812448382478379,-0.08318362967133365,-0.07306533797823393,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,20,0.944090248817842,0.05590975118215793,0.04295191445426594,True,0.035949619761065796,0.03171736295741204,0.040181876564719554,0.035949619761065796,-0.0014347705051647008,-0.00651820898032565,0.003648667969996248,0.0084070199349354,-0.027542599826130398,-0.032766325713654995,-0.022318873938605797,0.0,within_class_effect_larger,reversed
H8B0008,A008,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.1,0.2,0.4,0.5,0.0,0.3,20,0.9976307251027243,0.002369274897275595,4.442230603976767e-05,False,0.019335552022658027,0.015633013036491932,0.023038091008824122,0.019335552022658027,0.00015306231470746945,-0.00016730079179867873,0.00047342542121361767,0.00015306231470746945,-0.019182489707950556,-0.023003028707627975,-0.015361950708273137,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0009,A009,anchor,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.1,0.3,0.4,0.5,0.0,0.2,20,1.0,0.0,0.0,False,-0.024754837509625576,-0.027738385331378804,-0.02177128968787235,0.024754837509625576,0.0,0.0,0.0,0.0,-0.024754837509625576,-0.027738385331378804,-0.02177128968787235,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,0.1,0.4,0.4,0.5,0.0,0.1,20,0.5300470128265754,0.4699529871734246,0.3747792356167035,True,0.0033616670850899547,0.001995195487513124,0.004728138682666786,0.003919014399876915,-0.0008804642404879742,-0.002570271009003351,0.0008093425280274024,0.0028703314803560976,-0.0010486829195208171,-0.002367088765492942,0.0002697229264513076,0.2,absolute_effect_difference_inconclusive,inconclusive
H8B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,0.0,0.3,0.5,0.0,0.5,20,0.29877351451501094,0.701226485484989,0.6969203192799537,True,0.015819798967308146,0.012219847447942092,0.0194197504866742,0.015819798967308146,-0.01686709327902961,-0.02108882423937727,-0.012645362318681953,0.016972998133265537,0.0011531991659573914,-0.005557194381799355,0.007863592713714137,0.5,absolute_effect_difference_inconclusive,inconclusive
H8B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.2,0.1,0.3,0.5,0.0,0.4,20,0.3144036006554658,0.6855963993445343,0.6750511602720866,True,0.015290727262291267,0.01371675015578715,0.016864704368795384,0.015290727262291267,-0.007843062974317952,-0.009408274386858229,-0.006277851561777676,0.007843062974317952,-0.007447664287973313,-0.010172244792511493,-0.004723083783435134,0.15,within_class_effect_larger,reversed
H8B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.2,0.2,0.3,0.5,0.0,0.3,20,0.3216717858727745,0.6783282141272254,0.6606248398543949,True,0.009980600344768005,0.007975346253275752,0.011985854436260258,0.009980600344768005,-0.004563762162529965,-0.006841332407426461,-0.0022861919176334696,0.005476583328158295,-0.00450401701660971,-0.007944459372619554,-0.0010635746605998668,0.25,within_class_effect_larger,reversed
H8B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.2,0.3,0.3,0.5,0.0,0.2,20,0.3313647659357596,0.6686352340642404,0.6525385994798134,True,0.0063552302704003565,0.005261969631643203,0.00744849090915751,0.0063552302704003565,-0.002367253345910034,-0.0034068974686952006,-0.0013276092231248669,0.0028173661930392447,-0.0035378640773611122,-0.004971927834684947,-0.002103800320037277,0.15,within_class_effect_larger,reversed
H8B0015,A015;X036,anchor,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,0.2,0.4,0.3,0.5,0.0,0.1,20,0.32594349062428063,0.6740565093757194,0.6582524900237094,True,0.002239281347343358,0.0017059115947942742,0.002772651099892442,0.002249043589505878,-0.0010724007098874098,-0.0016639445328201863,-0.0004808568869546332,0.0012732522111729941,-0.000975791378332884,-0.0017967007625714472,-0.0001548819940943207,0.25,absolute_effect_difference_inconclusive,inconclusive
H8B0016,A016,anchor,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.2,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.0,0.5,20,1.0,0.0,0.0,False,0.09970408850683066,0.09682912182773791,0.1025790551859234,0.09970408850683066,0.0,0.0,0.0,0.0,-0.09970408850683066,-0.1025790551859234,-0.09682912182773791,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0017,A017,anchor,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,6,6,0.2,0.0,0.5,0.4,9,9,0.0,0.0,0.1,0.1,0.3,0.1,0.2,0.5,0.0,0.4,20,1.0,0.0,0.0,False,0.05927700953339197,0.056471178542465,0.062082840524318936,0.05927700953339197,0.0,0.0,0.0,0.0,-0.05927700953339197,-0.062082840524318936,-0.056471178542465,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0018,A018,anchor,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,12,12,0.2,0.0,0.5,0.3,12,12,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,20,1.0,0.0,0.0,False,0.01686419298196374,0.012954625359623616,0.020773760604303863,0.01686419298196374,0.0,0.0,0.0,0.0,-0.01686419298196374,-0.020773760604303863,-0.012954625359623616,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.2,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.5,0.3,0.3,0.2,0.5,0.0,0.2,20,0.0,1.0,1.0,False,-0.00044427851454280495,-0.0016017877602178205,0.0007132307311322107,0.0017819110952701626,-0.008871987806449733,-0.010067107785991604,-0.007676867826907862,0.008871987806449733,0.007090076711179572,0.00570171386765315,0.008478439554705994,1.0,insufficient_offer_exposure:class1_pre_threshold,inactive
H8B0020,A020,anchor,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.2,0.0,0.5,0.1,6,6,0.7,0.7,0.7,0.7,0.3,0.4,0.2,0.5,0.0,0.1,20,0.486869279860805,0.5131307201391948,0.49976653094428247,True,0.003942819783637805,0.00277857907733981,0.0051070604899358,0.004144198978649605,-0.0004556387381296566,-0.0017648766161873718,0.0008535991399280587,0.0023115665229560345,-0.0018326324556935704,-0.003141803856125677,-0.0005234610552614636,0.25,absolute_effect_difference_inconclusive,inconclusive
H8B0021,A021,anchor,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,12,12,0.1,0.0,0.5,0.5,12,12,0.0,0.0,0.1,0.1,0.4,0.0,0.1,0.5,0.0,0.5,20,1.0,0.0,0.0,False,0.10379010219935184,0.10123839852003017,0.1063418058786735,0.10379010219935184,0.0,0.0,0.0,0.0,-0.10379010219935184,-0.1063418058786735,-0.10123839852003017,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0022,A022,anchor,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.1,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,0.4,0.1,0.1,0.5,0.0,0.4,20,0.5458843602544429,0.45411563974555713,0.42673245926779674,True,-0.00017544213960581645,-0.0015825420880401313,0.0012316578088284983,0.0024571233968677885,-0.0007251387658791936,-0.0022343417632849742,0.0007840642315265873,0.0027465627350842835,0.00028943933821649475,-0.0007298993336761867,0.0013087780101091763,0.45,absolute_effect_difference_inconclusive,inconclusive
H8B0023,A023,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,9,9,0.1,0.0,0.5,0.3,6,6,0.3,0.3,0.7,0.7,0.4,0.2,0.1,0.5,0.0,0.3,20,0.9984621389223068,0.0015378610776930475,0.0012570478669281524,False,0.01711074828570399,0.014348682884145978,0.019872813687262,0.01711074828570399,-0.0014161440711825389,-0.004940664240527224,0.002108376098162146,0.0057145070032208495,-0.011396241282483139,-0.01468891335038965,-0.008103569214576629,0.05,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0024,A024,anchor,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,9,9,0.1,0.0,0.5,0.2,6,6,0.3,0.3,0.7,0.7,0.4,0.3,0.1,0.5,0.0,0.2,20,0.9988939807970955,0.001106019202904407,1.3668671405134999e-05,False,0.00023953884755250758,-0.001339213788214192,0.0018182914833192072,0.0024977441775687935,0.0,0.0,0.0,0.0,-0.0024977441775687935,-0.003530823461540766,-0.0014646648935968212,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0025,A025,anchor,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.1,0.0,0.5,0.1,4,4,0.0,0.0,0.7,0.7,0.4,0.4,0.1,0.5,0.0,0.1,20,0.10303534886374262,0.8969646511362572,0.8946373220289342,True,0.004310654433656454,0.0029860889293069647,0.005635219938005944,0.0045997804084025855,-0.002656775260290979,-0.0035206761089532973,-0.0017928744116286607,0.0027050156070349595,-0.0018947648013676259,-0.0034814993811603566,-0.0003080302215748953,0.2,absolute_effect_difference_inconclusive,inconclusive
H8B0026,A026,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,12,12,0.5,0.0,0.5,0.5,12,12,0.0,0.0,0.7,0.7,0.0,0.0,0.5,0.5,0.0,0.5,20,1.0,0.0,0.0,False,0.041581205172531145,0.03817399279554855,0.04498841754951374,0.041581205172531145,0.0,0.0,0.0,0.0,-0.041581205172531145,-0.04498841754951374,-0.03817399279554855,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.5,0.0,0.5,0.4,9,9,0.0,0.0,0.3,0.3,0.0,0.1,0.5,0.5,0.0,0.4,20,0.9956397146573377,0.00436028534266221,0.0,False,0.09990617319435091,0.09396673955123201,0.10584560683746981,0.09990617319435091,0.0,0.0,0.0,0.0,-0.09990617319435091,-0.10584560683746981,-0.09396673955123201,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.5,0.0,0.5,0.3,9,9,0.0,0.0,0.3,0.3,0.0,0.2,0.5,0.5,0.0,0.3,20,0.9999829071516476,1.70928483522475e-05,0.0,False,0.09906643338814472,0.09619108813820385,0.1019417786380856,0.09906643338814472,0.0,0.0,0.0,0.0,-0.09906643338814472,-0.1019417786380856,-0.09619108813820385,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0029,A029,anchor,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,9,9,0.5,0.0,0.5,0.2,6,6,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.0,0.2,20,1.0,0.0,0.0,False,0.0284775957723453,0.025881049921059284,0.031074141623631316,0.0284775957723453,0.0,0.0,0.0,0.0,-0.0284775957723453,-0.031074141623631316,-0.025881049921059284,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0030,A030,anchor,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.5,0.0,0.5,0.1,6,6,0.5,0.5,0.7,0.7,0.0,0.4,0.5,0.5,0.0,0.1,20,0.0,1.0,1.0,False,9.854005434009396e-05,-0.0006928933682829751,0.000889973476963163,0.0012621754063266149,-0.0028802499056337994,-0.003791144608888587,-0.001969355202379012,0.0028802499056337994,0.0016180744993071843,0.0005025432025305306,0.002733605796083838,0.8,insufficient_offer_exposure:class1_pre_threshold,inactive
H8B0031,A031,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.4,0.0,0.5,0.5,9,9,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.5,0.0,0.5,20,0.23598028878573513,0.7640197112142648,0.7579507692169045,True,0.008576004116757121,0.006442131724029568,0.010709876509484673,0.00887276885823258,-0.022967292247337387,-0.025216910137002908,-0.020717674357671866,0.022967292247337387,0.014094523389104807,0.010462591512895974,0.017726455265313638,1.0,,supported
H8B0032,A032,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.4,0.0,0.5,0.4,9,9,0.3,0.3,0.7,0.7,0.1,0.1,0.4,0.5,0.0,0.4,20,0.23466767030517793,0.765332329694822,0.7577752486218046,True,0.0029308504720839375,0.00024421927309652624,0.005617481671071348,0.004624785726745598,-0.016753528005332148,-0.01948326678586238,-0.014023789224801915,0.016753528005332148,0.012128742278586551,0.00802704488601991,0.01623043967115319,0.85,,supported
H8B0033,S001,sobol_symmetric,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.4,0.0,0.5,0.3,12,12,0.0,0.0,0.3,0.3,0.1,0.2,0.4,0.5,0.0,0.3,20,1.0,0.0,0.0,False,0.03169524508739569,0.028970513574485327,0.03441997660030606,0.03169524508739569,0.0,0.0,0.0,0.0,-0.03169524508739569,-0.03441997660030606,-0.028970513574485327,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0034,S002,sobol_symmetric,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.4,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,0.1,0.3,0.4,0.5,0.0,0.2,20,1.0,0.0,0.0,False,0.06929366868084531,0.06750075433073675,0.07108658303095387,0.06929366868084531,0.0,0.0,0.0,0.0,-0.06929366868084531,-0.07108658303095387,-0.06750075433073675,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.4,0.0,0.5,0.1,4,4,0.7,0.7,0.7,0.7,0.1,0.4,0.4,0.5,0.0,0.1,20,0.0,1.0,1.0,False,-0.0009707900728823556,-0.004307290512437112,0.0023657103666724004,0.0055421232705747964,-0.008602975725600455,-0.01393207591428415,-0.003273875536916759,0.011860525709854216,0.006318402439279419,0.002853094298866518,0.00978371057969232,0.8,insufficient_offer_exposure:class1_pre_threshold,inactive
