background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
H8B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,20,0.944090248817842,0.05590975118215793,0.04295191445426594,True,0.035949619761065796,0.03171736295741204,0.040181876564719554,0.035949619761065796,-0.0014347705051647008,-0.00651820898032565,0.003648667969996248,0.0084070199349354,-0.027542599826130398,-0.032766325713654995,-0.022318873938605797,0.0,within_class_effect_larger,reversed
H8B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,0.1,0.4,0.4,0.5,0.0,0.1,20,0.5300470128265754,0.4699529871734246,0.3747792356167035,True,0.0033616670850899547,0.001995195487513124,0.004728138682666786,0.003919014399876915,-0.0008804642404879742,-0.002570271009003351,0.0008093425280274024,0.0028703314803560976,-0.0010486829195208171,-0.002367088765492942,0.0002697229264513076,0.2,absolute_effect_difference_inconclusive,inconclusive
H8B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0.2,0.0,0.3,0.5,0.0,0.5,20,0.29877351451501094,0.701226485484989,0.6969203192799537,True,0.015819798967308146,0.012219847447942092,0.0194197504866742,0.015819798967308146,-0.01686709327902961,-0.02108882423937727,-0.012645362318681953,0.016972998133265537,0.0011531991659573914,-0.005557194381799355,0.007863592713714137,0.5,absolute_effect_difference_inconclusive,inconclusive
H8B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.2,0.1,0.3,0.5,0.0,0.4,20,0.3144036006554658,0.6855963993445343,0.6750511602720866,True,0.015290727262291267,0.01371675015578715,0.016864704368795384,0.015290727262291267,-0.007843062974317952,-0.009408274386858229,-0.006277851561777676,0.007843062974317952,-0.007447664287973313,-0.010172244792511493,-0.004723083783435134,0.15,within_class_effect_larger,reversed
H8B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.2,0.2,0.3,0.5,0.0,0.3,20,0.3216717858727745,0.6783282141272254,0.6606248398543949,True,0.009980600344768005,0.007975346253275752,0.011985854436260258,0.009980600344768005,-0.004563762162529965,-0.006841332407426461,-0.0022861919176334696,0.005476583328158295,-0.00450401701660971,-0.007944459372619554,-0.0010635746605998668,0.25,within_class_effect_larger,reversed
H8B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.2,0.3,0.3,0.5,0.0,0.2,20,0.3313647659357596,0.6686352340642404,0.6525385994798134,True,0.0063552302704003565,0.005261969631643203,0.00744849090915751,0.0063552302704003565,-0.002367253345910034,-0.0034068974686952006,-0.0013276092231248669,0.0028173661930392447,-0.0035378640773611122,-0.004971927834684947,-0.002103800320037277,0.15,within_class_effect_larger,reversed
H8B0015,A015;X036,anchor,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.1,6,6,0.0,0.0,0.3,0.3,0.2,0.4,0.3,0.5,0.0,0.1,20,0.32594349062428063,0.6740565093757194,0.6582524900237094,True,0.002239281347343358,0.0017059115947942742,0.002772651099892442,0.002249043589505878,-0.0010724007098874098,-0.0016639445328201863,-0.0004808568869546332,0.0012732522111729941,-0.000975791378332884,-0.0017967007625714472,-0.0001548819940943207,0.25,absolute_effect_difference_inconclusive,inconclusive
H8B0020,A020,anchor,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,6,6,0.2,0.0,0.5,0.1,6,6,0.7,0.7,0.7,0.7,0.3,0.4,0.2,0.5,0.0,0.1,20,0.486869279860805,0.5131307201391948,0.49976653094428247,True,0.003942819783637805,0.00277857907733981,0.0051070604899358,0.004144198978649605,-0.0004556387381296566,-0.0017648766161873718,0.0008535991399280587,0.0023115665229560345,-0.0018326324556935704,-0.003141803856125677,-0.0005234610552614636,0.25,absolute_effect_difference_inconclusive,inconclusive
H8B0022,A022,anchor,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.1,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,0.4,0.1,0.1,0.5,0.0,0.4,20,0.5458843602544429,0.45411563974555713,0.42673245926779674,True,-0.00017544213960581645,-0.0015825420880401313,0.0012316578088284983,0.0024571233968677885,-0.0007251387658791936,-0.0022343417632849742,0.0007840642315265873,0.0027465627350842835,0.00028943933821649475,-0.0007298993336761867,0.0013087780101091763,0.45,absolute_effect_difference_inconclusive,inconclusive
H8B0025,A025,anchor,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.1,0.0,0.5,0.1,4,4,0.0,0.0,0.7,0.7,0.4,0.4,0.1,0.5,0.0,0.1,20,0.10303534886374262,0.8969646511362572,0.8946373220289342,True,0.004310654433656454,0.0029860889293069647,0.005635219938005944,0.0045997804084025855,-0.002656775260290979,-0.0035206761089532973,-0.0017928744116286607,0.0027050156070349595,-0.0018947648013676259,-0.0034814993811603566,-0.0003080302215748953,0.2,absolute_effect_difference_inconclusive,inconclusive
