background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,baseline_equal_noshow_high,n_paired_seeds,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,exposure_active,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component,failure_component,classification
H9B0065,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,0.7,20,7267.2,65230.95,0.01928419967725074,0.019211028673435854,True,0.005978167808219184,0.0023865582191780837,0.0035916095890411006,0.0033508707096764484,0.0038323484684057527,0.00048255048817286486,0.0018978789696645227,0.0014153284814916575,0.0012072299968364816,0.0016234269661468334,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0098,S067,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.0,0.0,0.3,0.3,4,4,0.0,0.0,0.5,0.5,0.5,20,23354.7,23388.35,0.018604678174607876,0.018992930856329977,True,0.0036536815068492824,0.0001915667808218946,0.0034621147260273876,0.0033284309446390634,0.0035957985074157118,0.00030264860293966497,0.001838195663771473,0.001535547060831808,0.0014087668453083412,0.001662327276355275,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0107,S076,sobol_symmetric,4.0,0.9,32,128.0,115.2,12.799999999999995,28,28,0.3,0.3,9,9,0.1,0.1,0.7,0.7,6,6,0.0,0.0,0.3,0.3,0.3,20,42100.0,4686.3,0.03329145199852322,0.03197845080208424,True,0.011348458904109533,0.004935787671232902,0.0064126712328766294,0.0059371538437883176,0.006888188621964941,0.0006065875662474111,0.002802147353979539,0.0021955597877321284,0.0019409914164155873,0.0024501281590486694,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0124,S093,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.8,0.8,0.8,20,14032.7,32812.4,0.013991670322536481,0.013249915843881308,True,0.00375000000000002,0.0007962328767123272,0.002953767123287693,0.002695308804141478,0.003212225442433908,0.00024225840535906594,0.0009607743249238924,0.0007185159195648266,0.0006195023326122427,0.0008175295065174105,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0127,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.0,0.0,0.3,0.3,6,6,0.3,0.3,0.5,0.5,0.5,20,16267.9,1804.3,0.010329189645642336,0.010236532532316447,True,0.002654109589041087,0.0011472602739726085,0.0015068493150684787,0.0011448418930940112,0.0018688567370429461,0.0005279761163130001,0.0009978779700864876,0.0004699018537734875,0.0001869527250747658,0.0007528509824722093,inconclusive,inconclusive,utilization_component_inconclusive;served_gap_component_inconclusive,inconclusive
H9B0172,S141,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0.3,20,2349.35,21046.75,0.020426190685434914,0.01875726315970489,True,0.006601027397260317,0.0025299657534246676,0.00407106164383565,0.003550321506136273,0.004591801781535026,0.0005596005051974052,0.0016775388636638675,0.001117938358466462,0.0008649328029083818,0.0013709439140245422,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0228,S197,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,21,21,0.5,0.5,6,6,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.5,0.5,0.5,20,7019.5,16365.55,0.014086119165569672,0.012725037126478137,True,0.0036643835616438415,0.0008561643835616223,0.002808219178082219,0.002430403378959986,0.003186034977204452,0.00039138497466309735,0.0008441567441027557,0.0004527717694396582,0.00028902861788306284,0.0006165149209962535,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0240,S209,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,28,28,0.5,0.5,12,12,0.0,0.0,0.5,0.5,4,4,0.7,0.7,0.8,0.8,0.8,20,3634.45,32576.35,0.018569713690918553,0.018773288317560134,True,0.005770547945205482,0.0022816780821917778,0.0034888698630137034,0.003194885437993436,0.003782854288033971,0.0005047431053291149,0.0017907749170157608,0.0012860318116866458,0.0010070996347731438,0.0015649639886001479,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0266,X012,asymmetric_stress,3.1,0.3,32,99.2,29.76,69.44,7,7,0.3,0.3,4,4,0.1,0.1,0.1,0.7,4,4,0.5,0.5,0.8,0.8,0.8,20,10849.6,25405.3,0.11694407668417287,0.059209037609634516,True,0.01746147260273974,0.0010702054794520521,0.016391267123287683,0.015790049019774544,0.016992485226800823,0.006991487584220508,0.007193224108271097,0.0002017365240505878,-0.00032563240215437123,0.0007291054502555469,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0280,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.5,0.5,0.5,20,32668.55,13993.1,0.29894805251093803,0.20510469658861336,True,0.06487157534246575,0.02876070205479452,0.03611087328767124,0.035247684385652504,0.03697406218968998,0.018760332619606617,0.01252881774959686,-0.006231514870009762,-0.006675679534266311,-0.005787350205753212,supported,reversed,served_gap_component_reversed,reversed
H9B0281,X028,asymmetric_stress,3.1,0.9,64,198.4,178.56,19.84,28,14,0.1,0.1,12,12,0.0,0.1,0.1,0.1,9,9,0.0,0.0,0.1,0.1,0.1,20,65158.7,7216.75,0.14174145348118786,0.10064900830092563,True,0.03888484589041096,0.018200984589041104,0.020683861301369857,0.020191913284670345,0.02117580931806937,0.009438154752703907,0.008423952932084169,-0.0010142018206197399,-0.0014535012577307433,-0.0005749023835087365,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0298,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.3,0.7,0.7,0.7,4,4,0.7,0.7,0.8,0.8,0.8,20,14028.9,32741.25,0.4773017740138604,0.027865640998666157,True,0.042140410958904126,0.018914811643835617,0.02322559931506851,0.022056409435152007,0.02439478919498501,0.0324266348947003,0.0171197512499889,-0.015306883644711403,-0.016053388240100004,-0.014560379049322801,supported,reversed,served_gap_component_reversed,reversed
H9B0302,X052,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.1,12,12,0.3,0.3,0.3,0.7,12,12,0.0,0.0,0.3,0.3,0.3,20,32679.25,14031.3,0.13964396620081201,0.020322858923016388,True,0.028343321917808213,0.013392551369863023,0.014950770547945188,0.014319889980202467,0.015581651115687909,0.009112314726550413,0.005182288324603485,-0.003930026401946928,-0.0042269047782162415,-0.003633148025677614,supported,reversed,served_gap_component_reversed,reversed
H9B0313,X064,asymmetric_stress,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.5,4,4,0.3,0.3,0.5,0.5,4,4,0.7,0.3,0.8,0.8,0.8,20,16360.1,7014.55,0.08447549417146208,0.020554984530791985,True,0.01586472602739726,0.006327054794520548,0.009537671232876712,0.00876840717759975,0.010306935288153674,0.0038661121041253244,0.0031645220526430777,-0.0007015900514822479,-0.0010700329684251507,-0.00033314713453934527,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0316,X067,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,9,4,0.0,0.0,0.3,0.3,6,6,0.3,0.3,0.5,0.5,0.5,20,16271.5,1813.75,0.03800457782683768,0.034086282182844964,True,0.01141267123287672,0.004858732876712327,0.006553938356164394,0.00599379507772932,0.007114081634599467,0.0013938195380462145,0.003329229443954595,0.0019354099059083803,0.0013575871784465587,0.002513232633370202,supported,inconclusive,served_gap_component_inconclusive,inconclusive
H9B0322,X073,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,28,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.5,0.5,0.5,20,32668.55,13993.1,0.29894805251093803,0.20510469658861336,True,0.06487157534246575,0.02876070205479452,0.03611087328767124,0.035247684385652504,0.03697406218968998,0.018760332619606617,0.01252881774959686,-0.006231514870009762,-0.006675679534266311,-0.005787350205753212,supported,reversed,served_gap_component_reversed,reversed
H9B0326,X077,asymmetric_stress,4.0,0.5,16,64.0,32.0,32.0,7,7,0.5,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.1,0.1,0.1,20,11690.65,11677.45,0.025306916712442534,0.7038253455723892,True,0.06424657534246572,0.02966609589041096,0.034580479452054766,0.033406634777378125,0.03575432412673141,0.029905828235600264,0.016080310894466484,-0.013825517341133775,-0.014305032757533072,-0.013346001924734478,supported,reversed,served_gap_component_reversed,reversed
H9B0347,X100,asymmetric_stress,3.1,0.5,32,99.2,49.6,49.6,21,21,0.0,0.1,12,12,0.1,0.3,0.3,0.3,6,6,0.5,0.5,0.7,0.7,0.7,20,18116.75,18110.6,0.8927159307559052,0.16959664947745118,True,0.08888270547945207,0.0309888698630137,0.05789383561643836,0.056790770323511645,0.05899690090936508,0.038918379481985246,0.028000279367759125,-0.010918100114226127,-0.01169840067150173,-0.010137799556950523,supported,reversed,served_gap_component_reversed,reversed
