scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions
X001,asymmetric_stress,S157,sparse_asymmetry_2_dimension,4.0,0.3,32,128.0,38.4,89.6,21,21,0.1,0.3,12,12,0.3,0.3,0.7,0.7,12,4,0.0,0.0,0.7,0.7,class1:noshow_threshold;class1:cancel
X002,asymmetric_stress,S214,sparse_asymmetry_1_dimension,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,4,4,0.1,0.1,0.7,0.7,4,6,0.3,0.3,0.5,0.5,class1:noshow_threshold
X003,asymmetric_stress,S063,sparse_asymmetry_2_dimension,1.25,0.1,32,40.0,4.0,36.0,14,14,0.3,0.0,4,9,0.3,0.3,0.3,0.3,6,6,0.0,0.0,0.7,0.7,class2:balk_threshold;class2:cancel
X004,asymmetric_stress,S139,sparse_asymmetry_1_dimension,1.25,0.1,32,40.0,4.0,36.0,21,21,0.1,0.1,12,12,0.0,0.0,0.3,0.0,12,12,0.0,0.0,0.1,0.1,class2:balk_high
X005,asymmetric_stress,A025,sparse_asymmetry_2_dimension,4.0,0.5,32,128.0,64.0,64.0,21,28,0.1,0.1,4,4,0.1,0.0,0.7,0.7,4,4,0.0,0.0,0.7,0.7,class1:horizon;class1:balk_low
X006,asymmetric_stress,S195,sparse_asymmetry_1_dimension,2.0,0.1,32,64.0,6.4,57.6,7,21,0.1,0.1,4,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.5,0.5,class2:horizon
X007,asymmetric_stress,S094,sparse_asymmetry_2_dimension,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.5,0.5,9,9,0.0,0.0,0.5,0.7,class1:horizon;class1:noshow_high
X008,asymmetric_stress,A011,sparse_asymmetry_1_dimension,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.3,0.3,0.3,class2:noshow_low
X009,asymmetric_stress,S071,sparse_asymmetry_1_dimension,0.8,0.1,16,12.8,1.2800000000000002,11.520000000000001,28,28,0.1,0.5,4,4,0.0,0.0,0.7,0.7,12,12,0.3,0.3,0.7,0.7,class1:cancel
X010,asymmetric_stress,S049,sparse_asymmetry_1_dimension,3.1,0.5,64,198.4,99.2,99.2,21,21,0.3,0.3,12,12,0.3,0.3,0.7,0.3,9,9,0.3,0.3,0.7,0.7,class2:balk_high
X011,asymmetric_stress,S018,sparse_asymmetry_1_dimension,0.8,0.9,32,25.6,23.040000000000003,2.5599999999999996,21,21,0.0,0.0,9,9,0.1,0.1,0.5,0.5,9,9,0.5,0.5,0.5,0.7,class2:noshow_high
X012,asymmetric_stress,S121,sparse_asymmetry_1_dimension,3.1,0.3,32,99.2,29.759999999999998,69.44,7,7,0.3,0.3,4,4,0.1,0.1,0.1,0.7,4,4,0.5,0.5,0.7,0.7,class2:balk_high
X013,asymmetric_stress,S087,sparse_asymmetry_2_dimension,0.8,0.5,32,25.6,12.8,12.8,14,21,0.3,0.3,9,9,0.1,0.1,0.7,0.1,4,4,0.5,0.5,0.7,0.7,class2:balk_high;class2:horizon
X014,asymmetric_stress,S104,sparse_asymmetry_2_dimension,2.0,0.7,16,32.0,22.4,9.600000000000001,21,28,0.1,0.1,6,9,0.0,0.0,0.0,0.0,12,12,0.5,0.5,0.7,0.7,class1:horizon;class2:balk_threshold
