hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction
H1,H1B0004,reversed,stage1_reversed,A004,anchor,1.25,low,0.7,16,14,14,0.1,20,0.0321734234819012,0.0248180481521056,0.0395287988116967,reversed,0.5899154045440217,0.5857003391312363,0.5941304699568071,-6.555458186999543,-6.624649201852316,-6.4862671721467695,supported,0.2509760273972602,0.2474932861582048,0.2544587686363156,0.0,1.0
H1,H1B0005,reversed,stage1_reversed,A005,anchor,1.25,low,0.9,32,14,14,0.1,20,0.1776256828940163,0.1719495247087349,0.1833018410792977,reversed,0.6868654653394568,0.6802602546938904,0.6934706759850232,-7.631475720446571,-7.653746326619677,-7.609205114273465,supported,0.2842808219178082,0.2820362244013311,0.2865254194342853,0.0,1.0
H1,H1B0010,reversed,stage1_reversed,A010,anchor,3.1,high,0.9,16,14,14,0.1,20,0.0320710815806971,0.030405541207755,0.0337366219536393,reversed,0.664455326730087,0.6593803190550552,0.6695303344051188,-8.859046136333621,-8.87798792990763,-8.840104342759613,supported,0.2892465753424657,0.2864741672051311,0.2920189834798002,0.0,1.0
H1,H1B0015,reversed,stage1_reversed,A015,anchor,4.0,high,0.9,64,14,14,0.1,20,0.0127563733624638,0.0121262532371099,0.0133864934878178,reversed,0.5584219455925814,0.5559415194624389,0.560902371722724,-7.654612530406827,-7.667318382016193,-7.641906678797461,supported,0.2658518835616438,0.264281933524072,0.2674218335992155,0.0,1.0
H1,H1B0022,reversed,stage1_reversed,A022,anchor,4.0,high,0.9,16,7,7,0.5,20,0.0392127165216984,0.0378045119487128,0.0406209210946841,reversed,0.120675677126526,0.1168528108853378,0.1244985433677141,-3.4272040343028918,-3.445187015383568,-3.4092210532222147,supported,0.1892294520547945,0.1856695526987962,0.1927893514107928,0.0,1.0
H1,H1B0024,reversed,stage1_reversed,A024,anchor,3.1,high,0.9,32,21,21,0.3,20,0.105189373707084,0.1040813352597381,0.1062974121544299,reversed,0.2975800020926386,0.2944196961741027,0.3007403080111744,-7.222782491905252,-7.232896418409945,-7.212668565400559,supported,0.3857277397260273,0.3832299119931066,0.3882255674589481,0.0,1.0
H1,H1B0048,reversed,stage1_reversed,S016,sobol_symmetric,3.1,high,0.9,64,28,28,0.1,20,0.1703695280028609,0.1698528877097342,0.1708861682959877,reversed,0.7402630560658677,0.738428903860769,0.7420972082709665,-22.33124593367247,-22.34543241956385,-22.31705944778109,supported,0.6915303938356165,0.6899382735864885,0.6931225140847446,0.0,1.0
H1,H1B0060,reversed,stage1_reversed,S028,sobol_symmetric,3.1,high,0.9,32,21,21,0.1,20,0.0417528286354696,0.0405525807993413,0.0429530764715979,reversed,0.2763706867022324,0.2716689308388738,0.281072442565591,-16.73265568955026,-16.752598904546605,-16.712712474553914,supported,0.1966823630136986,0.1945009827570691,0.1988637432703281,0.0,1.0
H1,H1B0094,reversed,stage1_reversed,S062,sobol_symmetric,2.0,boundary,0.7,16,21,21,0.5,20,0.0082594233459502,0.0054572649490985,0.0110615817428019,reversed,0.501540727389959,0.4983381134252276,0.5047433413546905,-16.72655124828102,-16.76684482280735,-16.68625767375469,supported,0.2996575342465754,0.2965838413018224,0.3027312271913283,0.0,1.0
H1,H1B0104,reversed,stage1_reversed,S072,sobol_symmetric,3.1,high,0.9,64,14,14,0.1,20,0.0377284130377677,0.0366183792206687,0.0388384468548668,reversed,0.6278785387443829,0.6251759288865412,0.6305811486022247,-9.308253817711742,-9.317221803574196,-9.29928583184929,supported,0.2924165239726027,0.2913145341193652,0.2935185138258403,0.0,1.0
