hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,failure_component,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high
H7,H7B0019,reversed,stage1_reversed,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0382066544654303,-0.0398444989835956,-0.036568809947265
H7,H7B0027,reversed,stage1_reversed,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_reversed,0.0,3.0,1.0,20.0,-0.0275274341755773,-0.0337562704585207,-0.021298597892634
H7,H7B0028,reversed,stage1_reversed,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_reversed,1.0,3.0,0.0,20.0,-0.0306529014489203,-0.0338053284188018,-0.0275004744790388
H7,H7B0035,inconclusive,uncertainty_limited_inconclusive,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_inconclusive,1.0,0.0,3.0,20.0,0.0034169270455641,-0.0003916842734174,0.0072255383645457
H7,H7B0038,reversed,stage1_reversed,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.05;0.10;0.20;0.30,4,average_pre_minus_post_effect_reversed,0.0,3.0,1.0,20.0,-0.0544212112346044,-0.0603328676545964,-0.0485095548146124
H7,H7B0060,reversed,stage1_reversed,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,2.0,1.0,20.0,-0.0065137748877684,-0.0089504527158817,-0.0040770970596551
H7,H7B0061,reversed,stage1_reversed,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,1.0,4.0,0.0,20.0,-0.0137208769318928,-0.0166053571521715,-0.0108363967116142
H7,H7B0064,reversed,stage1_reversed,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,3.0,0.0,20.0,-0.0787970636993176,-0.0812030726609406,-0.0763910547376947
H7,H7B0073,reversed,stage1_reversed,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,0.0,2.0,1.0,20.0,-0.0138071415972804,-0.0176420016929463,-0.0099722815016145
H7,H7B0092,reversed,stage1_reversed,S060,sobol_symmetric,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,0.0,5.0,0.0,20.0,-0.0327399525435743,-0.0343919344886788,-0.0310879705984697
