hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component
H8,H8B0007,reversed,stage1_reversed,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,20,0.944090248817842,0.0559097511821579,0.0429519144542659,True,0.0359496197610657,0.031717362957412,0.0401818765647195,0.0359496197610657,-0.0014347705051647,-0.0065182089803256,0.0036486679699962,0.0084070199349354,-0.0275425998261303,-0.0327663257136549,-0.0223188739386057,0.0,within_class_effect_larger
H8,H8B0012,reversed,stage1_reversed,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.2,0.1,0.3,0.5,0.0,0.4,20,0.3144036006554658,0.6855963993445343,0.6750511602720866,True,0.0152907272622912,0.0137167501557871,0.0168647043687953,0.0152907272622912,-0.0078430629743179,-0.0094082743868582,-0.0062778515617776,0.0078430629743179,-0.0074476642879733,-0.0101722447925114,-0.0047230837834351,0.15,within_class_effect_larger
H8,H8B0013,reversed,stage1_reversed,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.2,0.2,0.3,0.5,0.0,0.3,20,0.3216717858727745,0.6783282141272254,0.6606248398543949,True,0.009980600344768,0.0079753462532757,0.0119858544362602,0.009980600344768,-0.0045637621625299,-0.0068413324074264,-0.0022861919176334,0.0054765833281582,-0.0045040170166097,-0.0079444593726195,-0.0010635746605998,0.25,within_class_effect_larger
H8,H8B0014,reversed,stage1_reversed,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.2,0.3,0.3,0.5,0.0,0.2,20,0.3313647659357596,0.6686352340642404,0.6525385994798134,True,0.0063552302704003,0.0052619696316432,0.0074484909091575,0.0063552302704003,-0.00236725334591,-0.0034068974686952,-0.0013276092231248,0.0028173661930392,-0.0035378640773611,-0.0049719278346849,-0.0021038003200372,0.15,within_class_effect_larger
H8,H8B0041,reversed,stage1_reversed,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.2,0.0,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.3,0.0,0.2,0.5,0.0,0.5,20,0.8794690899409054,0.1205309100590945,0.1020942449231005,True,0.0166446244583005,0.0138871621821802,0.0194020867344208,0.0166446244583005,-0.0030287295832489,-0.0057701477188222,-0.0002873114476755,0.0055068444270779,-0.0111377800312226,-0.0149798404289688,-0.0072957196334763,0.1,within_class_effect_larger
H8,H8B0049,reversed,stage1_reversed,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.0,0.0,0.5,0.5,0.4,0.3,0.1,0.5,0.0,0.2,20,0.422697248244946,0.577302751755054,0.5652319941655485,True,0.0187894781762559,0.0149741362413826,0.0226048201111292,0.0187894781762559,-0.0031160610172961,-0.0069126522382352,0.0006805302036429,0.006927457911344,-0.0118620202649118,-0.0167817840841342,-0.0069422564456894,0.15,within_class_effect_larger
H8,H8B0052,reversed,stage1_reversed,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.5,0.0,0.5,0.4,6,6,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.0,0.4,20,0.7033531717758302,0.2966468282241697,0.2695605190256743,True,0.0206723175182089,0.0195202476996254,0.0218243873367925,0.0206723175182089,0.0001213638491717,-0.0010660571471562,0.0013087848454996,0.0018351558231703,-0.0188371616950386,-0.0201361281084602,-0.0175381952816169,0.0,within_class_effect_larger
H8,H8B0053,reversed,stage1_reversed,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.7,0.7,0.0,0.2,0.5,0.5,0.0,0.3,20,0.9628918138415988,0.0371081861584012,0.0253565426179992,True,0.0167464783257755,0.0149331297805772,0.0185598268709738,0.0167464783257755,0.0006175612100557,-0.0008551586981409,0.0020902811182524,0.0027734663468767,-0.0139730119788987,-0.0159932081910215,-0.0119528157667759,0.0,within_class_effect_larger
H8,H8B0064,reversed,stage1_reversed,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.5,0.2,0.3,0.3,0.5,0.0,0.2,20,0.7150759917042807,0.2849240082957192,0.2889858433384498,True,0.015061027836355,0.0123107389770588,0.0178113166956513,0.015061027836355,-0.0035644750414223,-0.0068060693137636,-0.000322880769081,0.0061621349344355,-0.0088988929019195,-0.0130367122987093,-0.0047610735051296,0.1,within_class_effect_larger
H8,H8B0066,reversed,stage1_reversed,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.2,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.0,0.5,20,0.6877740057050905,0.3122259942949094,0.3152620672020614,True,0.0533499922833764,0.0492502291803645,0.0574497553863883,0.0533499922833764,-0.0166499407990492,-0.0212427283886507,-0.0120571532094477,0.016721186827517,-0.0366288054558594,-0.0438672833120151,-0.0293903275997036,0.0,within_class_effect_larger
