hypothesis,background_id,selected_for_stage2,selection_reason,stage1_classification,stage2_classification,final_classification,stage_used,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2
H1,H1B0001,False,,inconclusive,,inconclusive,1,A001,anchor,0.8,0.1,16,14,14
H1,H1B0002,False,,inconclusive,,inconclusive,1,A002,anchor,0.8,0.3,32,14,14
H1,H1B0003,False,,inconclusive,,inconclusive,1,A003,anchor,0.8,0.5,64,14,14
H1,H1B0004,True,stage1_reversed,reversed,inconclusive,inconclusive,2,A004,anchor,1.25,0.7,16,14,14
H1,H1B0005,True,stage1_reversed,reversed,,reversed,1,A005,anchor,1.25,0.9,32,14,14
H1,H1B0006,False,,inactive,,inactive,1,A006,anchor,1.25,0.1,64,14,14
H1,H1B0007,False,,supported,,supported,1,A007,anchor,2.0,0.3,16,14,14
H1,H1B0008,False,,supported,,supported,1,A008,anchor,2.0,0.5,32,14,14
H1,H1B0009,False,,supported,,supported,1,A009,anchor,2.0,0.7,64,14,14
H1,H1B0010,True,stage1_reversed,reversed,,reversed,1,A010,anchor,3.1,0.9,16,14,14
H1,H1B0011,False,,supported,,supported,1,A011,anchor,3.1,0.1,32,14,14
H1,H1B0012,False,,supported,,supported,1,A012,anchor,3.1,0.3,64,14,14
H1,H1B0013,False,,supported,,supported,1,A013,anchor,4.0,0.5,16,14,14
H1,H1B0014,False,,supported,,supported,1,A014,anchor,4.0,0.7,32,14,14
H1,H1B0015,True,stage1_reversed,reversed,,reversed,1,A015,anchor,4.0,0.9,64,14,14
H1,H1B0016,False,,inconclusive,,inconclusive,1,A016,anchor,0.8,0.5,32,7,7
H1,H1B0017,False,,inactive,,inactive,1,A017,anchor,1.25,0.3,64,21,21
H1,H1B0018,False,,supported,,supported,1,A018,anchor,2.0,0.7,16,28,28
H1,H1B0019,False,,supported,,supported,1,A019,anchor,3.1,0.5,32,14,14
H1,H1B0020,False,,supported,,supported,1,A020,anchor,4.0,0.5,32,14,14
