background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count
H1B0004,A004,anchor,,rho_capacity_grid_rho_1.25_capacity_16,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,,A004,A004,1
H1B0005,A005,anchor,,rho_capacity_grid_rho_1.25_capacity_32,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,,A005,A005,1
H1B0010,A010,anchor,,rho_capacity_grid_rho_3.1_capacity_16,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,,A010,A010,1
H1B0015,A015,anchor,,rho_capacity_grid_rho_4.0_capacity_64,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,,A015,A015,1
H1B0022,A022,anchor,,high_pressure_short_horizon,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,,0.5,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,,A022,A022,1
H1B0024,A024,anchor,,class1_majority_high_risk,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,,0.3,9,9,0.3,0.3,0.7,0.7,6,6,0.3,0.3,0.7,0.7,,A024,A024,1
H1B0048,S016,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.84,28,28,,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,,S016,S016,1
H1B0060,S028,sobol_symmetric,,scrambled_sobol,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,,S028,S028,1
H1B0094,S062,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,21,21,,0.5,6,6,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,,S062,S062,1
H1B0104,S072,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.84,14,14,,0.1,12,12,0.1,0.1,0.5,0.5,6,6,0.0,0.0,0.3,0.3,,S072,S072,1
