background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1_focal,cancel_class2_background,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.747431506849315,1.0,0.5954135954135954,7.913980028530671,8.003958503958504,0.7118677425703601,0.33184855233853006,0.043134043134043135,0.04408580987994489,0.040979955456570155,0.6193493150684931,0.12756849315068494,0.8316780821917809,0.17414383561643837,8.00019681165125,8.012472160356348,0.38001919023183006,0.0031058544233747362,0.0122753487050975,2000,5081,2245,5081,2245,4857,2153,224,92,0,1136,1240,272,3617,745,0.0,0.0,0.0,7.907967881408276,7.927542963307014,0.04408580987994489,0.040979955456570155,0.24404644754969493,0.12115812917594655,0.0,0.5060133630289533,7326,7326
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.7529109589041096,1.0,0.6169974839250769,7.717501082094936,7.788649706457925,0.7203355972832601,0.3761638733705773,0.031171372658652503,0.032560926887734716,0.027932960893854747,0.6174657534246575,0.13835616438356163,0.8292808219178082,0.18013698630136987,7.784458649620455,7.798417132216015,0.34417172391268286,0.004627965993879969,0.013958482595559651,2001,5006,2148,5006,2148,4843,2088,163,60,0,1036,1237,244,3606,808,0.0,0.0,0.0,7.709890563700186,7.735153256704981,0.032560926887734716,0.027932960893854747,0.2471034758290052,0.11359404096834265,0.0,0.4823091247672253,7154,7154
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.1,0.1,1.0,1.0,0.7899648363538003,3.2311333513659726,3.2311333513659726,0.7905115189379148,0.7887323943661971,0.0,0.0,0.0,0.6933219178082192,0.30684931506849317,0.6933219178082192,0.30684931506849317,3.2395548613822727,3.2121478873239435,0.001779124571717694,0.0,-0.027406974058329148,2000,5122,2272,5122,2272,5122,2272,0,0,1073,480,0,0,4049,1792,0.0,0.0,0.0,3.2395548613822727,3.2121478873239435,0.0,0.0,0.0,0.0,0.20948848106208512,0.2112676056338028,7394,7394
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.1,0.1,1.0,1.0,0.7944459569833924,3.232507487067792,3.232507487067792,0.7923794712286159,0.7992733878292462,0.0,0.0,0.0,0.697945205479452,0.3013698630136986,0.697945205479452,0.3013698630136986,3.228227060653188,3.242506811989101,-0.006893916600630323,0.0,0.01427975133591275,2001,5144,2202,5144,2202,5144,2202,0,0,1068,442,0,0,4076,1760,0.0,0.0,0.0,3.228227060653188,3.242506811989101,0.0,0.0,0.0,0.0,0.20762052877138415,0.20072661217075385,7346,7346
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.3,0.1,1.0,1.0,0.7982815057283142,1.8911620294599019,1.8911620294599019,0.7522469714732317,0.9046973803071364,0.0,0.0,0.0,0.6592465753424658,0.3429794520547945,0.6592465753424658,0.3429794520547945,1.8858929269245799,1.9033423667570009,-0.1524504088339047,0.0,0.017449439832420977,2000,5118,2214,5118,2214,5118,2214,0,0,1268,211,0,0,3850,2003,0.0,0.0,0.0,1.8858929269245799,1.9033423667570009,0.0,0.0,0.0,0.0,0.24775302852676828,0.09530261969286359,7332,7332
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.3,0.1,1.0,1.0,0.8006858710562414,1.8853223593964334,1.8853223593964334,0.7594348751693439,0.9010833725859633,0.0,0.0,0.0,0.6719178082191781,0.3275684931506849,0.6719178082191781,0.3275684931506849,1.8887168569769692,1.8770607630711258,-0.14164849741661933,0.0,-0.011656093905843434,2001,5167,2123,5167,2123,5167,2123,0,0,1243,210,0,0,3924,1913,0.0,0.0,0.0,1.8887168569769692,1.8770607630711258,0.0,0.0,0.0,0.0,0.2405651248306561,0.09891662741403674,7290,7290
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.5,0.1,1.0,1.0,0.8164406542709353,1.4974136725849294,1.4974136725849294,0.7552334943639292,0.9556064073226544,0.0,0.0,0.0,0.6424657534246575,0.35753424657534244,0.6424657534246575,0.35753424657534244,1.498389694041868,1.4951945080091533,-0.20037291295872528,0.0,-0.0031951860327146253,2000,4968,2185,4968,2185,4968,2185,0,0,1216,97,0,0,3752,2088,0.0,0.0,0.0,1.498389694041868,1.4951945080091533,0.0,0.0,0.0,0.0,0.24476650563607086,0.044393592677345536,7153,7153
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.5,0.1,1.0,1.0,0.785234899328859,1.5681879194630872,1.5681879194630872,0.7225522130676375,0.9318691169878978,0.0,0.0,0.0,0.6457191780821918,0.3559931506849315,0.6457191780821918,0.3559931506849315,1.564667560835409,1.5764231286418646,-0.20931690392026026,0.0,0.011755567806455591,2001,5219,2231,5219,2231,5219,2231,0,0,1448,152,0,0,3771,2079,0.0,0.0,0.0,1.564667560835409,1.5764231286418646,0.0,0.0,0.0,0.0,0.2774477869323625,0.0681308830121022,7450,7450
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.7378424657534246,1.0,0.5970746515799641,8.004856449078703,8.072581757968814,0.7114695340501792,0.338876404494382,0.03394508072305782,0.0338510553564317,0.03415730337078652,0.6118150684931507,0.1291095890410959,0.8308219178082191,0.1731164383561644,8.052170450019913,8.118651685393258,0.3725931295557972,-0.00030624801435481797,0.06648123537334527,2002,5022,2225,5022,2225,4852,2149,170,76,0,1138,1279,257,3573,754,0.0,0.0,0.0,7.983924154987634,8.052117263843648,0.0338510553564317,0.03415730337078652,0.2546794105933891,0.11550561797752809,0.0,0.5114606741573033,7247,7247
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.7520547945205479,1.0,0.6016093835242772,8.015802327251832,8.11620294599018,0.7065493646138807,0.35949481281010376,0.05060010911074741,0.04985337243401759,0.05232295895354082,0.6188356164383562,0.13647260273972603,0.8321917808219178,0.17756849315068493,8.117693059628543,8.1127649977447,0.347054551803777,-0.002469586519523226,-0.0049280618838434265,2003,5115,2217,5115,2217,4860,2101,255,116,0,1064,1246,240,3614,797,0.0,0.0,0.0,8.018930041152263,8.008567348881485,0.04985337243401759,0.05232295895354082,0.24359726295210166,0.10825439783491204,0.0,0.4799278304014434,7332,7332
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.747431506849315,1.0,0.5957648975159495,8.174465626805315,8.28424053210262,0.6986857363741786,0.35294117647058826,0.06013302565494774,0.057209122535755705,0.06703146374829001,0.6190068493150684,0.13253424657534246,0.8352739726027397,0.17534246575342466,8.276188635485118,8.303237574099407,0.3457445599035904,-0.009822341212534308,0.027048938614289142,2004,5174,2193,5174,2193,4878,2046,296,147,0,1022,1263,250,3615,774,0.0,0.0,0.0,8.171586715867159,8.181329423264907,0.057209122535755705,0.06703146374829001,0.2441051410900657,0.11399908800729594,0.0,0.46602827177382583,7367,7367
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.7412671232876712,1.0,0.5924002186987425,8.181265382944838,8.282941498086386,0.7002145504193485,0.33988122430333484,0.05590486604702023,0.05227228398673688,0.06441297396071266,0.6147260273972602,0.1273972602739726,0.8320205479452055,0.17414383561643837,8.250048761458944,8.359981726815898,0.3603333261160137,-0.012140689973975778,0.10993296535695407,2005,5127,2189,5127,2189,4859,2048,268,141,0,1031,1269,273,3590,744,0.0,0.0,0.0,8.153529532825685,8.2470703125,0.05227228398673688,0.06441297396071266,0.24751316559391456,0.1247144814984011,0.0,0.4709913202375514,7316,7316
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.7412671232876712,1.0,0.5995017990589537,7.970187759782141,8.040132853584279,0.7018584420719652,0.3607011070110701,0.03445889842236369,0.03756425464610518,0.0272140221402214,0.6078767123287672,0.1339041095890411,0.8335616438356165,0.1738013698630137,8.063661526294979,7.985239852398524,0.34115733506089513,0.01035023250588378,-0.07842167389645471,2006,5058,2168,5058,2168,4868,2109,190,59,0,1094,1318,233,3550,782,0.0,0.0,0.0,7.988085456039442,7.928876244665719,0.03756425464610518,0.0272140221402214,0.26057730328192963,0.10747232472324723,0.0,0.5046125461254612,7226,7226
H1B0004,A004,anchor,1.25,0.7,16,14,14,0.0,0.1,0.7553082191780822,1.0,0.6115576496674058,7.959953737169293,8.044484478935699,0.7199445434739552,0.35902168897092757,0.04143569844789357,0.04060209942562884,0.04337794185509922,0.622431506849315,0.13321917808219177,0.8294520547945206,0.17654109589041095,8.045949693008517,8.041070604522382,0.36092285450302763,-0.0027758424294703765,-0.0048790884861347195,2007,5049,2167,5049,2167,4844,2073,205,94,0,1042,1209,253,3635,778,0.0,0.0,0.0,7.963253509496284,7.952243125904486,0.04060209942562884,0.04337794185509922,0.23945335710041593,0.116751269035533,0.0,0.48084910013844023,7216,7216
