background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0004,A004,anchor,1.25,low,0.7,16,14,14,0.1,100,0.033777887009622365,0.030154507135507606,0.03740126688373712,reversed,0.5915015693439458,0.5882378525186756,0.5947652861692161,-6.5523748927485475,-6.582596176355244,-6.522153609141851,supported,0.2512739726027397,0.2495086611523554,0.25303928405312404,0.0,1.0,reversed
H1B0005,A005,anchor,1.25,low,0.9,32,14,14,0.1,100,0.17467605659060192,0.17279122849343734,0.1765608846877665,reversed,0.6873016845879958,0.6843844113319455,0.6902189578440461,-7.624459062598259,-7.634262793447077,-7.614655331749441,supported,0.2839503424657534,0.28273851464759187,0.28516217028391494,0.0,1.0,reversed
H1B0010,A010,anchor,3.1,high,0.9,16,14,14,0.1,100,0.031228408557939947,0.03038965042806732,0.03206716668781258,reversed,0.6659976401674439,0.6636909616019634,0.6683043187329244,-8.84847560847337,-8.857361511813062,-8.839589705133678,supported,0.28862499999999996,0.2875110877667318,0.28973891223326814,0.0,1.0,reversed
H1B0015,A015,anchor,4.0,high,0.9,64,14,14,0.1,100,0.013142541499419578,0.01288092179469613,0.013404161204143025,reversed,0.5576158084558563,0.5565765464378873,0.5586550704738253,-7.656579756238657,-7.661444759908408,-7.651714752568907,supported,0.26565667808219184,0.26504163267030234,0.26627172349408135,0.0,1.0,reversed
H1B0022,A022,anchor,4.0,high,0.9,16,7,7,0.5,100,0.039095528953002716,0.0385243064412253,0.03966675146478013,reversed,0.11866947419381897,0.11726811986329824,0.1200708285243397,-3.4197982777541234,-3.427067222038552,-3.4125293334696947,supported,0.188818493150685,0.18696638007673175,0.19067060622463824,0.0,1.0,reversed
H1B0024,A024,anchor,3.1,high,0.9,32,21,21,0.3,100,0.10553116129841975,0.10501285825155361,0.10604946434528588,reversed,0.29313480317950913,0.2917746702978155,0.29449493606120275,-7.224624412719652,-7.230758760128943,-7.218490065310361,supported,0.3850325342465753,0.3839101687786214,0.3861548997145292,0.0,1.0,reversed
H1B0048,S016,sobol_symmetric,3.1,high,0.9,64,28,28,0.1,100,0.1702923578920551,0.16995571397066228,0.17062900181344792,reversed,0.740182741693807,0.7391510090802479,0.7412144743073662,-22.333813283357827,-22.339519988943145,-22.32810657777251,supported,0.6911065924657533,0.690596845646208,0.6916163392852986,0.0,1.0,reversed
H1B0060,S028,sobol_symmetric,3.1,high,0.9,32,21,21,0.1,100,0.041465661322161826,0.041006432122937586,0.041924890521386066,reversed,0.27874189964842405,0.27716331772620423,0.2803204815706439,-16.736779574830205,-16.743549164466152,-16.730009985194258,supported,0.19570205479452057,0.19452011767980926,0.1968839919092319,0.0,1.0,reversed
H1B0094,S062,sobol_symmetric,2.0,boundary,0.7,16,21,21,0.5,100,0.005336176771169727,0.0035632717812499,0.007109081761089554,reversed,0.4998142381316445,0.4981532585479209,0.5014752177153681,-16.700869756162486,-16.716924719869386,-16.684814792455587,supported,0.2997328767123288,0.29853487589981803,0.30093087752483955,0.0,1.0,reversed
H1B0104,S072,sobol_symmetric,3.1,high,0.9,64,14,14,0.1,100,0.03675628619454085,0.036354711745120005,0.03715786064396169,reversed,0.6276223042416951,0.6264792308442241,0.6287653776391661,-9.296731892843246,-9.300704575911109,-9.292759209775383,supported,0.29193578767123285,0.2913514554936927,0.292520119848773,0.0,1.0,reversed
