stage,background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
2,H1B0004,A004,anchor,1.25,low,0.7,16,14,14,0.1,100,0.0337778870096223,0.0301545071355076,0.0374012668837371,reversed,0.5915015693439458,0.5882378525186756,0.5947652861692161,-6.552374892748548,-6.582596176355244,-6.522153609141851,supported,0.2512739726027397,0.2495086611523554,0.253039284053124,0.0,1.0,reversed
2,H1B0005,A005,anchor,1.25,low,0.9,32,14,14,0.1,100,0.1746760565906019,0.1727912284934373,0.1765608846877665,reversed,0.6873016845879958,0.6843844113319455,0.6902189578440461,-7.624459062598259,-7.634262793447077,-7.614655331749441,supported,0.2839503424657534,0.2827385146475918,0.2851621702839149,0.0,1.0,reversed
2,H1B0010,A010,anchor,3.1,high,0.9,16,14,14,0.1,100,0.0312284085579399,0.0303896504280673,0.0320671666878125,reversed,0.6659976401674439,0.6636909616019634,0.6683043187329244,-8.84847560847337,-8.857361511813062,-8.839589705133678,supported,0.2886249999999999,0.2875110877667318,0.2897389122332681,0.0,1.0,reversed
2,H1B0015,A015,anchor,4.0,high,0.9,64,14,14,0.1,100,0.0131425414994195,0.0128809217946961,0.013404161204143,reversed,0.5576158084558563,0.5565765464378873,0.5586550704738253,-7.656579756238657,-7.661444759908408,-7.651714752568907,supported,0.2656566780821918,0.2650416326703023,0.2662717234940813,0.0,1.0,reversed
2,H1B0022,A022,anchor,4.0,high,0.9,16,7,7,0.5,100,0.0390955289530027,0.0385243064412253,0.0396667514647801,reversed,0.1186694741938189,0.1172681198632982,0.1200708285243397,-3.419798277754124,-3.427067222038552,-3.4125293334696947,supported,0.188818493150685,0.1869663800767317,0.1906706062246382,0.0,1.0,reversed
2,H1B0024,A024,anchor,3.1,high,0.9,32,21,21,0.3,100,0.1055311612984197,0.1050128582515536,0.1060494643452858,reversed,0.2931348031795091,0.2917746702978155,0.2944949360612027,-7.224624412719652,-7.230758760128943,-7.218490065310361,supported,0.3850325342465753,0.3839101687786214,0.3861548997145292,0.0,1.0,reversed
2,H1B0048,S016,sobol_symmetric,3.1,high,0.9,64,28,28,0.1,100,0.1702923578920551,0.1699557139706622,0.1706290018134479,reversed,0.740182741693807,0.7391510090802479,0.7412144743073662,-22.333813283357827,-22.339519988943145,-22.32810657777251,supported,0.6911065924657533,0.690596845646208,0.6916163392852986,0.0,1.0,reversed
2,H1B0060,S028,sobol_symmetric,3.1,high,0.9,32,21,21,0.1,100,0.0414656613221618,0.0410064321229375,0.041924890521386,reversed,0.278741899648424,0.2771633177262042,0.2803204815706439,-16.736779574830205,-16.743549164466152,-16.730009985194258,supported,0.1957020547945205,0.1945201176798092,0.1968839919092319,0.0,1.0,reversed
2,H1B0094,S062,sobol_symmetric,2.0,boundary,0.7,16,21,21,0.5,100,0.0053361767711697,0.0035632717812499,0.0071090817610895,reversed,0.4998142381316445,0.4981532585479209,0.5014752177153681,-16.700869756162486,-16.716924719869386,-16.684814792455587,supported,0.2997328767123288,0.298534875899818,0.3009308775248395,0.0,1.0,reversed
2,H1B0104,S072,sobol_symmetric,3.1,high,0.9,64,14,14,0.1,100,0.0367562861945408,0.03635471174512,0.0371578606439616,reversed,0.6276223042416951,0.6264792308442241,0.6287653776391661,-9.296731892843246,-9.300704575911109,-9.292759209775385,supported,0.2919357876712328,0.2913514554936927,0.292520119848773,0.0,1.0,reversed
2,H1B0116,S084,sobol_symmetric,4.0,high,0.7,32,7,7,0.1,100,0.0068105125711842,0.0063822464325108,0.0072387787098576,reversed,0.1891655183948188,0.1883645354065927,0.1899665013830448,-1.2517217423977969,-1.2535476751578372,-1.2498958096377566,supported,0.2453929794520548,0.244150096180522,0.2466358627235877,0.0,1.0,reversed
2,H1B0124,S092,sobol_symmetric,3.1,high,0.7,64,14,14,0.5,100,0.0753333731894189,0.0748337150037477,0.0758330313750901,reversed,0.3212066884244137,0.3206380118120835,0.3217753650367439,-9.034032975833023,-9.03831058447904,-9.029755367187008,supported,0.4587003424657533,0.4580557763436762,0.4593449085878305,0.0,1.0,reversed
2,H1B0128,S096,sobol_symmetric,3.1,high,0.9,16,21,21,0.3,100,0.110581878597473,0.1099768784029575,0.1111868787919885,reversed,0.3207772569015273,0.3185317288619173,0.3230227849411373,-16.189843700956704,-16.19617961437371,-16.1835077875397,supported,0.3988544520547945,0.3974022025130239,0.400306701596565,0.0,1.0,reversed
2,H1B0144,S112,sobol_symmetric,3.1,high,0.9,32,21,21,0.5,100,0.0740737080679234,0.0735190472786713,0.0746283688571754,reversed,0.3208312546329185,0.3193904509766768,0.3222720582891601,-16.608127600041758,-16.618806209313234,-16.597448990770282,supported,0.2959400684931507,0.2951959503103427,0.2966841866759588,0.0,1.0,reversed
2,H1B0164,S132,sobol_symmetric,4.0,high,0.7,64,14,14,0.1,100,0.0248411627184367,0.0244473703115054,0.0252349551253681,reversed,0.4326031255100532,0.4319777575278499,0.4332284934922565,-6.7569325562843945,-6.778326574487342,-6.735538538081447,supported,0.5803912671232877,0.5787536852718554,0.58202884897472,0.0,1.0,reversed
2,H1B0174,S142,sobol_symmetric,2.0,boundary,0.9,64,21,21,0.1,100,0.1713687313696539,0.1707663796305338,0.1719710831087739,reversed,0.3830434040078495,0.3814115874492784,0.3846752205664207,-7.628992403484814,-7.632377485214228,-7.6256073217554,supported,0.3852016267123289,0.3843574638040381,0.3860457896206196,0.0,1.0,reversed
2,H1B0198,S166,sobol_symmetric,1.25,low,0.9,32,14,14,0.5,100,0.2757733165992256,0.2742100053503896,0.2773366278480617,reversed,0.5450650948928659,0.5423078857681672,0.5478223040175646,-4.639935575777678,-4.64685717714703,-4.633013974408327,supported,0.3785787671232877,0.3772698334355895,0.3798877008109858,0.0,1.0,reversed
2,H1B0200,S168,sobol_symmetric,2.0,boundary,0.5,64,7,7,0.0,100,0.0376327973075448,0.0367358565953028,0.0385297380197868,reversed,0.5610688663669464,0.5593294451228203,0.5628082876110725,-1.7523045299454507,-1.7721982075408105,-1.732410852350091,supported,0.5984452054794521,0.5968730986094524,0.6000173123494519,0.0,1.0,reversed
2,H1B0204,S172,sobol_symmetric,4.0,high,0.7,64,21,21,0.5,100,0.1419113487138102,0.1415703814082236,0.1422523160193969,reversed,0.2496272779195342,0.2491549848383731,0.2500995710006954,-15.173670449415985,-15.17769924284952,-15.169641655982447,supported,0.6896990582191781,0.689134797966963,0.6902633184713932,0.0,1.0,reversed
2,H1B0208,S176,sobol_symmetric,3.1,high,0.9,32,14,14,0.3,100,0.0326529619494736,0.0320584618204048,0.0332474620785423,reversed,0.3086151702732402,0.3072769610562366,0.3099533794902439,-9.051763341357956,-9.057082941008854,-9.046443741707057,supported,0.1818681506849315,0.1805010362545991,0.1832352651152639,0.0,1.0,reversed
2,H1B0211,S179,sobol_symmetric,2.0,boundary,0.5,64,28,28,0.3,100,0.0405479657902938,0.0390981059692293,0.0419978256113584,reversed,0.5274936119246486,0.5265817652122335,0.5284054586370637,-7.763930708356542,-7.8142384240979075,-7.713622992615176,supported,0.5676318493150685,0.5661392081011469,0.5691244905289901,0.0,1.0,reversed
2,H1B0244,S212,sobol_symmetric,4.0,high,0.7,16,7,7,0.3,100,0.0303300133695862,0.0297013689279317,0.0309586578112407,reversed,0.1801203045892161,0.1792129737328119,0.1810276354456202,-2.141909620812987,-2.1479262147626166,-2.135893026863357,supported,0.3012534246575342,0.2996604389988621,0.3028464103162064,0.0,1.0,reversed
2,H1B0252,S220,sobol_symmetric,3.1,high,0.7,64,14,14,0.0,100,0.0866548026934741,0.0860898827029817,0.0872197226839665,reversed,0.3404089461686137,0.3396473563315372,0.3411705360056902,-10.769038338155552,-10.773357001384312,-10.764719674926791,supported,0.4999533390410958,0.4993545834592309,0.5005520946229607,0.0,1.0,reversed
2,H1B0276,X021,asymmetric_stress,3.1,high,0.9,16,28,21,0.3,100,0.1128562544108401,0.1121533632775706,0.1135591455441096,reversed,0.3210191522788748,0.3187745300711636,0.323263774486586,-23.55260467871989,-23.55722333531887,-23.54798602212092,supported,0.3998972602739726,0.3982094761818527,0.4015850443660925,0.0,1.0,reversed
2,H1B0278,X023,asymmetric_stress,3.1,high,0.9,32,21,21,0.1,100,0.0412006475715157,0.040716990662033,0.0416843044809984,reversed,0.2783971609258077,0.2767912616706598,0.2800030601809556,-16.70472176471626,-16.712461155208064,-16.696982374224458,supported,0.1959469178082191,0.1947005832420957,0.1971932523743426,0.0,1.0,reversed
2,H1B0291,X036,asymmetric_stress,4.0,high,0.9,64,14,14,0.1,100,0.0118892956976303,0.0115692060894005,0.0122093853058602,reversed,0.5798889339839094,0.5788847109340256,0.5808931570337932,-7.741451859997795,-7.746166637695,-7.736737082300591,supported,0.2692307363013698,0.2685168488091978,0.2699446237935419,0.0,1.0,reversed
2,H1B0305,X050,asymmetric_stress,3.1,high,0.9,16,21,28,0.5,100,0.0549083153414619,0.054149192806655,0.0556674378762687,reversed,0.1614513482465447,0.1596832478420378,0.1632194486510515,-17.7371971206456,-17.761806095951663,-17.712588145339538,supported,0.2003715753424658,0.1987131458697606,0.202030004815171,0.0,1.0,reversed
2,H1B0313,X058,asymmetric_stress,3.1,high,0.9,64,28,28,0.1,100,0.1702923578920551,0.1699557139706622,0.1706290018134479,reversed,0.7340584620152447,0.7329293216602966,0.7351876023701929,-22.333813283357827,-22.339519988943145,-22.32810657777251,supported,0.6892114726027397,0.6886851054731501,0.6897378397323294,0.0,1.0,reversed
2,H1B0322,X067,asymmetric_stress,3.1,high,0.9,16,21,21,0.3,100,0.1104595945232599,0.1097272947722454,0.1111918942742744,reversed,0.3123843664879066,0.3102249780701386,0.3145437549056745,-16.05897993294663,-16.067041081239065,-16.050918784654197,supported,0.3982739726027398,0.3965386373751138,0.4000093078303657,0.0,1.0,reversed
2,H1B0343,X088,asymmetric_stress,4.0,high,0.7,32,21,14,0.5,100,0.0761993010075471,0.0757015440971377,0.0766970579179565,reversed,0.2499232588096303,0.2492648349270604,0.2505816826922003,-16.848190161220806,-16.852421612660383,-16.84395870978123,supported,0.499779109589041,0.4987781188004679,0.5007801003776141,0.0,1.0,reversed
2,H1B0345,X090,asymmetric_stress,1.25,low,0.9,32,14,14,0.5,100,0.5023756436242715,0.5006673132775696,0.5040839739709733,reversed,0.5450650948928659,0.5423078857681672,0.5478223040175646,-4.639935575777678,-4.64685717714703,-4.633013974408327,supported,0.6328767123287671,0.6314957600389917,0.6342576646185425,0.0,1.0,reversed
2,H1B0358,X103,asymmetric_stress,3.1,high,0.7,64,14,14,0.5,100,0.0753333731894189,0.0748337150037477,0.0758330313750901,reversed,0.3212384553051828,0.3206695882924205,0.3218073223179452,-9.034032975833023,-9.03831058447904,-9.029755367187008,supported,0.4587294520547945,0.4580854225839001,0.4593734815256889,0.0,1.0,reversed
2,H1B0368,X113,asymmetric_stress,2.0,boundary,0.7,16,21,21,0.0,100,0.0358766109118175,0.0339169223312474,0.0378362994923875,reversed,0.6589021283237416,0.6573567065349895,0.6604475501124938,-16.52355960085747,-16.537530918615595,-16.509588283099347,supported,0.4296695205479451,0.4282396592893158,0.4310993818065745,0.0,1.0,reversed
2,H1B0370,X115,asymmetric_stress,2.0,boundary,0.9,32,14,7,0.3,100,0.166137184068886,0.1638926328038204,0.1683817353339517,reversed,0.329694121593257,0.3272636465280754,0.3321245966584386,-3.249502295157624,-3.26204863515462,-3.2369559551606266,supported,0.3646301369863014,0.3613238278644061,0.3679364461081967,0.0,1.0,reversed
