background_id,source_scenario_ids,scenario_type,target_loss_share,balk_probability,noshow_probability,estimated_balk_loss_share,estimated_noshow_loss_share,estimated_match_gap,balk_target_error,noshow_target_error,balk_attainable,noshow_attainable,calibration_valid,n_calibration_seeds,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2
H2B0001,A001,anchor,0.05,0.05,0.044487757642102,0.0479083372490183,0.0504127598929536,0.0025044226439352,0.0020916627509816,0.0004127598929536,True,True,True,3,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0001,A001,anchor,0.1,0.1049010418428988,0.1,0.0919073859419943,0.1014345842403993,0.0095271982984049,0.0080926140580056,0.0014345842403993,True,True,True,3,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0001,A001,anchor,0.2,0.215556197694455,0.2078881089434769,0.1954939903940327,0.2003929092010221,0.0048989188069894,0.0045060096059673,0.0003929092010221,True,True,True,3,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,9,0.0,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.3
H2B0114,S082,sobol_symmetric,0.05,0.05,0.05,0.0477607751369086,0.0505694689488543,0.0028086938119457,0.0022392248630913,0.0005694689488543,True,True,True,3,0.8,0.7,16,12.8,8.959999999999999,3.8400000000000007,14,14,0.3,0.3,0,12,0.0,0.1,0.0,0.3,0,9,0.0,0.0,0.0,0.7
H2B0114,S082,sobol_symmetric,0.1,0.0986812289971312,0.1,0.1036661683216312,0.1009247625942569,0.0027414057273742,0.0036661683216312,0.0009247625942569,True,True,True,3,0.8,0.7,16,12.8,8.959999999999999,3.8400000000000007,14,14,0.3,0.3,0,12,0.0,0.1,0.0,0.3,0,9,0.0,0.0,0.0,0.7
H2B0114,S082,sobol_symmetric,0.2,0.2,0.1948515024658748,0.2007659963378591,0.1976711531418196,0.0030948431960395,0.0007659963378591,0.0023288468581804,True,True,True,3,0.8,0.7,16,12.8,8.959999999999999,3.8400000000000007,14,14,0.3,0.3,0,12,0.0,0.1,0.0,0.3,0,9,0.0,0.0,0.0,0.7
H2B0191,S159,sobol_symmetric,0.05,0.05,0.0471629769599443,0.0476035206693846,0.0501392421277364,0.0025357214583517,0.0023964793306153,0.0001392421277363,True,True,True,3,0.8,0.3,16,12.8,3.84,8.959999999999999,28,28,0.1,0.1,0,6,0.0,0.1,0.0,0.5,0,12,0.0,0.3,0.0,0.5
H2B0191,S159,sobol_symmetric,0.1,0.1016256299374371,0.0933973447394221,0.0947830762271837,0.0975048781913683,0.0027218019641845,0.0052169237728162,0.0024951218086316,True,True,True,3,0.8,0.3,16,12.8,3.84,8.959999999999999,28,28,0.1,0.1,0,6,0.0,0.1,0.0,0.5,0,12,0.0,0.3,0.0,0.5
H2B0191,S159,sobol_symmetric,0.2,0.1995997368711589,0.1932438914001283,0.2003263585253078,0.1988598966095383,0.0014664619157695,0.0003263585253077,0.0011401033904617,True,True,True,3,0.8,0.3,16,12.8,3.84,8.959999999999999,28,28,0.1,0.1,0,6,0.0,0.1,0.0,0.5,0,12,0.0,0.3,0.0,0.5
H2B0254,S222,sobol_symmetric,0.05,0.05,0.0599103936163513,0.0486601698199536,0.0484948807801113,0.0001652890398423,0.0013398301800463,0.0015051192198886,True,True,True,3,1.25,0.9,16,20.0,18.0,2.0,28,28,0.3,0.3,0,6,0.0,0.5,0.0,0.7,0,9,0.0,0.3,0.0,0.3
H2B0254,S222,sobol_symmetric,0.1,0.1,0.1230461089625927,0.1035389832321123,0.0999913248167591,0.0035476584153532,0.0035389832321123,8.675183240908213e-06,True,True,True,3,1.25,0.9,16,20.0,18.0,2.0,28,28,0.3,0.3,0,6,0.0,0.5,0.0,0.7,0,9,0.0,0.3,0.0,0.3
H2B0254,S222,sobol_symmetric,0.2,0.2,0.2396415744654052,0.1978931454334185,0.1979143381016851,2.119266826663968e-05,0.0021068545665815,0.0020856618983148,True,True,True,3,1.25,0.9,16,20.0,18.0,2.0,28,28,0.3,0.3,0,6,0.0,0.5,0.0,0.7,0,9,0.0,0.3,0.0,0.3
H2B0294,X044,asymmetric_stress,0.05,0.054946772086997,0.0629232441260809,0.0487705187977694,0.0503075012425869,0.0015369824448175,0.0012294812022305,0.0003075012425869,True,True,True,3,4.0,0.3,32,128.0,38.4,89.6,28,21,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
H2B0294,X044,asymmetric_stress,0.1,0.1024633431260805,0.1258464882521618,0.0958449501414592,0.1009636387095856,0.0051186885681264,0.0041550498585408,0.0009636387095856,True,True,True,3,4.0,0.3,32,128.0,38.4,89.6,28,21,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
H2B0294,X044,asymmetric_stress,0.2,0.2,0.2516929765043237,0.2013515766875238,0.199944445294148,0.0014071313933757,0.0013515766875238,5.555470585197342e-05,True,True,True,3,4.0,0.3,32,128.0,38.4,89.6,28,21,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
H2B0346,X112,asymmetric_stress,0.05,0.05,0.05,0.0477607751369086,0.0505694689488543,0.0028086938119457,0.0022392248630913,0.0005694689488543,True,True,True,3,0.8,0.7,16,12.8,8.959999999999999,3.8400000000000007,28,14,0.3,0.3,0,12,0.0,0.1,0.0,0.3,0,9,0.0,0.0,0.0,0.7
