background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1_background,cancel_class2_background,target_loss_share,arm,focal_probability,realized_focal_loss_share,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8044520547945205,0.8044520547945205,1.0,0.04533844189016603,0.04533844189016603,1.0,1.0,0.0,0.0,0.0,0.07910958904109588,0.7253424657534246,0.07910958904109588,0.7253424657534246,0.05194805194805195,0.04461756373937677,0.0,0.0,-0.007330488208675184,2000,462,4236,462,4236,462,4236,0,0,0,0,0,0,462,4236,0.0,0.0,0.0,0.05194805194805195,0.04461756373937677,0.0,0.0,0.0,0.0,0.0,0.0,4698,4698
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8239726027397261,0.8239726027397261,1.0,0.06608478802992519,0.06608478802992519,1.0,1.0,0.0,0.0,0.0,0.07756849315068493,0.7464041095890411,0.07756849315068493,0.7464041095890411,0.039735099337748346,0.06882312456985547,0.0,0.0,0.02908802523210712,2001,453,4359,453,4359,453,4359,0,0,0,0,0,0,453,4359,0.0,0.0,0.0,0.039735099337748346,0.06882312456985547,0.0,0.0,0.0,0.0,0.0,0.0,4812,4812
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,balk,0.05,0.04276985743380855,0.822945205479452,0.822945205479452,0.9956494717215661,0.05826050769870995,0.05821421172570955,0.9572301425661914,1.0,0.00435052827843381,0.04276985743380855,0.0,0.08047945205479452,0.7424657534246575,0.08047945205479452,0.7424657534246575,0.06313645621181263,0.057656826568265686,-0.04276985743380857,0.04276985743380855,-0.005479629643546945,2000,491,4336,491,4336,470,4336,21,0,0,0,0,0,470,4336,0.0,0.0,0.0,0.06382978723404255,0.057656826568265686,0.04276985743380855,0.0,0.0,0.0,0.0,0.0,4827,4827
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,balk,0.05,0.06605922551252848,0.7907534246575343,0.7907534246575343,0.993755383290267,0.04550379198266522,0.0454349698535745,0.9339407744874715,1.0,0.006244616709732989,0.06605922551252848,0.0,0.0702054794520548,0.7200342465753424,0.0702054794520548,0.7200342465753424,0.05239179954441914,0.04470868014268728,-0.06605922551252852,0.06605922551252848,-0.007683119401731858,2001,439,4205,439,4205,410,4205,29,0,0,0,0,0,410,4205,0.0,0.0,0.0,0.05365853658536585,0.04470868014268728,0.06605922551252848,0.0,0.0,0.0,0.0,0.0,4644,4644
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,noshow,0.044487757642102,0.04329004329004329,0.8010273972602739,0.8044520547945205,0.9957428693060877,0.04533844189016603,0.04533844189016603,0.9567099567099567,1.0,0.0,0.0,0.0,0.07568493150684931,0.7253424657534246,0.07910958904109588,0.7253424657534246,0.05194805194805195,0.04461756373937677,-0.04329004329004327,0.0,-0.007330488208675184,2000,462,4236,462,4236,462,4236,0,0,0,0,20,0,442,4236,0.0,0.0,0.0,0.05194805194805195,0.04461756373937677,0.0,0.0,0.04329004329004329,0.0,0.0,0.0,4698,4698
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,noshow,0.044487757642102,0.04194260485651214,0.8207191780821917,0.8239726027397261,0.9960515378221114,0.06608478802992519,0.06608478802992519,0.9580573951434879,1.0,0.0,0.0,0.0,0.07431506849315068,0.7464041095890411,0.07756849315068493,0.7464041095890411,0.039735099337748346,0.06882312456985547,-0.04194260485651213,0.0,0.02908802523210712,2001,453,4359,453,4359,453,4359,0,0,0,0,19,0,434,4359,0.0,0.0,0.0,0.039735099337748346,0.06882312456985547,0.0,0.0,0.04194260485651214,0.0,0.0,0.0,4812,4812
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,balk,0.1049010418428988,0.12869198312236288,0.7967465753424657,0.7967465753424657,0.9870598218073823,0.06533419299376746,0.06512515910055156,0.8713080168776371,1.0,0.012940178192617734,0.12869198312236288,0.0,0.07071917808219177,0.726027397260274,0.07071917808219177,0.726027397260274,0.052742616033755275,0.06650943396226415,-0.12869198312236285,0.12869198312236288,0.013766817928508875,2000,474,4240,474,4240,413,4240,61,0,0,0,0,0,413,4240,0.0,0.0,0.0,0.053268765133171914,0.06650943396226415,0.12869198312236288,0.0,0.0,0.0,0.0,0.0,4714,4714
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,balk,0.1049010418428988,0.10647181628392484,0.7943493150684932,0.7943493150684932,0.9891257995735607,0.04397499461090752,0.04392324093816631,0.8935281837160751,1.0,0.010874200426439232,0.10647181628392484,0.0,0.07328767123287672,0.7210616438356164,0.07328767123287672,0.7210616438356164,0.03966597077244259,0.04440750415578248,-0.10647181628392488,0.10647181628392484,0.004741533383339887,2001,479,4211,479,4211,428,4211,51,0,0,0,0,0,428,4211,0.0,0.0,0.0,0.0397196261682243,0.04440750415578248,0.10647181628392484,0.0,0.0,0.0,0.0,0.0,4690,4690
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,noshow,0.1,0.08658008658008658,0.7976027397260274,0.8044520547945205,0.9914857386121754,0.04533844189016603,0.04533844189016603,0.9134199134199135,1.0,0.0,0.0,0.0,0.07226027397260273,0.7253424657534246,0.07910958904109588,0.7253424657534246,0.05194805194805195,0.04461756373937677,-0.08658008658008653,0.0,-0.007330488208675184,2000,462,4236,462,4236,462,4236,0,0,0,0,40,0,422,4236,0.0,0.0,0.0,0.05194805194805195,0.04461756373937677,0.0,0.0,0.08658008658008658,0.0,0.0,0.0,4698,4698
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,noshow,0.1,0.11699779249448124,0.8148972602739726,0.8239726027397261,0.9889858686616791,0.06608478802992519,0.06608478802992519,0.8830022075055187,1.0,0.0,0.0,0.0,0.0684931506849315,0.7464041095890411,0.07756849315068493,0.7464041095890411,0.039735099337748346,0.06882312456985547,-0.11699779249448128,0.0,0.02908802523210712,2001,453,4359,453,4359,453,4359,0,0,0,0,53,0,400,4359,0.0,0.0,0.0,0.039735099337748346,0.06882312456985547,0.0,0.0,0.11699779249448124,0.0,0.0,0.0,4812,4812
