background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,target_loss_share,balk_probability,noshow_probability,n_paired_seeds,mean_balk_loss_share,mean_noshow_loss_share,balk_target_error,noshow_target_error,loss_match_gap,loss_match_valid,delta_utilization_balk_minus_noshow,delta_utilization_balk_minus_noshow_ci_low,delta_utilization_balk_minus_noshow_ci_high,utilization_component,delta_class1_served_balk_vs_baseline,delta_class1_served_balk_vs_baseline_ci_low,delta_class1_served_balk_vs_baseline_ci_high,balk_served_component,delta_class1_served_noshow_vs_baseline,delta_class1_served_noshow_vs_baseline_ci_low,delta_class1_served_noshow_vs_baseline_ci_high,noshow_served_component,delta_utilization_balk_vs_baseline,delta_utilization_balk_vs_baseline_ci_low,delta_utilization_balk_vs_baseline_ci_high,delta_utilization_noshow_vs_baseline,delta_utilization_noshow_vs_baseline_ci_low,delta_utilization_noshow_vs_baseline_ci_high,failure_component,classification
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,0.05,0.044487757642102,100,0.04830484759410894,0.04421256746875371,0.0016951524058910622,0.005787432531246292,0.00409228012535523,True,-0.0030958904109589045,-0.006286755572979568,9.497475106175863e-05,inconclusive,-0.04828343431787772,-0.050366413004887575,-0.04620045563086786,supported,-0.044212567468753745,-0.04579755487702077,-0.04262758006048672,supported,-0.0066352739726027385,-0.009828753456623873,-0.0034417944885816038,-0.003539383561643834,-0.00367102244492933,-0.003407744678358338,utilization,inconclusive
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,0.1049010418428988,0.1,100,0.10578148237512502,0.0975324310113593,0.005781482375125019,0.0024675689886407004,0.00824905136376572,True,-0.0033219178082191745,-0.006351217317279586,-0.00029261829915876256,inconclusive,-0.10573870157752632,-0.10883737105759152,-0.10264003209746113,supported,-0.09753243101135933,-0.09987908915832046,-0.09518577286439821,supported,-0.011123287671232874,-0.014175392472259215,-0.008071182870206533,-0.007801369863013699,-0.007994556519185275,-0.007608183206842124,utilization,inconclusive
H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,0.05,0.05,0.05,100,0.049884166368149456,0.04953702016259188,0.00011583363185054679,0.00046297983740812426,0.00034714620555757747,True,0.0011438356164383612,-0.0011954434066094738,0.0034831146394861965,inconclusive,-0.04988416636814951,-0.05066715504528527,-0.049101177691013756,supported,-0.04953702016259193,-0.05031793165164794,-0.048756108673535914,supported,-0.026535958904109584,-0.028944039166384463,-0.024127878641834705,-0.02767979452054795,-0.028134389114540706,-0.027225199926555192,utilization,inconclusive
H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,0.1,0.0986812289971312,0.1,100,0.09793630134593681,0.09961491829588086,0.002063698654063195,0.00038508170411914733,0.0016786169499440479,True,0.001565068493150684,-0.0007156103462202185,0.0038457473325215867,inconclusive,-0.09793630134593688,-0.0990262470088194,-0.09684635568305436,supported,-0.09961491829588093,-0.10069846131452262,-0.09853137527723924,supported,-0.0540873287671233,-0.05647349111019576,-0.051701166424050836,-0.055652397260273975,-0.05630873100307075,-0.0549960635174772,utilization,inconclusive
H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,0.2,0.2,0.1948515024658748,100,0.19999675334382339,0.19454760444159472,3.24665617662534e-06,0.005452395558405293,0.005449148902228668,True,-0.0022602739726027376,-0.004643616698383035,0.0001230687531775603,inconclusive,-0.19999675334382347,-0.2013323876705619,-0.19866111901708502,supported,-0.1945476044415948,-0.19599528990069687,-0.19309991898249274,supported,-0.11094006849315066,-0.11354212423431513,-0.10833801275198619,-0.10867979452054795,-0.10958980664794149,-0.1077697823931544,utilization,inconclusive
H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0.05,0.05,0.0471629769599443,100,0.049638125543220536,0.04690854826472962,0.00036187445677946656,0.0030914517352703813,0.0027295772784909147,True,-0.0025051369863013572,-0.004206262067180387,-0.0008040119054223277,inconclusive,-0.04964511366341626,-0.050877352113987105,-0.04841287521284541,supported,-0.046908548264729656,-0.048040409086177384,-0.04577668744328193,supported,-0.01379623287671232,-0.015553951226918654,-0.012038514526505985,-0.011291095890410965,-0.01157399785243548,-0.011008193928386449,utilization,inconclusive
H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0.1,0.1016256299374371,0.0933973447394221,100,0.10081025332199489,0.09341160431480962,0.000810253321994886,0.006588395685190387,0.007398649007185273,True,-0.003333904109589042,-0.00488720147059234,-0.0017806067485857439,inconclusive,-0.10081025332199495,-0.10260911646666243,-0.09901139017732746,supported,-0.09341160431480965,-0.09498782494711702,-0.09183538368250227,supported,-0.02581506849315068,-0.027412806758471842,-0.024217330227829518,-0.022481164383561635,-0.022879924397709486,-0.022082404369413784,utilization,inconclusive
H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0.2,0.1995997368711589,0.1932438914001283,100,0.20065666776392416,0.19286978373646377,0.0006566677639241458,0.007130216263536243,0.007786884027460389,True,-0.0035650684931506815,-0.005341547695055721,-0.0017885892912456426,inconclusive,-0.2006566677639242,-0.2025785874040915,-0.19873474812375694,supported,-0.1928697837364638,-0.1951399997834061,-0.1905995676895215,supported,-0.04998972602739725,-0.051794257052525126,-0.04818519500226937,-0.04642465753424657,-0.0470360268262703,-0.04581328824222285,utilization,inconclusive
H2B0254,S222,sobol_symmetric,1.25,0.9,16,28,28,0.3,0.3,0.05,0.05,0.0599103936163513,100,0.050334352995429245,0.05035153084276219,0.00033435299542924207,0.0003515308427621891,1.7177847332947027e-05,True,0.05607705479452054,0.05535091683567565,0.056803192753365435,supported,-0.00041949870395834645,-0.003340833515434845,0.0025018361075181523,inconclusive,-0.05035153084276225,-0.050908975207785506,-0.04979408647773899,supported,-0.0005719178082191689,-0.0010653039330962679,-7.853168334206995e-05,-0.056648972602739704,-0.05725622308328802,-0.05604172212219139,balk_served,inconclusive
H2B0294,X044,asymmetric_stress,4.0,0.3,32,28,21,0.0,0.0,0.05,0.054946772086997,0.0629232441260809,100,0.04885904898286769,0.050070487773216064,0.0011409510171323106,7.048777321606164e-05,0.0012114387903483723,True,0.06270119863013698,0.06231133832085043,0.06309105893942354,supported,0.002883854019218959,0.0009533751390227417,0.004814332899415176,inconclusive,-0.05007048777321612,-0.05041673021249156,-0.04972424533394068,supported,0.0,0.0,0.0,-0.06270119863013698,-0.06309105893942354,-0.06231133832085043,balk_served,inconclusive
