background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,valid_h5_steps,h5_design_active,h5_design_inactive_reason
H5B0027,A027,anchor,,small_scale_balanced,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,,A027,A027,1,0.0;0.1;0.3;0.5,True,
H5B0028,A028,anchor,,large_scale_balanced,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,,A028,A028,1,0.0;0.1;0.3;0.5,True,
H5B0038,S006,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.5,0.5,,S006,S006,1,0.0;0.1;0.3;0.5,True,
H5B0060,S028,sobol_symmetric,,scrambled_sobol,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,,S028,S028,1,0.0;0.1;0.3,True,
H5B0120,S088,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.7,9,9,0.0,0.0,0.5,0.5,,S088,S088,1,0.0;0.1;0.3;0.5,True,
H5B0126,S094,sobol_symmetric,,scrambled_sobol,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,,S094,S094,1,0.0;0.1;0.3;0.5,True,
H5B0128,S096,sobol_symmetric,,scrambled_sobol,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.7,,S096,S096,1,0.0;0.1;0.3;0.5,True,
H5B0159,S127,sobol_symmetric,,scrambled_sobol,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.1,0.3,6,6,0.5,0.5,0.7,0.7,,S127,S127,1,0.0;0.1;0.3;0.5,True,
H5B0206,S174,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,,S174,S174,1,0.0;0.1;0.3;0.5,True,
H5B0263,X007,asymmetric_stress,S094,sparse_asymmetry_2_dimension,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.5,0.7,class1:horizon;class1:noshow_high,X007,X007,1,0.0;0.1;0.3;0.5,True,
H5B0277,X021,asymmetric_stress,S096,sparse_asymmetry_2_dimension,3.1,0.9,16,49.6,44.64,4.959999999999999,28,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.3,class2:noshow_high;class1:horizon,X021,X021,1,0.0;0.1;0.3;0.5,True,
H5B0279,X023,asymmetric_stress,S028,sparse_asymmetry_1_dimension,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,class1:balk_threshold,X023,X023,1,0.0;0.1;0.3,True,
H5B0290,X034,asymmetric_stress,S006,sparse_asymmetry_2_dimension,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,6,9,0.0,0.5,0.5,0.5,class2:noshow_low;class1:noshow_threshold,X034,X034,1,0.0;0.1;0.3;0.5,True,
H5B0325,X070,asymmetric_stress,S181,sparse_asymmetry_3_dimension,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.5,4,12,0.1,0.0,0.1,0.5,6,6,0.0,0.0,0.5,0.5,class2:cancel;class1:balk_low;class2:balk_threshold,X070,X070,1,0.0;0.1;0.3;0.5,True,
H5B0335,X080,asymmetric_stress,S094,sparse_asymmetry_1_dimension,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,class1:horizon,X080,X080,1,0.0;0.1;0.3;0.5,True,
H5B0343,X088,asymmetric_stress,S116,sparse_asymmetry_3_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.5,9,12,0.3,0.3,0.3,0.3,12,12,0.0,0.0,0.5,0.5,class2:horizon;class2:cancel;class1:balk_threshold,X088,X088,1,0.0;0.1;0.3,True,
H5B0357,X103,asymmetric_stress,S092,sparse_asymmetry_2_dimension,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.1,0.5,4,4,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.5,0.7,class1:cancel;class2:noshow_high,X103,X103,1,0.0;0.1;0.3;0.5,True,
