stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h5_steps,n_active_primary_comparisons,n_supported_primary_comparisons,n_reversed_primary_comparisons,n_strong_selection_primary_comparisons,failure_component,classification
2,H5B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.0;0.1;0.3,2,0,1,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0120,S088,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.7,9,9,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,1,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0126,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0,no_primary_comparison_met_all_support_criteria,inconclusive
2,H5B0128,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,2,0,1,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0159,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.1,0.3,6,6,0.5,0.5,0.7,0.7,0.0;0.1;0.3;0.5,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0206,S174,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,1,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0263,X007,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.5,0.7,0.0;0.1;0.3;0.5,2,0,0,0,no_primary_comparison_met_all_support_criteria,inconclusive
2,H5B0277,X021,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.3,0.0;0.1;0.3;0.5,2,0,1,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0279,X023,asymmetric_stress,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.0;0.1;0.3,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0290,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,6,9,0.0,0.5,0.5,0.5,0.0;0.1;0.3;0.5,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0325,X070,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.5,4,12,0.1,0.0,0.1,0.5,6,6,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,1,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0335,X080,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0,no_primary_comparison_met_all_support_criteria,inconclusive
2,H5B0343,X088,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,0.1,0.5,9,12,0.3,0.3,0.3,0.3,12,12,0.0,0.0,0.5,0.5,0.0;0.1;0.3,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
2,H5B0357,X103,asymmetric_stress,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.1,0.5,4,4,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.5,0.7,0.0;0.1;0.3;0.5,2,0,2,0,one_or_more_primary_comparisons_reversed,reversed
