background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,n_paired_seeds,estimated_post_threshold_offer_share,estimated_post_threshold_offer_share_ci_low,estimated_post_threshold_offer_share_ci_high,delta_class1_accepted_delay,delta_class1_accepted_delay_ci_low,delta_class1_accepted_delay_ci_high,delta_class1_offered_delay,delta_class1_offered_delay_ci_low,delta_class1_offered_delay_ci_high,selection_gap,selection_gap_ci_low,selection_gap_ci_high,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,accepted_delay_component,selection_gap_component,served_rate_component,strong_selection_evidence,failure_component,classification
H5B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.1,0.1,True,100,0.9670731077787363,0.9596670190332931,0.9744791965241796,-6.784839317738548,-7.128821949025169,-6.440856686451927,-6.769813927993258,-7.113993524750655,-6.4256343312358615,0.015025389745289424,0.012758554983744704,0.017292224506834146,0.11093982771527372,0.0957326373126232,0.12614701811792423,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.3,0.3,True,100,0.6813761219096464,0.6738756516245757,0.688876592194717,-9.235396748021753,-9.448133199754661,-9.022660296288844,-9.148122551809466,-9.360976083102017,-8.935269020516916,0.08727419621228716,0.08618604050205692,0.0883623519225174,0.09761796810861526,0.09262591535157697,0.10261002086565355,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.5,0.5,False,100,0.5034511510601114,0.49746256289108626,0.5094397392291365,-9.528421159312874,-9.743280297986294,-9.313562020639454,-9.359832973680883,-9.574822727399372,-9.144843219962393,0.16858818563199005,0.1675033451348373,0.16967302612914278,0.0505940808617447,0.04483218020654273,0.05635598151694668,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.1,0.1,True,100,0.9858025679286847,0.9823315730317953,0.9892735628255741,-8.067259271458106,-8.230251133555452,-7.9042674093607594,-8.062779228646809,-8.225759366193982,-7.899799091099635,0.004480042811296867,0.003922901170955525,0.00503718445163821,0.17153278130053767,0.16148564374825244,0.1815799188528229,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.3,0.3,True,100,0.6682293854068532,0.6640102621909028,0.6724485086228036,-9.509472123206335,-9.624112854152433,-9.394831392260237,-9.425814245180316,-9.54044089795223,-9.311187592408402,0.08365787802602,0.08318820364649814,0.08412755240554186,0.10263606845381609,0.0997466405652935,0.10552549634233868,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.3,0.3,0.5,0.5,False,100,0.5054201331929071,0.5023222853246044,0.5085179810612098,-9.75389399297992,-9.869063754339232,-9.638724231620609,-9.587665719215808,-9.702963059427079,-9.472368379004537,0.16622827376411436,0.1656808930400101,0.16677565448821863,0.05128740070480016,0.04793492933613997,0.05463987207346035,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.5,0.5,0.1,0.1,True,100,0.9971530624143006,0.9954881738068964,0.9988179510217048,-3.2836344167015814,-3.5547520716463517,-3.012516761756811,-3.277438249873311,-3.549568619385783,-3.005307880360839,0.006196166828271057,0.0006049003283826564,0.011787433328159458,0.022095091655103715,0.016925007794651257,0.027265175515556173,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.5,0.5,0.3,0.3,True,100,0.713312906505761,0.7048396726023173,0.7217861404092046,-19.28738895271872,-19.409019157297546,-19.165758748139897,-19.19921610897422,-19.32074591730923,-19.077686300639208,0.08817284374450274,0.08727123037466977,0.0890744571143357,0.3658985842402007,0.36224370896814,0.36955345951226143,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,9,9,0.0,0.0,0.5,0.5,0.5,0.5,False,100,0.4440940584697555,0.4398111103330791,0.4483770066064319,-19.644356446102247,-19.76519115449417,-19.523521737710325,-19.489234365196644,-19.61018778854943,-19.36828094184386,0.15512208090559912,0.15422601382564222,0.15601814798555602,0.35814750971198994,0.35496501664865837,0.3613300027753215,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.1,0.4,True,100,0.7276203282345647,0.7187949425607381,0.7364457139083913,-1.2386954477264385,-1.2618869504993542,-1.2155039449535228,-1.0379861526897285,-1.0614506787690605,-1.0145216266103965,0.20070929503671,0.19696330524441913,0.20445528482900088,0.0033059433006656746,0.002700898194545473,0.0039109884067858765,supported,inconclusive,inconclusive,False,selection_gap;served_rate,inconclusive
H5B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.3,0.6,True,100,0.6465968986562488,0.64310654921069,0.6500872481018076,-3.450913146269846,-3.4716648491131794,-3.4301614434265124,-3.0378480304964075,-3.0584391242827142,-3.0172569367101008,0.41306511577343763,0.4099723900861736,0.41615784146070167,0.021751781848936173,0.021239586025457433,0.022263977672414913,supported,supported,reversed,False,served_rate,reversed
H5B0120,S088,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.7,9,9,0.0,0.0,0.5,0.5,0.1,0.1,True,100,0.999803844256661,0.9995843946876439,1.0000232938256781,-0.9210635520649607,-0.9629785604961417,-0.8791485436337797,-0.9221388936929504,-0.9640545837382263,-0.8802232036476746,-0.0010753416279898787,-0.0029933734657721254,0.000842690209792368,-0.00681160148936599,-0.007805382908313232,-0.005817820070418748,supported,inconclusive,supported,False,selection_gap,inconclusive
H5B0120,S088,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.7,9,9,0.0,0.0,0.5,0.5,0.3,0.3,True,100,1.0,1.0,1.0,-17.74060039146611,-17.90120965916512,-17.5799911237671,-17.7361237424538,-17.896686232179917,-17.57556125272768,0.00447664901231045,0.003700164996862184,0.005253133027758715,0.2677303393774935,0.2524942517619022,0.28296642699308483,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0120,S088,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.7,9,9,0.0,0.0,0.5,0.5,0.5,0.5,False,100,0.9276426165978964,0.9258502786149718,0.9294349545808209,-19.271451590245118,-19.297423373420315,-19.24547980706992,-19.152262662471106,-19.178236505857317,-19.126288819084895,0.11918892777401009,0.11842869630772933,0.11994915924029086,0.2025618420348893,0.20155111398254,0.2035725700872386,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0126,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,0.1,0.2,True,100,0.05462214228154224,0.0478228119252277,0.06142147263785678,-0.02872438919348295,-0.045043615865628286,-0.01240516252133762,-0.008395749091415104,-0.024981038179083023,0.008189539996252814,0.02032864010206785,0.017831936865532985,0.022825343338602713,0.001575035234768094,-2.863530817050837e-05,0.0031787057777066963,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0126,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,0.3,0.4,True,100,0.04254888320218774,0.03954025413477295,0.045557512269602536,-0.07166108499088268,-0.08632144286742353,-0.057000727114341836,-0.025737657910792633,-0.04063862699457099,-0.010836688827014275,0.04592342708009005,0.04319691018585926,0.04864994397432084,0.004189261268829031,0.002556154373497801,0.0058223681641602605,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0126,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.7,0.7,0.5,0.6,False,100,0.03778691987887393,0.035419889675193286,0.04015395008255457,-0.10874991514126131,-0.12270964524601247,-0.09479018503651016,-0.03912283204920152,-0.05341713656136598,-0.024828527537037064,0.0696270830920598,0.06593793624606482,0.07331622993805477,0.004913613920053192,0.003382724347608599,0.0064445034924977855,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0128,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.7,0.1,0.1,True,100,0.6122262393602335,0.6085302984493106,0.6159221802711563,-0.309530391247003,-0.3223340913472603,-0.29672669114674566,-0.2054686459485481,-0.21840344321769461,-0.1925338486794016,0.10406174529845492,0.10341592062659599,0.10470756997031386,0.0010852093742304719,0.0003138588175237455,0.0018565599309371982,supported,inconclusive,inconclusive,False,selection_gap;served_rate,inconclusive
