background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,lower_threshold,higher_threshold,reclassified_delay_bucket,n_paired_seeds,mean_reclassified_bucket_mass,mean_reclassified_bucket_mass_ci_low,mean_reclassified_bucket_mass_ci_high,signed_served_rate_jump,signed_served_rate_jump_ci_low,signed_served_rate_jump_ci_high,absolute_served_rate_jump,material_jump
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0,1,1,2,0.02986411617402047,0.028296184178120163,0.031432048169920776,0.0018739601944117584,-0.000196769071746468,0.003944689460569984,0.0018739601944117584,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,1,2,2,2,0.02891377820493041,0.02862601355032119,0.02920154285953963,0.01577716029564069,-0.012231057416859741,0.043785378008141126,0.01577716029564069,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,2,3,3,2,0.03248957822503129,0.032206958050021134,0.03277219840004145,0.006853760643221296,-0.006525930181650635,0.020233451468093227,0.006853760643221296,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,3,4,4,2,0.03159725861766534,0.0285693186455901,0.03462519858974058,0.0046391271442851045,-0.011118171131675313,0.02039642542024552,0.0046391271442851045,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,4,5,5,2,0.03138839131432752,0.016944238170012962,0.04583254445864207,0.007061526202423549,0.00330290531509214,0.010820147089754957,0.007061526202423549,True
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,5,6,6,2,0.032834491298261846,0.03279100579885693,0.03287797679766676,-0.0022928300822303432,-0.007487256633021083,0.0029015964685603964,0.0022928300822303432,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,6,7,7,2,0.03289622720985831,0.030881610616871884,0.03491084380284474,0.008429565300566044,-0.03073706806066409,0.04759619866179618,0.008429565300566044,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,7,8,8,2,0.03390831977217083,0.030507649071503114,0.03730899047283854,-0.0007158966970296082,-0.003291635315674015,0.0018598419216147985,0.0007158966970296082,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,8,9,9,2,0.0341780594127375,0.030112830492706057,0.038243288332768945,0.007671696888685159,-0.001142711998144242,0.01648610577551456,0.007671696888685159,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,9,10,10,2,0.04810087942787374,0.03656367355133751,0.05963808530440998,0.00130847003591604,-0.054921215847287146,0.057538155919119226,0.00130847003591604,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,10,11,11,2,0.04703298827175552,0.032756921520536594,0.06130905502297444,0.001153850080232749,-0.03029303277774576,0.03260073293821126,0.001153850080232749,False
H6B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.3,0.3,11,12,12,2,0.06690582291158047,0.06480148208854242,0.06901016373461852,-0.0015722070710901953,-0.04265318300104492,0.03950876885886453,0.0015722070710901953,False
