background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,valid_h7_gaps,h7_design_active,h7_design_inactive_reason
H7B0019,A019,anchor,,high_balk_low_threshold,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,,A019,A019,1,0.05;0.10;0.20,True,
H7B0027,A027,anchor,,small_scale_balanced,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,,A027,A027,1,0.05;0.10;0.20;0.30,True,
H7B0028,A028,anchor,,large_scale_balanced,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,,A028,A028,1,0.05;0.10;0.20;0.30,True,
H7B0035,S003,sobol_symmetric,,scrambled_sobol,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,,S003,S003,1,0.05;0.10;0.20;0.30,True,
H7B0038,S006,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,,S006,S006,1,0.05;0.10;0.20;0.30,True,
H7B0060,S028,sobol_symmetric,,scrambled_sobol,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,,S028,S028,1,0.05;0.10;0.20,True,
H7B0061,S029,sobol_symmetric,,scrambled_sobol,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,,S029,S029,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0064,S032,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,,S032,S032,1,0.05;0.10;0.20,True,
H7B0073,S041,sobol_symmetric,,scrambled_sobol,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,,S041,S041,1,0.05;0.10;0.20,True,
H7B0092,S060,sobol_symmetric,,scrambled_sobol,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,,S060,S060,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0110,S078,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,14,14,0.0,0.0,4,4,0.3,0.3,0.5,0.5,6,6,0.0,0.0,0.1,0.1,,S078,S078,1,0.05;0.10;0.20,True,
H7B0117,S085,sobol_symmetric,,scrambled_sobol,4.0,0.1,16,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.3,0.3,0.7,0.7,4,4,0.0,0.0,0.1,0.1,,S085,S085,1,0.05;0.10;0.20;0.30,True,
H7B0120,S088,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.7,0.7,9,9,0.0,0.0,0.5,0.5,,S088,S088,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0133,S101,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.0,0.0,4,4,0.1,0.1,0.7,0.7,4,4,0.3,0.3,0.5,0.5,,S101,S101,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0164,S132,sobol_symmetric,,scrambled_sobol,4.0,0.7,64,256.0,179.2,76.80000000000001,14,14,0.1,0.1,6,6,0.1,0.1,0.7,0.7,9,9,0.0,0.0,0.7,0.7,,S132,S132,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0165,S133,sobol_symmetric,,scrambled_sobol,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,4,4,0.5,0.5,0.5,0.5,,S133,S133,1,0.05;0.10;0.20,True,
H7B0184,S152,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.7,0.7,0.7,0.7,,S152,S152,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0275,X023,asymmetric_stress,S028,sparse_asymmetry_1_dimension,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,class1:balk_threshold,X023,X023,1,0.05;0.10;0.20,True,
H7B0277,X025,asymmetric_stress,S075,sparse_asymmetry_3_dimension,1.25,0.1,32,40.0,4.0,36.0,14,21,0.0,0.0,4,6,0.0,0.0,0.7,0.7,12,12,0.5,0.3,0.5,0.5,class1:balk_threshold;class2:horizon;class2:noshow_low,X025,X025,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0278,X026,asymmetric_stress,S032,sparse_asymmetry_1_dimension,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,class1:horizon,X026,X026,1,0.05;0.10;0.20,True,
H7B0281,X030,asymmetric_stress,A015,sparse_asymmetry_1_dimension,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,class1:noshow_low,X030,X030,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0310,X064,asymmetric_stress,S212,sparse_asymmetry_2_dimension,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.5,4,4,0.3,0.3,0.5,0.5,4,4,0.7,0.3,0.7,0.7,class1:noshow_low;class2:cancel,X064,X064,1,0.05;0.10;0.20,True,
H7B0317,X071,asymmetric_stress,S127,sparse_asymmetry_3_dimension,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.3,0.3,6,6,0.7,0.5,0.7,0.5,class1:noshow_low;class2:noshow_high;class2:balk_low,X071,X071,1,0.05;0.10;0.20,True,
H7B0329,X085,asymmetric_stress,A007,sparse_asymmetry_3_dimension,2.0,0.3,16,32.0,9.6,22.4,14,21,0.1,0.1,4,9,0.0,0.0,0.1,0.1,6,6,0.0,0.0,0.3,0.3,class1:balk_high;class1:balk_threshold;class2:horizon,X085,X085,1,0.05;0.10,True,
H7B0332,X089,asymmetric_stress,S205,sparse_asymmetry_1_dimension,4.0,0.3,64,256.0,76.8,179.2,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,12,12,0.3,0.3,0.5,0.5,class1:balk_low,X089,X089,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0344,X101,asymmetric_stress,S064,sparse_asymmetry_1_dimension,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.7,0.7,12,12,0.7,0.7,0.7,0.7,class1:balk_high,X101,X101,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0353,X111,asymmetric_stress,A020,sparse_asymmetry_3_dimension,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,4,6,0.0,0.0,0.7,0.7,6,12,0.7,0.7,0.7,0.7,class1:balk_threshold;class1:balk_low;class2:noshow_threshold,X111,X111,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0362,X120,asymmetric_stress,A019,sparse_asymmetry_2_dimension,3.1,0.5,32,99.2,49.6,49.6,14,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.3,0.5,0.5,0.5,class1:noshow_low;class2:horizon,X120,X120,1,0.05;0.10;0.20,True,
H7B0364,X122,asymmetric_stress,S110,sparse_asymmetry_2_dimension,2.0,0.7,64,128.0,89.6,38.400000000000006,28,28,0.1,0.0,9,9,0.0,0.0,0.5,0.5,9,12,0.7,0.7,0.7,0.7,class1:noshow_threshold;class1:cancel,X122,X122,1,0.05;0.10;0.20;0.30;0.50,True,
H7B0366,X124,asymmetric_stress,S016,sparse_asymmetry_2_dimension,3.1,0.9,64,198.4,178.56,19.84,14,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,class2:balk_low;class1:horizon,X124,X124,1,0.05;0.10,True,
