background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,gap_magnitude_focal,n_paired_seeds,mean_class2_low_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,pre_minus_post_absolute_served_gap,pre_minus_post_absolute_served_gap_ci_low,pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.05,100,0.06905875885025585,0.9309412411497442,True,-0.020202255464468504,-0.021216252517485896,-0.019188258411451112,pre_minus_post_gap_effect,reversed
H7B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.1,100,0.07731054019048271,0.9226894598095172,True,-0.038949423607482256,-0.040044731726601376,-0.037854115488363135,pre_minus_post_gap_effect,reversed
H7B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.2,100,0.11340332522574985,0.8865966747742502,True,-0.05786285303445659,-0.059017803438723246,-0.05670790263018993,pre_minus_post_gap_effect,reversed
H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05,100,0.3271201663077335,0.6728798336922666,True,-0.01598287956718821,-0.018432394665243903,-0.01353336446913252,pre_minus_post_gap_effect,reversed
H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.1,100,0.31058494660094466,0.6894150533990553,True,-0.03797129622167748,-0.04122699651582044,-0.034715595927534516,pre_minus_post_gap_effect,reversed
H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.2,100,0.28122679917604937,0.7187732008239506,True,-0.06759208431683202,-0.07254616441792755,-0.06263800421573648,pre_minus_post_gap_effect,reversed
H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.3,100,0.36361581128998766,0.6363841887100123,True,0.010819066531540357,0.005741491671347752,0.01589664139173296,,supported
H7B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05,100,0.3197775207997861,0.6802224792002138,True,-0.01763470557129195,-0.019198757716448637,-0.01607065342613526,pre_minus_post_gap_effect,reversed
H7B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.1,100,0.3049332649023048,0.6950667350976951,True,-0.03896695884900559,-0.040431346567050115,-0.03750257113096107,pre_minus_post_gap_effect,reversed
H7B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.2,100,0.27604525282203674,0.7239547471779634,True,-0.08308051343441933,-0.08593584858894918,-0.08022517827988948,pre_minus_post_gap_effect,reversed
