stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
2,H7B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,3,0,3,0,100,-0.0390048440354691,-0.0396201015553544,-0.0383895865155838,average_pre_minus_post_effect_reversed,reversed
2,H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,1,3,0,100,-0.0276817983935393,-0.029795624569497,-0.0255679722175816,average_pre_minus_post_effect_reversed,reversed
2,H7B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,1,3,0,100,-0.0323385927389869,-0.033482126791699,-0.0311950586862748,average_pre_minus_post_effect_reversed,reversed
2,H7B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30,4,1,0,3,100,0.0022314888738469,0.0008503816371437,0.00361259611055,average_pre_minus_post_effect_inconclusive,inconclusive
2,H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.05;0.10;0.20;0.30,4,0,4,0,100,-0.0554431910461094,-0.0577930135601844,-0.0530933685320344,average_pre_minus_post_effect_reversed,reversed
2,H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,0,3,0,100,-0.0058334856376859,-0.0068134444350017,-0.0048535268403701,average_pre_minus_post_effect_reversed,reversed
2,H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,1,4,0,100,-0.0123716756163802,-0.0133393829506442,-0.0114039682821161,average_pre_minus_post_effect_reversed,reversed
2,H7B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,0,3,0,100,-0.0799649492538321,-0.0808022610092162,-0.0791276374984481,average_pre_minus_post_effect_reversed,reversed
2,H7B0073,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,0,3,0,100,-0.0169451440756108,-0.0186163653957877,-0.0152739227554339,average_pre_minus_post_effect_reversed,reversed
2,H7B0092,S060,sobol_symmetric,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30;0.50,5,0,5,0,100,-0.0326846014670023,-0.0332105775458374,-0.0321586253881672,average_pre_minus_post_effect_reversed,reversed
