background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0019,A019,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,3,0,3,0,100,-0.03900484403546911,-0.03962010155535441,-0.03838958651558381,average_pre_minus_post_effect_reversed,reversed
H7B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,1,3,0,100,-0.027681798393539344,-0.029795624569497046,-0.02556797221758164,average_pre_minus_post_effect_reversed,reversed
H7B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30,4,1,3,0,100,-0.0323385927389869,-0.033482126791699,-0.0311950586862748,average_pre_minus_post_effect_reversed,reversed
H7B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30,4,1,0,3,100,0.0022314888738469,0.0008503816371437044,0.0036125961105500956,average_pre_minus_post_effect_inconclusive,inconclusive
H7B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.05;0.10;0.20;0.30,4,0,4,0,100,-0.055443191046109466,-0.057793013560184466,-0.05309336853203447,average_pre_minus_post_effect_reversed,reversed
H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,0,3,0,100,-0.005833485637685943,-0.006813444435001744,-0.004853526840370143,average_pre_minus_post_effect_reversed,reversed
H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,1,4,0,100,-0.01237167561638021,-0.01333938295064428,-0.011403968282116138,average_pre_minus_post_effect_reversed,reversed
H7B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,0,3,0,100,-0.07996494925383217,-0.08080226100921621,-0.07912763749844813,average_pre_minus_post_effect_reversed,reversed
H7B0073,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,0,3,0,100,-0.016945144075610832,-0.01861636539578775,-0.015273922755433914,average_pre_minus_post_effect_reversed,reversed
H7B0092,S060,sobol_symmetric,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30;0.50,5,0,5,0,100,-0.03268460146700234,-0.03321057754583748,-0.0321586253881672,average_pre_minus_post_effect_reversed,reversed
