background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,h8_design_active,h8_design_inactive_reason
H8B0007,A007,anchor,,rho_capacity_grid_rho_2.0_capacity_16,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,,A007,A007,1,0.1,0.1,0.4,0.5,0.0,0.4,True,
H8B0012,A012,anchor,,rho_capacity_grid_rho_3.1_capacity_64,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,,A012,A012,1,0.2,0.1,0.3,0.5,0.0,0.4,True,
H8B0013,A013,anchor,,rho_capacity_grid_rho_4.0_capacity_16,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,,A013,A013,1,0.2,0.2,0.3,0.5,0.0,0.3,True,
H8B0014,A014,anchor,,rho_capacity_grid_rho_4.0_capacity_32,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,,A014,A014,1,0.2,0.3,0.3,0.5,0.0,0.2,True,
H8B0041,S009,sobol_symmetric,,scrambled_sobol,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.2,0.0,0.5,0.5,4,4,0.5,0.5,0.5,0.5,,S009,S009,1,0.3,0.0,0.2,0.5,0.0,0.5,True,
H8B0049,S017,sobol_symmetric,,scrambled_sobol,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.0,0.0,0.5,0.5,,S017,S017,1,0.4,0.3,0.1,0.5,0.0,0.2,True,
H8B0052,S020,sobol_symmetric,,scrambled_sobol,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.5,0.0,0.5,0.4,6,6,0.0,0.0,0.0,0.0,,S020,S020,1,0.0,0.1,0.5,0.5,0.0,0.4,True,
H8B0053,S021,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.7,0.7,,S021,S021,1,0.0,0.2,0.5,0.5,0.0,0.3,True,
H8B0064,S033,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.5,,S033,S033,1,0.2,0.3,0.3,0.5,0.0,0.2,True,
H8B0066,S035,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.2,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,,S035,S035,1,0.3,0.0,0.2,0.5,0.0,0.5,True,
H8B0067,S036,sobol_symmetric,,scrambled_sobol,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.2,0.0,0.5,0.4,4,4,0.3,0.3,0.5,0.5,,S036,S036,1,0.3,0.1,0.2,0.5,0.0,0.4,True,
H8B0068,S037,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.2,0.0,0.5,0.3,9,9,0.0,0.0,0.3,0.3,,S037,S037,1,0.3,0.2,0.2,0.5,0.0,0.3,True,
H8B0069,S038,sobol_symmetric,,scrambled_sobol,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.2,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,,S038,S038,1,0.3,0.3,0.2,0.5,0.0,0.2,True,
H8B0082,S051,sobol_symmetric,,scrambled_sobol,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.7,0.7,,S051,S051,1,0.1,0.1,0.4,0.5,0.0,0.4,True,
