stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
2,H8B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,100,0.940822137254574,0.0591778627454259,0.0412374915436895,True,0.0353261498184877,0.0334212200497465,0.0372310795872289,0.0353261498184877,0.0001963565062982,-0.0015490589150723,0.0019417719276687,0.0070562366370233,-0.0282699131814644,-0.0304312967481061,-0.0261085296148226,0.02,within_class_effect_larger,reversed
2,H8B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.2,0.1,0.3,0.5,0.0,0.4,100,0.3142716607317799,0.68572833926822,0.675449385117455,True,0.014460790705335,0.0137355164307176,0.0151860649799524,0.014460790705335,-0.008537166224282,-0.0092232583260699,-0.007851074122494,0.008537166224282,-0.005923624481053,-0.0071711059653549,-0.0046761429967512,0.17,within_class_effect_larger,reversed
2,H8B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.2,0.2,0.3,0.5,0.0,0.3,100,0.3233088682464097,0.6766911317535903,0.6625110857614311,True,0.0089674967382459,0.0081181398700294,0.0098168536064624,0.0090160959799005,-0.0043158562013739,-0.0051197357182804,-0.0035119766844674,0.0046841756776499,-0.0043319203022506,-0.0056242462337177,-0.0030395943707835,0.24,within_class_effect_larger,reversed
2,H8B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.2,0.3,0.3,0.5,0.0,0.2,100,0.3318692179396926,0.6681307820603073,0.6532384020828843,True,0.0063643135966741,0.0059187476997186,0.0068098794936296,0.0063643135966741,-0.0024978730441222,-0.0029690596069849,-0.0020266864812596,0.0028903103936647,-0.0034740032030093,-0.0041563006736287,-0.00279170573239,0.15,within_class_effect_larger,reversed
2,H8B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.2,0.0,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.3,0.0,0.2,0.5,0.0,0.5,100,0.8816251177396972,0.1183748822603027,0.1027289561429756,True,0.0187060718668035,0.0174819427943342,0.0199302009392729,0.0187672305159099,-0.0015854756785252,-0.0028165858852137,-0.0003543654718366,0.0049749696526484,-0.0137922608632615,-0.0152634563588257,-0.0123210653676972,0.06,within_class_effect_larger,reversed
2,H8B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.0,0.0,0.5,0.5,0.4,0.3,0.1,0.5,0.0,0.2,100,0.4213491258111468,0.5786508741888531,0.5650182599332986,True,0.0215587831942584,0.0197435187357806,0.0233740476527363,0.0216034428689744,-0.0034044269326454,-0.0051416029251545,-0.0016672509401364,0.0076068909550565,-0.0139965519139178,-0.016320091222004,-0.0116730126058316,0.15,within_class_effect_larger,reversed
2,H8B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.5,0.0,0.5,0.4,6,6,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.0,0.4,100,0.7027191856688648,0.2972808143311351,0.2695730506126337,True,0.0206447981906486,0.0202739514312079,0.0210156449500893,0.0206447981906486,-0.0004887150232635,-0.0008541201867642,-0.0001233098597629,0.0015683853655047,-0.0190764128251438,-0.0195354332077509,-0.0186173924425367,0.0,within_class_effect_larger,reversed
2,H8B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.7,0.7,0.0,0.2,0.5,0.5,0.0,0.3,100,0.9641322525516494,0.0358677474483506,0.0244744431714711,True,0.0171326109023566,0.0163658533043382,0.017899368500375,0.0171326109023566,0.0008754684089973,0.0001726836998378,0.0015782531181569,0.0028487496380167,-0.0142838612643399,-0.0151833614644396,-0.0133843610642401,0.01,within_class_effect_larger,reversed
2,H8B0064,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.5,0.2,0.3,0.3,0.5,0.0,0.2,100,0.71536727975357,0.28463272024643,0.2881044063670883,True,0.0150407714713265,0.0139742167286913,0.0161073262139616,0.0150407714713265,-0.0004149260887178,-0.0014571951398392,0.0006273429624034,0.0042793246280115,-0.0107614468433149,-0.012038291132273,-0.0094846025543568,0.05,within_class_effect_larger,reversed
2,H8B0066,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.2,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.0,0.5,100,0.6890874032861801,0.3109125967138199,0.3085563850440603,True,0.0498690383885144,0.048116884720666,0.0516211920563627,0.0498690383885144,-0.0153191762597417,-0.0173901888125926,-0.0132481637068907,0.0156207295414817,-0.0342483088470326,-0.0373525877167061,-0.0311440299773592,0.03,within_class_effect_larger,reversed
