background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
H8B0007,A007,anchor,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,100,0.9408221372545741,0.05917786274542596,0.04123749154368953,True,0.03532614981848778,0.03342122004974656,0.037231079587228995,0.03532614981848778,0.00019635650629823865,-0.0015490589150723034,0.0019417719276687809,0.00705623663702338,-0.0282699131814644,-0.030431296748106136,-0.026108529614822663,0.02,within_class_effect_larger,reversed
H8B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.4,6,6,0.0,0.0,0.3,0.3,0.2,0.1,0.3,0.5,0.0,0.4,100,0.3142716607317799,0.68572833926822,0.675449385117455,True,0.014460790705335083,0.013735516430717696,0.01518606497995247,0.014460790705335083,-0.008537166224282012,-0.009223258326069992,-0.007851074122494032,0.008537166224282012,-0.0059236244810530695,-0.007171105965354911,-0.004676142996751228,0.17,within_class_effect_larger,reversed
H8B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.3,0.3,0.2,0.2,0.3,0.5,0.0,0.3,100,0.3233088682464097,0.6766911317535903,0.6625110857614311,True,0.008967496738245933,0.008118139870029439,0.009816853606462428,0.009016095979900574,-0.004315856201373916,-0.005119735718280406,-0.0035119766844674254,0.004684175677649914,-0.004331920302250661,-0.0056242462337177685,-0.003039594370783553,0.24,within_class_effect_larger,reversed
H8B0014,A014,anchor,4.0,0.7,32,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.3,0.0,0.5,0.2,6,6,0.0,0.0,0.3,0.3,0.2,0.3,0.3,0.5,0.0,0.2,100,0.3318692179396926,0.6681307820603073,0.6532384020828843,True,0.0063643135966741544,0.005918747699718695,0.006809879493629614,0.0063643135966741544,-0.002497873044122278,-0.002969059606984915,-0.0020266864812596413,0.002890310393664759,-0.0034740032030093947,-0.00415630067362875,-0.002791705732390039,0.15,within_class_effect_larger,reversed
H8B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.2,0.0,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.3,0.0,0.2,0.5,0.0,0.5,100,0.8816251177396972,0.11837488226030275,0.10272895614297564,True,0.018706071866803575,0.017481942794334213,0.019930200939272936,0.01876723051590997,-0.001585475678525226,-0.002816585885213753,-0.0003543654718366994,0.004974969652648464,-0.01379226086326151,-0.015263456358825738,-0.012321065367697281,0.06,within_class_effect_larger,reversed
H8B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.2,4,4,0.0,0.0,0.5,0.5,0.4,0.3,0.1,0.5,0.0,0.2,100,0.4213491258111468,0.5786508741888531,0.5650182599332986,True,0.021558783194258458,0.0197435187357806,0.023374047652736315,0.021603442868974424,-0.003404426932645489,-0.005141602925154537,-0.0016672509401364415,0.007606890955056591,-0.013996551913917825,-0.016320091222004007,-0.011673012605831642,0.15,within_class_effect_larger,reversed
H8B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.5,0.0,0.5,0.4,6,6,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.0,0.4,100,0.7027191856688648,0.2972808143311351,0.2695730506126337,True,0.02064479819064865,0.02027395143120793,0.02101564495008937,0.02064479819064865,-0.0004887150232635764,-0.000854120186764219,-0.00012330985976293386,0.0015683853655047973,-0.01907641282514385,-0.019535433207750936,-0.018617392442536764,0.0,within_class_effect_larger,reversed
H8B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.7,0.7,0.0,0.2,0.5,0.5,0.0,0.3,100,0.9641322525516494,0.035867747448350605,0.024474443171471114,True,0.017132610902356658,0.016365853304338297,0.017899368500375018,0.017132610902356658,0.0008754684089973866,0.0001726836998378528,0.0015782531181569204,0.0028487496380167543,-0.014283861264339906,-0.015183361464439667,-0.013384361064240145,0.01,within_class_effect_larger,reversed
H8B0064,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.2,4,4,0.5,0.5,0.5,0.5,0.2,0.3,0.3,0.5,0.0,0.2,100,0.71536727975357,0.28463272024643005,0.28810440636708834,True,0.015040771471326521,0.013974216728691391,0.01610732621396165,0.015040771471326521,-0.0004149260887178957,-0.001457195139839212,0.0006273429624034207,0.004279324628011566,-0.010761446843314955,-0.012038291132273086,-0.009484602554356824,0.05,within_class_effect_larger,reversed
H8B0066,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.2,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.0,0.5,100,0.6890874032861801,0.3109125967138199,0.30855638504406036,True,0.049869038388514406,0.04811688472066603,0.05162119205636278,0.049869038388514406,-0.015319176259741735,-0.017390188812592695,-0.013248163706890777,0.015620729541481719,-0.03424830884703269,-0.0373525877167061,-0.031144029977359287,0.03,within_class_effect_larger,reversed
H8B0067,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.2,0.0,0.5,0.4,4,4,0.3,0.3,0.5,0.5,0.3,0.1,0.2,0.5,0.0,0.4,100,0.3358355097241724,0.6641644902758275,0.6511120228301057,True,0.004538820958868449,0.004088520479966245,0.004989121437770653,0.004613426773645529,-0.0016947029030014776,-0.002169459762808334,-0.0012199460431946212,0.0023054575642572485,-0.0023079692093882806,-0.002919130168006903,-0.0016968082507696582,0.21,absolute_effect_difference_inconclusive,inconclusive
H8B0068,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.2,0.0,0.5,0.3,9,9,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,100,0.7636209123484953,0.23637908765150473,0.21125795255332122,True,0.01770780193713528,0.01651724273995681,0.018898361134313754,0.01770780193713528,-0.0013833277556416224,-0.002432624257449615,-0.0003340312538336295,0.004609525119009152,-0.013098276818126128,-0.014521632401626034,-0.011674921234626223,0.05,within_class_effect_larger,reversed
H8B0069,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.2,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,0.3,0.3,0.2,0.5,0.0,0.2,100,0.5885564527593593,0.41144354724064064,0.3919712687642373,True,-0.0002829804169485445,-0.001658117991497523,0.001092157157600434,0.005682157595958256,-0.00769803586291621,-0.008621416077471073,-0.0067746556483613465,0.007877841253704857,0.0021956836577466023,0.0010216757522425288,0.003369691563250676,0.67,absolute_effect_difference_inconclusive,inconclusive
H8B0082,S051,sobol_symmetric,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.7,0.7,0.1,0.1,0.4,0.5,0.0,0.4,100,0.503386878122341,0.496613121877659,0.5456102397531852,True,0.030176122365155437,0.02829821792050268,0.03205402680980819,0.030176122365155437,-0.030868884189893673,-0.03260888720585865,-0.029128881173928693,0.030868884189893673,0.0006927618247382397,-0.002358390022036292,0.0037439136715127714,0.51,absolute_effect_difference_inconclusive,inconclusive
H8B0098,S067,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.3,4,4,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,100,0.9340207065453737,0.06597929345462625,0.03880921710798837,True,0.02120337476732082,0.02022038246390873,0.022186367070732908,0.02120337476732082,-0.0015077218274475767,-0.0025392092298458426,-0.00047623442504931093,0.004341723652699431,-0.01686165111462139,-0.018126868994427874,-0.015596433234814907,0.02,within_class_effect_larger,reversed
H8B0106,S075,sobol_symmetric,1.25,0.1,32,40.0,4.0,36.0,14,14,0.0,0.0,6,6,0.4,0.0,0.5,0.5,12,12,0.5,0.5,0.5,0.5,0.1,0.0,0.4,0.5,0.0,0.5,100,0.6481874247186151,0.3518125752813849,0.3872695608283793,True,0.03126667288717959,0.027961938682495698,0.03457140709186348,0.03139373309645876,-0.005913344911200751,-0.009252663957561408,-0.002574025864840094,0.01405680422812607,-0.01733692886833269,-0.021476737224828315,-0.013197120511837062,0.16,within_class_effect_larger,reversed
H8B0111,S080,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0.2,0.0,0.3,0.5,0.0,0.5,100,0.9318387688834991,0.0681612311165008,0.03361055560213153,True,0.006681278034634606,0.00614410488188356,0.007218451187385651,0.006702783790381081,4.4421231768034534e-05,-0.0004471615461595934,0.0005360040096956625,0.0019723057664276277,-0.004730478023953455,-0.00527643668099053,-0.00418451936691638,0.08,within_class_effect_larger,reversed
H8B0123,S092,sobol_symmetric,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.5,0.5,4,4,0.1,0.0,0.5,0.3,9,9,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,100,0.7708145201100456,0.2291854798899543,0.19272538249133234,True,0.009978492352201489,0.009513988385208633,0.010442996319194344,0.009978492352201489,-0.0004835242916206145,-0.0009636688582312168,-3.379725010012227e-06,0.001988737284875724,-0.007989755067325764,-0.008579047369791636,-0.0074004627648598924,0.02,within_class_effect_larger,reversed
H8B0124,S093,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.1,0.0,0.5,0.2,4,4,0.7,0.7,0.7,0.7,0.4,0.3,0.1,0.5,0.0,0.2,100,0.8250621238744578,0.1749378761255423,0.16081566210281842,True,0.005329769408894755,0.004731528582977711,0.0059280102348117985,0.005447786706185579,-0.00036323910548601625,-0.00095592630699472,0.0002294480960226875,0.0023024775558243642,-0.0031453091503612146,-0.0038433471898461145,-0.0024472711108763146,0.17,within_class_effect_larger,reversed
H8B0126,S095,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.0,0.0,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.5,100,0.6591709565232279,0.340829043476772,0.37498622662888464,True,0.0654178708142371,0.06285178427368873,0.06798395735478546,0.0654178708142371,-0.01169063162083279,-0.014173185365027282,-0.009208077876638297,0.014217595117698932,-0.05120027569653817,-0.05505426514532828,-0.04734628624774806,0.0,within_class_effect_larger,reversed
H8B0127,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.5,0.0,0.5,0.4,6,6,0.3,0.3,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,100,0.9199625589475068,0.08003744105249322,0.015978393904367064,True,0.006647507592070002,0.005992163006675162,0.007302852177464842,0.006667668806623933,6.7001204081132415e-06,-0.0005111499672434816,0.0005245502080597082,0.0018778034138991094,-0.004789865392724826,-0.00555177629047349,-0.004027954494976161,0.11,within_class_effect_larger,reversed
H8B0135,S104,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,12,12,0.5,0.5,0.7,0.7,0.1,0.4,0.4,0.5,0.0,0.1,100,0.8755771342190998,0.1244228657809002,0.045373093094150045,True,0.010357534404074092,0.009049123298136147,0.011665945510012037,0.010792331650137996,-0.0004388946574067507,-0.0015604828706297087,0.0006826935558162072,0.004162595221381272,-0.006629736428756725,-0.008112191955588625,-0.005147280901924825,0.17,within_class_effect_larger,reversed
H8B0138,S107,sobol_symmetric,1.25,0.5,32,40.0,20.0,20.0,28,28,0.0,0.0,12,12,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.5,0.5,0.2,0.2,0.3,0.5,0.0,0.3,100,0.8091134000379911,0.19088659996200893,0.12690348708842933,True,-0.02338545000902018,-0.02927277971648737,-0.017498120301552986,0.030123583063825052,-0.003123312566828522,-0.004434633304054971,-0.001811991829602073,0.00577859889107982,-0.02434498417274523,-0.029002883692939917,-0.019687084652550545,0.13,within_class_effect_larger,reversed
H8B0140,S109,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.3,0.3,6,6,0.3,0.0,0.5,0.1,6,6,0.0,0.0,0.7,0.7,0.2,0.4,0.3,0.5,0.0,0.1,100,0.4868318786544229,0.513168121345577,0.5051012836646833,True,0.018273567978833907,0.017034446345408717,0.019512689612259097,0.018339095974674285,3.4546917429342795e-06,-0.0010199346227581642,0.001026844006244033,0.004015906499350994,-0.014323189475323293,-0.015620702882821419,-0.013025676067825167,0.02,within_class_effect_larger,reversed
H8B0147,S116,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,21,21,0.1,0.1,12,12,0.1,0.0,0.5,0.4,12,12,0.0,0.0,0.5,0.5,0.4,0.1,0.1,0.5,0.0,0.4,100,0.3112305505455919,0.6887694494544081,0.6771365428838476,True,0.0053040849750615945,0.004779200394732089,0.0058289695553911,0.0053458489653160305,-0.0019475711708547257,-0.0024420800421284974,-0.001453062299580954,0.002581594713325679,-0.0027642542519903503,-0.00350645862501144,-0.002022049878969261,0.24,within_class_effect_larger,reversed
H8B0151,S120,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,14,14,0.0,0.0,12,12,0.5,0.0,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0.0,0.0,0.5,0.5,0.0,0.5,100,0.3159650637523042,0.6840349362476956,0.5578551706205173,True,-0.006940631351692563,-0.008477394352552606,-0.00540386835083252,0.007946985281504133,-0.0015075355143462398,-0.0020337330165905694,-0.0009813380121019104,0.0022675886534636565,-0.005679396628040477,-0.007109645049965466,-0.004249148206115488,0.15,within_class_effect_larger,reversed
H8B0152,S121;X012,sobol_symmetric,3.1,0.3,32,99.2,29.76,69.44,7,7,0.3,0.3,4,4,0.5,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,100,0.4783853865214517,0.5216146134785483,0.5203744064130469,True,0.011783021958991738,0.011042898303389113,0.012523145614594363,0.011783021958991738,-0.0021108712320695305,-0.0029117760623488206,-0.0013099664017902405,0.0036067135941473365,-0.0081763083648444,-0.009217668254023152,-0.007134948475665648,0.08,within_class_effect_larger,reversed
H8B0157,S126,sobol_symmetric,2.0,0.9,64,128.0,115.2,12.799999999999995,14,14,0.1,0.1,4,4,0.4,0.0,0.5,0.4,4,4,0.3,0.3,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,100,0.8404621068768047,0.15953789312319525,0.025608398469505057,True,0.009298830666527709,0.008688620366565493,0.009909040966489925,0.009298830666527709,0.00013474915969532986,-0.0004022411065085897,0.0006717394258992494,0.0021400884753681737,-0.007158742191159537,-0.0077640443134045015,-0.006553440068914573,0.0,within_class_effect_larger,reversed
H8B0158,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.4,0.0,0.5,0.3,6,6,0.5,0.5,0.7,0.7,0.1,0.2,0.4,0.5,0.0,0.3,100,0.6519701743269232,0.3480298256730768,0.3648723947508945,True,0.015384434271110635,0.012191341186719717,0.018577527355501552,0.018319309013136397,-0.017494534237089847,-0.020342338439553034,-0.01464673003462666,0.01848953069261179,0.0001702216794753972,-0.0039983683034382446,0.004338811662389038,0.56,absolute_effect_difference_inconclusive,inconclusive
H8B0159,S128,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,7,7,0.3,0.3,4,4,0.4,0.0,0.5,0.2,4,4,0.0,0.0,0.3,0.3,0.1,0.3,0.4,0.5,0.0,0.2,100,0.4775413348337257,0.5224586651662743,0.507606450983738,True,0.01741077863922514,0.016834624577349633,0.017986932701100647,0.01741077863922514,-0.003409162134641712,-0.0039000485325866585,-0.0029182757366967658,0.003574464617645057,-0.013836314021580086,-0.014723990187101483,-0.012948637856058688,0.01,within_class_effect_larger,reversed
H8B0172,S141,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,7,7,0.5,0.5,4,4,0.1,0.0,0.5,0.4,4,4,0.0,0.0,0.1,0.1,0.4,0.1,0.1,0.5,0.0,0.4,100,0.5099623397204796,0.4900376602795204,0.48436570490172065,True,0.021039910558831133,0.018695118660971698,0.023384702456690568,0.021351239992016845,-0.001637999668457285,-0.004038501413684924,0.0007625020767703539,0.009593326520503764,-0.011757913471513082,-0.014594681206764699,-0.008921145736261465,0.2,within_class_effect_larger,reversed
