sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,1,1,18390,14066,3702,17768,622,7745,1073,5229,9.631522820986776,10.198615488518685,0.28433931484502445,0.44768835616438357,0.20835209365150834,135477.0,181209.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,1,2,18147,11328,6196,17524,623,5955,761,4594,8.976341807909604,10.16622917142205,0.25315479142558,0.3933219178082192,0.35357224377995894,101684.0,178153.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,2,1,18304,13973,3734,17707,597,7788,1016,5158,9.606097473699277,10.186931721917885,0.28179632867132864,0.4416095890410959,0.21087705427232167,134226.0,180380.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,2,2,18261,11579,6123,17702,559,6092,758,4717,8.970636497106831,10.141170489210259,0.25831005969004983,0.4038527397260274,0.3458931194215343,103871.0,179519.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,3,1,18241,13862,3747,17609,632,7636,1048,5155,9.54003751262444,10.13930376512011,0.2826051203333151,0.4413527397260274,0.212788914759498,132244.0,178543.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,3,2,18260,11498,6151,17649,611,6039,796,4651,8.991041920333972,10.152983171851096,0.25470974808324204,0.39820205479452053,0.34851832965040513,103379.0,179190.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,4,1,18140,13940,3635,17575,565,7787,970,5170,9.536154949784793,10.103044096728308,0.2850055126791621,0.4426369863013699,0.20682788051209103,132934.0,177561.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,4,2,18335,11561,6228,17789,546,6045,820,4685,8.993253178790763,10.16262859070212,0.25552222525224977,0.4011130136986301,0.3501039968519872,103971.0,180783.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,5,1,18389,13958,3801,17759,630,7657,1031,5252,9.596217223097865,10.184976631567093,0.28560552504214476,0.44965753424657534,0.21403232163973196,133944.0,180875.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,5,2,18205,11342,6245,17587,618,5972,864,4491,9.016840063480867,10.189060101211123,0.24669046965119473,0.38450342465753423,0.3550918291920168,102269.0,179195.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,6,1,18160,13817,3680,17497,663,7630,1057,5111,9.551349786494898,10.149854260730411,0.28144273127753305,0.43758561643835614,0.21032176944619077,131971.0,177592.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,6,2,18381,11598,6028,17626,755,6104,792,4682,9.008622176237282,10.166912515601952,0.25471954735868557,0.40085616438356164,0.3419947804379893,104482.0,179202.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,7,1,18045,13773,3744,17517,528,7582,999,5181,9.542655921004865,10.125991893589084,0.28711554447215293,0.4435787671232877,0.21373522863504024,131431.0,177377.0
