analysis_family,scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,balk_high_class_1,balk_high_class_2,cancel_prob_class_1,cancel_prob_class_2,no_show_threshold_1,no_show_threshold_2,no_show_high_class_1,no_show_high_class_2,w1,w2,Q,Obj_util_norm_mean,Obj_util_norm_ci95_low,Obj_util_norm_ci95_high,Obj_util_norm_n,delta_Obj_util_norm_mean,delta_Obj_util_norm_ci95_low,delta_Obj_util_norm_ci95_high,delta_Obj_util_norm_n,Obj_service_norm_mean,Obj_service_norm_ci95_low,Obj_service_norm_ci95_high,Obj_service_norm_n,delta_Obj_service_norm_mean,delta_Obj_service_norm_ci95_low,delta_Obj_service_norm_ci95_high,delta_Obj_service_norm_n,T_wait_offered_mean,T_wait_offered_ci95_low,T_wait_offered_ci95_high,T_wait_offered_n,delta_T_wait_offered_mean,delta_T_wait_offered_ci95_low,delta_T_wait_offered_ci95_high,delta_T_wait_offered_n,class_1_service_rate_mean,class_1_service_rate_ci95_low,class_1_service_rate_ci95_high,class_1_service_rate_n,delta_class_1_service_rate_mean,delta_class_1_service_rate_ci95_low,delta_class_1_service_rate_ci95_high,delta_class_1_service_rate_n,class_2_service_rate_mean,class_2_service_rate_ci95_low,class_2_service_rate_ci95_high,class_2_service_rate_n,delta_class_2_service_rate_mean,delta_class_2_service_rate_ci95_low,delta_class_2_service_rate_ci95_high,delta_class_2_service_rate_n,class_1_no_offer_rate_mean,class_1_no_offer_rate_ci95_low,class_1_no_offer_rate_ci95_high,class_1_no_offer_rate_n,delta_class_1_no_offer_rate_mean,delta_class_1_no_offer_rate_ci95_low,delta_class_1_no_offer_rate_ci95_high,delta_class_1_no_offer_rate_n,class_2_no_offer_rate_mean,class_2_no_offer_rate_ci95_low,class_2_no_offer_rate_ci95_high,class_2_no_offer_rate_n,delta_class_2_no_offer_rate_mean,delta_class_2_no_offer_rate_ci95_low,delta_class_2_no_offer_rate_ci95_high,delta_class_2_no_offer_rate_n
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,0,0.4573828406633022,0.4555124087509012,0.45916511580749825,20,0.0,0.0,0.0,20,0.5866272425291698,0.5835333946463739,0.5895938265166479,20,0.0,0.0,0.0,20,5.41582106955747,5.386562251543926,5.444848466625034,20,0.0,0.0,0.0,20,0.5868132118156775,0.5837085924553846,0.589752624232107,20,0.0,0.0,0.0,20,0.586459870171313,0.5829403595647514,0.5898706628208943,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,1,0.4573693222782985,0.4555008505317231,0.45915150166726754,20,-1.3518385003602473e-05,-2.0277577505403778e-05,-7.435111751979903e-06,20,0.5866108267126563,0.5835061618853336,0.5895831188533877,20,-1.641581651354307e-05,-2.5181699285527214e-05,-8.668068162962505e-06,20,5.4159452868914375,5.386677894669365,5.4449647687691805,20,0.0001242173339672359,0.00010896266373896625,0.0001400757701041122,20,0.5871425162597577,0.5840788747777195,0.5900453028047715,20,0.00032930444408023064,0.00018086191245375485,0.0004921234778982179,20,0.586132306120265,0.5826010289095519,0.5895643347913446,20,-0.0003275640510479516,-0.0004905134285031523,-0.00018026374282988265,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,2,0.45735760634462874,0.4554845214491709,0.4591397294069935,20,-2.5234318673381106e-05,-3.335098233597136e-05,-1.712328767122781e-05,20,0.5865965886234434,0.5834969297218674,0.5895675081915177,20,-3.065390572640769e-05,-4.115978520008237e-05,-2.1012157979480722e-05,20,5.416116677734625,5.386848064040622,5.445147870407841,20,0.0002956081771539054,0.00026745195897007965,0.00032374578822793595,20,0.5874287783935414,0.5843447278735241,0.5902904828685079,20,0.0006155665778638908,0.00041874532970469127,0.0008165019266411193,20,0.5858476178303551,0.5823244483646609,0.5892833995057702,20,-0.0006122523409576808,-0.0008111577543477328,-0.0004179169879623741,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,3,0.45734498918529204,0.45547368984318676,0.4591239410598414,20,-3.7851478010092474e-05,-4.686373467915068e-05,-2.861391492429699e-05,20,0.586580357076972,0.5834833504078413,0.5895496255577458,20,-4.688545219792006e-05,-5.764964893754401e-05,-3.574341352734295e-05,20,5.416326743927084,5.38705276725517,5.445352541929878,20,0.0005056743696136845,0.0004713070813232667,0.0005392675778779287,20,0.5877362232580493,0.5846458571493165,0.5906114305306357,20,0.0009230114423719405,0.0006979257489581185,0.0011414474005337317,20,0.5855400775140022,0.5820116585330144,0.5889580192187982,20,-0.0009197926573108028,-0.0011354714842633222,-0.0006967500238892665,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,4,0.4573256128334536,0.45545324328586884,0.459104350666907,20,-5.7227829848582876e-05,-6.781723143473029e-05,-4.6863734679158874e-05,20,0.5865560138755297,0.583459101726369,0.5895282982888316,20,-7.122865364022069e-05,-8.365133798188026e-05,-5.9064694099914544e-05,20,5.416593915435889,5.387318402922547,5.445637382979904,20,0.0007728458784195702,0.0007256791533421292,0.0008189325069235654,20,0.5882089002875361,0.585122052287231,0.5910786578903539,20,0.0013956884718588746,0.0011395661893252342,0.0016556394305228814,20,0.5850684161047235,0.5815141531371355,0.5885091031464266,20,-0.001391454066589387,-0.0016448045668709858,-0.0011427823406413668,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,5,0.4573051099495314,0.4554314786860131,0.459090449260995,20,-7.773071377072116e-05,-8.967195385724269e-05,-6.646539293437268e-05,20,0.5865296159888123,0.5834317236084671,0.5895000281005384,20,-9.762654035761487e-05,-0.000113628054437981,-8.34204122610449e-05,20,5.416916057583704,5.387615474894578,5.4459477584649365,20,0.001094988026234045,0.0010458772299014817,0.001145254256964786,20,0.5887086605635881,0.5856070030627217,0.5916082283145776,20,0.0018954487479105997,0.0016167497378131227,0.0021911726262967167,20,0.5845684758715138,0.5810149970414504,0.5880141866026312,20,-0.0018913942997989762,-0.002180086496865581,-0.0016178351346289386,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,6,0.4572760454217737,0.4553981164383562,0.45905647868601307,20,-0.00010679524152846508,-0.00012234138428260946,-9.191938536407629e-05,20,0.5864912996418487,0.5833960101035373,0.5894542162569134,20,-0.00013594288732115544,-0.00015713590822611338,-0.0001154558133745484,20,5.417322459462777,5.38805384764992,5.446349235299291,20,0.0015013899053057055,0.001438419765235396,0.0015620308789625846,20,0.5894170197655371,0.5862147974823968,0.5923994982885084,20,0.0026038079498597044,0.0022397644442724352,0.0029827029879126382,20,0.5838581515305289,0.58033603004736,0.5872718557530751,20,-0.002601718640783901,-0.002979819817074647,-0.0022406001325818224,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,7,0.45724900865176654,0.45537691510454226,0.45903078248918533,20,-0.00013383201153568114,-0.00015343366979090925,-0.0001144556596971795,20,0.5864580480883731,0.583359683227744,0.589416869944728,20,-0.00016919444079658286,-0.00019518810661657947,-0.00014415284496587687,20,5.417801495448078,5.388515076931788,5.446824322078396,20,0.001980425890607718,0.001894095930491859,0.002063205443198165,20,0.5900773290645736,0.586851726445522,0.5931175017757044,20,0.003264117248896042,0.0027918467396826135,0.003750068895380181,20,0.5832006952097928,0.5796133919139005,0.586666784859647,20,-0.003259174961519945,-0.0037312069176345386,-0.0027935255551805164,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,8,0.45721273431867343,0.4553415419971161,0.4589953699531363,20,-0.00017010634462869545,-0.00019218637346791467,-0.00014937815428982522,20,0.5864126381846629,0.5833180028685846,0.5893687985278233,20,-0.000214604344506919,-0.00024136901550445873,-0.00018812578148966557,20,5.418370026600467,5.389083274284535,5.44738457478189,20,0.0025489570429971576,0.0024420662022110163,0.0026502490298927982,20,0.5909627831035673,0.5876717827531566,0.594011265978515,20,0.004149571287889881,0.003640456698133335,0.004694731672069033,20,0.5823175077576489,0.5787805178073069,0.5857927382439946,20,-0.004142362413663997,-0.004675350583144932,-0.0036372060804762134,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,9,0.45716699711607794,0.455297534021269,0.4589487540555156,20,-0.00021584354722422593,-0.0002401822728911395,-0.0001919610670511911,20,0.5863533696128572,0.583257738624082,0.5893127694377451,20,-0.0002738729163126119,-0.0003077279339329264,-0.00024205378350315178,20,5.41903041250122,5.389734151622722,5.448051792729534,20,0.003209342943751281,0.0030859931651709147,0.0033219156998010647,20,0.5921301953136564,0.588914230792413,0.5950897455738134,20,0.0053169834979789,0.004775765489435503,0.005880826541334861,20,0.5811542264821379,0.5775610469029989,0.5846241717641947,20,-0.005305643689174949,-0.005864762026162419,-0.004767858417133124,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_probability_grid,balk_probability_grid__bt09_09__bh30_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,10,0.4571021088680605,0.4552325725486663,0.4588814831921413,20,-0.0002807317952415178,-0.0003088950973323624,-0.0002548215573179466,20,0.5862718879627566,0.5831704516657958,0.5892398321901681,20,-0.00035535456641317965,-0.00039414788667234163,-0.00031877474572131735,20,5.419868372988282,5.3905350111953725,5.4489007858783145,20,0.004047303430811988,0.003912672226106613,0.004177257686317044,20,0.5938770142850212,0.590685323763393,0.5969806937183475,20,0.007063802469343639,0.006388107211402356,0.007816318429977704,20,0.5794272742727185,0.5756931027310005,0.5830694983045722,20,-0.00703259589859429,-0.007757479970304292,-0.006379904315154322,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
